"id","codice","descrizione","desc_norma","im_bollo","tipo_calcolo","limite_calcolo","righe_foglio","dt_ini_validita","dt_fin_validita","utcr","utuv","pg_ver_rec"
"1","12","Contratti relativi ad utenze di servizi di pubblica utilità a rate: per ogni contratto","Articolo 2 comma 1 DPR 642/72, nota 2 ter","16","E","1",null,"2018-01-01",null,"SYSTEM","SYSTEM","1"
"2","13","Ricorsi straordinari al Presidente della Repubblica. Istanze, petizioni, ricorsi e relative memorie diretti agli uffici e agli organi, anche collegiali, dell'Amministrazione dello Stato, delle Regioni, delle Province, dei Comuni, loro consorzi e associazioni, delle comunità montane e delle unità sanitarie locali, nonché agli enti pubblici in relazione alla tenuta di pubblici registri, tendenti ad ottenere l'emanazione di un provvedimento amministrativo o il rilascio di certificati, estratti, copie e simili","Articolo 3 comma 1 bis DPR 642/72","16","F","1","100","2018-01-01",null,"SYSTEM","SYSTEM","1"
"3","14","Istanze trasmesse per via telematica agli uffici e agli organi, anche collegiali, dell'Amministrazione dello Stato, delle regioni, delle province, dei comuni, loro consorzi e associazioni, delle comunità montane e delle unità sanitarie locali, nonché agli enti pubblici in relazione alla tenuta di pubblici registri, tendenti ad ottenere l'emanazione di un provvedimento amministrativo o il rilascio di certificati, estratti, copie e simili, con esclusione delle istanze di cui all'articolo 3, comma 1, del decreto del Ministro del lavoro e della previdenza sociale 24 marzo 1994, n.379 presentate ai fini della percezione dell'indennità prevista dall'articolo 1, comma 3, della legge 18 febbraio 1992, n.162","Articolo 3 comma 1 bis DPR 642/72","16","E","1",null,"2018-01-01",null,"SYSTEM","SYSTEM","1"
"4","15","Note di trascrizione, iscrizione, innovazione e annotazione nei registri di cui all'articolo 16 lettera b), nonché nei registri navale, aeronautico e automobilistico; note di trascrizione del patto di riservato dominio, nonché del privilegio nelle vendite di macchine di cui agli articoli 1524 e 2762 del codice civile.","Articolo 3 comma 2 DPR 642/72","16","F","1","100","2018-01-01",null,"SYSTEM","SYSTEM","1"
"5","10","Scritture private contenenti convenzioni o dichiarazioni anche unilaterali con le quali si creano, si modificano, si estinguono, si accertano o si documentano rapporti giuridici di ogni specie, descrizioni, constatazioni e inventari destinati a far prova fra le parti che li hanno sottoscritti","Articolo 2 comma 1 DPR 642/72.","16","F","1","100","2018-01-01",null,"SYSTEM","SYSTEM","1"
"6","16","Note di trascrizione, di iscrizione, di rinnovazione, domande di annotazione nei registri immobiliari, anche con efficacia di voltura, trasmesse con procedure telematiche o presentate su supporto informatico, compresa l'iscrizione nel registro di cui all'articolo 2678 del codice civile, fuori dai casi previsti dall'articolo 1, comma 1 bis, dal comma 2 ter del presente articolo e dall'articolo 4, comma 1 bis","Articolo 3 comma 2 bis DPR�642/72","59","F","1","100","2018-01-01",null,"SYSTEM","SYSTEM","1"
"7","25","Operazioni effettuate, escluse da IVA per mancanza del presupposto territoriale","Artt. da 7 a 7-septies del D.P.R. n.633/1972","2","E","1",null,"2018-01-01",null,"SYSTEM","SYSTEM","1"
"8","17","Per ogni formalità di trascrizione, iscrizione, annotazione nei registri immobiliari, nonchè per la voltura catastale ad essa collegata, comprese la copia dell'atto ad uso formalità ipotecaria e l'iscrizione nel registro di cui all'art.2678 del codice civile.","Articolo 3 comma 2 ter n°1 DPR 642/72","108","E","1",null,"2018-01-01",null,"SYSTEM","SYSTEM","1"
"9","18","Per ogni voltura catastale, dipendente da atti che non comportano formalità nei registri immobiliari","Articolo 3 comma 2 ter n°2 DPR 642/72","15","E","1",null,"2018-01-01",null,"SYSTEM","SYSTEM","1"
"10","19","Atti e provvedimenti degli enti pubblici in relazione alla tenuta di pubblici registri, rilasciati anche in estratto o in copia dichiarata conforme all'originale a coloro che ne abbiano fatto richiesta","Articolo 4 comma 1 DPR 642/72","16","F","1","100","2018-01-01",null,"SYSTEM","SYSTEM","1"
