ABI,DS_ABI,TIPO
"08351","BANCA DI CRED.COOP. DI ASCIANO","A"
"08354","C.R.A. DI AVETRANA","A"
"08356","BANCA DI CRED.COOP. PORDENONESE","A"
"08358","C.R.A. DI ALBERGHI DI PESCIA","A"
"08361","BANCA DI CRED.COOP.DEL TUBENNA","A"
"08362","C.R.A. DI ARBOREA","A"
"08364","C.R.A. DELLA VALLE DEL MELANDRO","A"
"08365","BANCA C.COOP.ALTO TIRRENO CALAB.","A"
"08366","BANCA CREDITO COOP.DI BUGUGGIATE","A"
"08369","C.R.A. DI BAGNOLO CREMASCO","A"
"08374","BANCA CRED.COOP.BARLASSINA","A"
"08375","BANCA CREDITO COOP.DI BASILIANO","A"
"08377","B.C.C. DI BASSANO ROMANO","A"
"08378","CRA-BCC BATTIPAGLIA E OLEVANO T.","A"
"08379","BANCA C.COOP.BEDIZZOLE-TURANOV.","A"
"08381","BANCA DI CRED.COOP.DI BELLEGRA","A"
"08382","C.R.A. DI BENE VAGIENNA","A"
"08385","BANCA CREDITO COOP.DI BIENTINA","A"
"08386","C.R.A. DI BINASCO CREDITO COOP.","A"
"08387","C.R.A. DI BISIGNANO","A"
"08393","CRA BORGO S.GIACOMO-CRED.COOP.","A"
"08396","BANCA CRED.COOP. ALTA V.TROMPIA","A"
"08397","C.R.A. DI BOVES","A"
"08399","C.R.A. DI BRENDOLA","A"
"08404","BANCA CREDITO COOP.BUSTO GAROLFO","A"
"08406","BANCA CRED.COOP.BARBARANO ROMANO","A"
"08407","BANCA CREDITO COOP.DEL VENEZIANO","A"
"08408","BANCA CRED.COOP.ALTO CROTONESE","A"
"08409","BANCA CRED.COOP.DI BUONABITACOLO","A"
"08411","C.R.A. DI COLOBRARO E VALSINNI","A"
"08414","BANCA CRED.COOP. DI COLLETORTO","A"
"08416","B.CA CRED.COOP.VERONA CADIDAVID","A"
"08422","C.R.A. DI VERGATO","A"
"08425","BANCA CREDITO COOP.DI CAMBIANO","A"
"08427","CREDITO COOP. FIORENTINO","A"
"08428","BANCA CR.COOP.CAMPIGLIA BERICI","A"
"08429","BANCA CRED.COOP.ALTA PADOVANA","A"
"08430","C.R.A. DI CANTU BANCA CRED.COOP.","A"
"08431","C.R.A. DI CAPACCIO","A"
"08434","C.R.A. DI CAPPELLE SUL TAVO","A"
"08435","B.C.C. DELL'ALTO CREMASCO","A"
"08436","BANCA CREDITO COOP.CAPRANICA","A"
"08437","C.R.A. DI CAPRIOLO CREDITO COOP.","A"
"08439","B.CARAGLIO CUNEESE E RIV.FIORI","A"
"08440","BANCA CRED.COOP.CARATE BRIANZA","A"
"08441","BANCA CREDITO COOP.CARAVAGGIO","A"
"08445","BANCA CRED.COOP. TERRA D'OTRANTO","A"
"08446","CRED.COOP.AREA PRATESE","A"
"08448","C.R.A. DEL BASSO VERONESE","A"
"08450","BCA ALPI MARITTIME CR.COOP.CARRU","A"
"08451","C.R.A. DI CASALGRASSO","A"
"08452","C.R.A. DI CARTURA","A"
"08453","BANCA CREDITO COOP.DI CARUGATE","A"
"08454","C.R.A. DEL CREMONESE SCRL","A"
"08456","BANCA CRED.COOP.DI CASAVECCHIA","A"
"08457","C.R.A. DI CASCIA DI REGGELLO","A"
"08458","BANCA CREDITO COOP.DI CASCINA","A"
"08460","BANCA CREDITO COOP.CASSANO MURGE","A"
"08461","BANCA C.COOP.CASTAGNETO CARDUCCI","A"
"08462","BCA CRED.COOP. ROMAGNA OCCIDENT.","A"
"08464","BANCA CRED.COOP.FORTORE-MISCANO","A"
"08465","BANCA CRED.COOP.CASTEL GANDOLFO","A"
"08466","C.R.A.CASTEL GOFFREDO CRED.COOP.","A"
"08467","B.C.COOP.POLESINE OCCIDENTALE","A"
"08468","C.R.A. B.C.C. DI CASTELLABATE","A"
"08469","C.R.A.CASTELLANA GROTTE CR.COOP.","A"
"08472","C.R.A. DI CASTENASO","A"
"08473","B.C.C.CASTIGLIONE M.R. PIANELLA","A"
"08474","BANCA DI CRED.COOP. PICENA","A"
"08481","BANCA DI CREDITO COOP.DI CEREA","A"
"08483","B.CRED.COOP.CERVIGNANO FRIULI","A"
"08484","BANCA DI CESENA CRED.COOP.","A"
"08485","BANCA CRED.COOP.CHIANCIANO TERME","A"
"08486","BANCA CREDITO COOP.DI PISTOIA","A"
"08487","BANCA CREDITO COOP.CHERASCO","A"
"08488","C.R.A. DI CHIEVE","A"
"08489","C.R.A. DI CHIUSI","A"
"08491","C.R.A. CIVITANOVA E MONTECOSARO","A"
"08492","C.R.A. DI CITTANOVA","A"
"08494","BANCA C.C.PARCO N.ABRUZZO C.A.","A"
"08499","CRA BARIANO E COLOGNO AL SERIO","A"
"08503","BANCA DI CREDITO COOP.CONVERSANO","A"
"08504","C.R.A. DI CERRETO SANNITA","A"
"08505","C.R.A. COPIANO BANCA CRED.COOP.","A"
"08506","BANCA CREDITO COOP.OSPEDALETTO","A"
"08508","C.R.A. DI CORINALDO","A"
"08509","C.R.A. DI CENTO","A"
"08511","CRA CORTINA D'AMPEZZO DOLOMITI","A"
"08512","BANCA CREDITO COOP.DI COSENZA","A"
"08514","BANCA CRED.COOP.CALCIO E DI COVO","A"
"08515","C.R.A. DI CREMENO","A"
"08517","C.R.A. CRETA CASTELSANGIOVANNI","A"
"08519","BANCA CREDITO COOP.FANO","A"
"08520","BANCA DI CRED.COOP. DEL SILE","A"
"08522","C.R.A. DI CAPALBIO","A"
"08528","C.R.A.COPERSITO CILENTO CR.COOP.","A"
"08530","B.C.C.DI ALBA LANGHE E ROERO","A"
"08531","C.R.A. DI DIPIGNANO","A"
"08532","C.R.A. DI DOBERDO DEL LAGO","A"
"08537","C.R.A. DI ERCHIE","A"
"08538","BANCA CREDITO COOP.CAMUNA","A"
"08540","C.R.A. DI FAETANO","A"
"08542","CRED.COOP.PROV.DI RAVENNA","A"
"08545","C.R.A. DI FARNESE","A"
"08547","C.R.A. DI FICULLE","A"
"08549","C.R.A. DI FILOTTRANO","A"
"08550","BANCA DI CRED.COOP.DI FIUGGI","A"
"08551","BANCA C.COOP.FIUMICELLO AIELLO","A"
"08553","BANCA CRED.COOP. DI FLUMERI","A"
"08554","B.C.C. DI GAUDIANO DI LAVELLO","A"
"08556","C.R.A. DI FORLI","A"
"08561","CRAS-BANCA CRED.COOP.DI SALERNO","A"
"08562","C.R.A. DI FORNACETTE","A"
"08565","C.R.A. DI BUCCINO","A"
"08566","B.C.C. DI CORTENOVA VALSASSINA","A"
"08567","C.R.A. DI DASA'","A"
"08568","C.CRED.COOP.MEDIA MAGNA GRECIA","A"
"08570","C.R.A. GALLO DI GRINZANE CAVOUR","A"
"08572","BANCA CRED.COOP. DI GAMBATESA","A"
