CD_NODO,DS_NODO,CD_ACCESSO,BUSINESS_PROCESS,PG_ORDINAMENTO,FL_TERMINALE,LIVELLO,URL_ICONA,CD_PROPRIO_NODO,CD_NODO_PADRE,URL_ICONA_OPEN,UTCR,UTUV,PG_VER_REC
"0.CFG.PDCFIN.ASSC.PE0020.M","gestione","CFGPDCFINASSCPE0020M","CRUDConfigAssCapEntrataCnrContoEconomRicavoBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PE0020","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0010","associazione titolo Ente titolo CDS","NULL","NULL","4","N","4","NULL","PF0010","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0010.M","gestione","CFGPDCFINASSCPF0010M","CRUDConfigAssTitoloCnrTitoloCdsBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PF0010","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0020","associazione capitolo di spesa Ente + natura con capitolo di Entrata CDS","NULL","NULL","1","N","4","NULL","PF0020","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0020.M","gestione","CFGPDCFINASSCPF0020M","CRUDConfigAssCapSpesaCnrNaturaCapEntrataCdsBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PF0020","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0030","associazione capitolo di spesa CDS con tipologia di intervento","NULL","NULL","2","N","4","NULL","PF0030","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0030.M","gestione","CFGPDCFINASSCPF0030M","CRUDConfigAssCapSpesaCdsTipoInterventoBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PF0030","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0040","associazione capitolo di entrata Ente con natura","NULL","NULL","6","N","4","NULL","PF0040","0.CFG.PDCFIN.ASSC","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.ASSC.PF0040.M","gestione","CFGPDCFINASSCPF0040M","CRUDConfigAssCapEntrataCnrNaturaBP","2","Y","5","NULL","M","0.CFG.PDCFIN.ASSC.PF0040","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.CFV","visualizzazione persona fisica/giuridica","CFGANAGCFCOREANAGCFV","CRUDAnagraficaPersonaBP","2","Y","3","NULL","CFV","0.CFG.ANAGCF","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.SO.SOM","gestione","CFGANAGCFCOREANAGSOM","CRUDAnagraficaStrutturaCNRBP","2","Y","4","NULL","SOM","0.CFG.ANAGCF.SO","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.CFM","gestione persona fisica/giuridica","CFGANAGCFCOREANAGCFM","CRUDAnagraficaPersonaBP","3","Y","3","NULL","CFM","0.CFG.ANAGCF","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UCOMUN","utenza comune","NULL","NULL","3","N","3","NULL","UCOMUN","0.CFG.UTENZE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UCOMUN.M","gestione","CFGUTENZECOREUCOMUNM","CRUDConfigUtenteComuneBP","2","Y","4","NULL","M","0.CFG.UTENZE.UCOMUN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UCOMUN.V","visualizzazione","CFGUTENZECOREUCOMUNV","CRUDConfigUtenteComuneBP","1","Y","4","NULL","V","0.CFG.UTENZE.UCOMUN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UADMIN","utenza Amministratore di utenze","NULL","NULL","1","N","3","NULL","UADMIN","0.CFG.UTENZE","NULL","SYSTEM","SYSTEM","1"
"0.CFG.UTENZE.UADMIN.M","gestione","CFGUTENZECOREUADMINM","CRUDConfigUtenteAmministratoreBP","2","Y","4","NULL","M","0.CFG.UTENZE.UADMIN","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.RAPLEG","rappresentante legale","NULL","NULL","6","N","4","NULL","RAPLEG","0.CFG.ANAGCF.TABR","NULL","SYSTEM","SYSTEM","1"
"0.PRV.PDGEST.M","gestione","PRVPDGESTCOREPDGCORM","PdGPreventivoBP","3","Y","3","NULL","M","0.PRV.PDGEST","NULL","SYSTEM","SYSTEM","1"
"0.PRV.PDGEST.V","visualizzazione","PRVPDGESTCOREPDGCORV","PdGPreventivoBP","1","Y","3","NULL","V","0.PRV.PDGEST","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.RAPLEG.M","gestione","CFGANAGCFTABRRAPLEGM","CRUDRappresentanteLegale","2","Y","5","NULL","M","0.CFG.ANAGCF.TABR.RAPLEG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ANAGCF.TABR.RAPLEG.V","visualizzazione","CFGANAGCFTABRRAPLEGV","CRUDRappresentanteLegale","1","Y","5","NULL","V","0.CFG.ANAGCF.TABR.RAPLEG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.ESERCI","Esercizio contabile","NULL","NULL","70","N","2","NULL","ESERCI","0.CFG","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSS","capitolo CDS Spesa parte 1","NULL","NULL","4","N","3","NULL","CACDSS","0.CFG.PDCFIN","NULL","SYSTEM","SYSTEM","1"
"0.PRV","Preventivi","NULL","NULL","3","N","1","NULL","PRV","0","NULL","SYSTEM","SYSTEM","1"
"0.PRV.PDGEST","Piano di gestione","NULL","NULL","20","N","2","NULL","PDGEST","0.PRV","NULL","SYSTEM","SYSTEM","1"
"0.CFG.PDCFIN.CACDSS.M","gestione","CFGPDCFINCORECACDSSM","CRUDConfigPdcCDSSpeseBP","2","Y","4","NULL","M","0.CFG.PDCFIN.CACDSS","NULL","SYSTEM","SYSTEM","1"
"0.SERV","Funzionalita di servizio","NULL","NULL","1","N","1","errormsg.gif","SERV","0","NULL","SYSTEM","SYSTEM","1"
