CD_ANAG,CD_CLASSIFIC_ANAG,TI_ENTITA,TI_ENTITA_FISICA,TI_ENTITA_GIURIDICA,FL_SOGGETTO_IVA,CODICE_FISCALE,PARTITA_IVA,RAGIONE_SOCIALE,COGNOME,VIA_FISCALE,NUM_CIVICO_FISCALE,PG_COMUNE_FISCALE,CAP_COMUNE_FISCALE,PG_NAZIONE_FISCALE,FL_FATTURAZIONE_DIFFERITA,FL_OCCASIONALE,TI_ITALIANO_ESTERO,FL_CERVELLONE,FL_NON_OBBLIG_P_IVA,PG_TIPOLOGIA,FL_STUDIO_ASSOCIATO,FL_SPECIALE,FL_SOSPENSIONE_IRPEF,CODICE_AMMINISTRAZIONE_IPA,DATA_AVVIO_FATT_ELETTR,FL_ABILITA_DIARIA_MISS_EST,UTCR,UTUV,PG_VER_REC
"1","NULL","U","NULL","NULL","N","NULL","NULL","INSERIRE DENOMINAZIONE ENTE","NULL","INSERIRE VIA ENTE","NULL","5562","NULL","1","N","N","I","N","N","16","N","N","N","NULL","2015-03-31","N","SYSTEM","SYSTEM","1"
"10","NULL","G","NULL","A","Y","96002560587","96002560587","FEDERAZIONE SCUOLA, UNIVERSITA', RICERCA (CISL FSUR)","NULL","VIA MERULANA, 198","NULL","5562","NULL","1","N","N","I","N","N","31","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"11","NULL","G","NULL","A","Y","96143130589","96143130589","FEDERAZIONE GILDA-UNAMS","NULL","Via del Castro Pretorio","30","5562","00198","1","N","N","I","N","N","NULL","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"12","NULL","G","NULL","A","Y","97018960589","97018960589","Unione Sindacati Professionisti Pubblico-Privato Impiego","NULL","Via Cesare Baronio","187","5562","00179","1","N","N","I","N","N","NULL","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"13","NULL","G","NULL","A","Y","97303800581","97303800581","UNIONE SINDACALE DI BASE Pubblico Impiego","NULL","Via dell'Aeroporto","129","5562","00175","1","N","N","I","N","N","NULL","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"14","NULL","G","NULL","A","Y","08437820155","08437820155","FIDITALIA S.P.A","NULL","VIA G. SILVA","34","3831","20149","1","N","N","I","N","N","30","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"15","NULL","G","NULL","A","Y","00667720585","00922061007","FIDES S.P.A.","NULL","VIA CRESCENZIO ","16","5562","00193","1","N","N","I","N","N","30","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"16","NULL","G","NULL","A","Y","NULL","NULL","ALTRI ENTI - STIPENDI","NULL","Via","NULL","5562","00100","1","N","N","I","N","N","30","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"17","NULL","G","NULL","P","Y","01165400589","01165400589","INAIL","NULL","VIA STEFANO GRADI","55","5562","00143","1","N","N","I","N","N","NULL","N","N","N","NULL","NULL","N","SYSTEM","SYSTEM","1"
"18","NULL","G","NULL","A","Y","05923561004","05923561004","AGENZIA DELLE ENTRATE - Direzione Provinciale II di ROMA - Ufficio Territoriale ROMA 6 - EUR TORRINO","NULL","VIA CANTON","20","5562","NULL","1","N","N","I","N","N","NULL","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"2","NULL","D","NULL","A","N","NULL","NULL","DIVERSI","NULL","VIA DIVERSI","1","5562","NULL","1","N","N","I","N","N","NULL","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"3","NULL","D","A","NULL","N","NULL","NULL","NULL","CREDITORI E DEBITORI DIVERSI PER STIPENDI","VIA","NULL","5562","00151","1","N","N","I","N","N","32","N","N","N","NULL","NULL","N","SYSTEM","SYSTEM","1"
"4","NULL","G","NULL","P","Y","80073230155","80073230155","MINISTERO DELLE FINANZE","NULL","ROMA","NULL","5562","NULL","1","N","N","I","N","N","1","N","N","N","gdf","2014-06-06","N","SYSTEM","SYSTEM","1"
"5","ENTE.PUBBL","G","NULL","P","Y","80078750587","02121151001","INPS ISTITUTO NAZIONALE PREVIDENZA SOCIALE","NULL","Via CIRO IL GRANDE ","21","5562","00144","1","N","N","I","N","N","2","N","N","N","inps","2014-06-06","N","SYSTEM","SYSTEM","1"
"6","NULL","G","NULL","P","Y","01057021006","01057021006","INPGI","NULL","VIA NIZZA","35","5562","NULL","1","N","N","I","N","N","2","N","N","N","NULL","NULL","N","SYSTEM","SYSTEM","1"
"7","NULL","G","NULL","A","Y","97095380586","97095380586","INPDAP SEDE DI ROMA - DIREZIONE GENERALE CREDITO","NULL","CORSO D'ITALIA 108","NULL","5562","NULL","1","N","N","I","N","N","2","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"8","NULL","G","NULL","A","Y","97199830585","97199830585","Federazione UIL Scuola RUA","NULL","Via Umbria","15","5562","00187","1","N","N","I","N","N","31","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
"9","NULL","G","NULL","A","Y","97339440584","97339440584","FLC CGIL FEDERAZIONE LAVORATORI DELLA CONOSCENZA ","NULL","VIA LEOPOLDO SERRA","31","5562","00153","1","N","N","I","N","N","30","N","N","N","NULL","2019-01-01","N","SYSTEM","SYSTEM","1"
