TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_ELEMENTO_VOCE_COLL,TI_APPARTENENZA_COLL,TI_GESTIONE_COLL,CD_CDS,CD_NATURA,TI_ELEMENTO_VOCE,TI_ELEMENTO_VOCE_COLL,UTCR,UTUV,PG_VER_REC
"C","E","33009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35014","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35015","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35016","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35017","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","35019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
