TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
"C","E","21001","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21002","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21003","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21004","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21005","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21006","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21007","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21008","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21009","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21010","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21011","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21012","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21013","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21014","E","2010101001","SYSTEM","SYSTEM","1"
"C","E","21015","E","2010101003","SYSTEM","SYSTEM","1"
"C","E","21016","E","2010101004","SYSTEM","SYSTEM","1"
"C","E","21017","E","2010101005","SYSTEM","SYSTEM","1"
"C","E","21018","E","2010101006","SYSTEM","SYSTEM","1"
"C","E","21019","E","2010101007","SYSTEM","SYSTEM","1"
"C","E","21020","E","2010101008","SYSTEM","SYSTEM","1"
"C","E","21021","E","2010101009","SYSTEM","SYSTEM","1"
"C","E","21022","E","2010101010","SYSTEM","SYSTEM","1"
"C","E","21023","E","2010101012","SYSTEM","SYSTEM","1"
"C","E","21024","E","2010101013","SYSTEM","SYSTEM","1"
"C","E","21025","E","2010102001","SYSTEM","SYSTEM","1"
"C","E","21026","E","2010102001","SYSTEM","SYSTEM","1"
"C","E","21027","E","2010102002","SYSTEM","SYSTEM","1"
"C","E","21028","E","2010102003","SYSTEM","SYSTEM","1"
"C","E","21029","E","2010102004","SYSTEM","SYSTEM","1"
"C","E","21030","E","2010102005","SYSTEM","SYSTEM","1"
"C","E","21031","E","2010102006","SYSTEM","SYSTEM","1"
"C","E","21032","E","2010102007","SYSTEM","SYSTEM","1"
"C","E","21033","E","2010102008","SYSTEM","SYSTEM","1"
"C","E","21034","E","2010102009","SYSTEM","SYSTEM","1"
"C","E","21035","E","2010102010","SYSTEM","SYSTEM","1"
"C","E","21036","E","2010102011","SYSTEM","SYSTEM","1"
"C","E","21037","E","2010102012","SYSTEM","SYSTEM","1"
"C","E","21038","E","2010102013","SYSTEM","SYSTEM","1"
"C","E","21039","E","2010102014","SYSTEM","SYSTEM","1"
"C","E","21040","E","2010102015","SYSTEM","SYSTEM","1"
"C","E","21041","E","2010102016","SYSTEM","SYSTEM","1"
"C","E","21042","E","2010102017","SYSTEM","SYSTEM","1"
"C","E","21043","E","2010102018","SYSTEM","SYSTEM","1"
"C","E","21044","E","2010102019","SYSTEM","SYSTEM","1"
"C","E","21045","E","2010102999","SYSTEM","SYSTEM","1"
"C","E","21046","E","2010103001","SYSTEM","SYSTEM","1"
"C","E","21047","E","2010103002","SYSTEM","SYSTEM","1"
"C","E","21048","E","2010103999","SYSTEM","SYSTEM","1"
"C","E","21049","E","2010201001","SYSTEM","SYSTEM","1"
"C","E","21050","E","2010302001","SYSTEM","SYSTEM","1"
