TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"D","S","14002","C14002","P14002","SYSTEM","SYSTEM","1"
"D","S","14012","C14012","P14012","SYSTEM","SYSTEM","1"
"D","S","14019","C14019","P14019","SYSTEM","SYSTEM","1"
"D","S","13042","C13042","P13042","SYSTEM","SYSTEM","1"
"D","S","17005","C17005","P17005","SYSTEM","SYSTEM","1"
"D","S","19004","C19004","P19004","SYSTEM","SYSTEM","1"
"D","S","10006","C10006","P10006","SYSTEM","SYSTEM","1"
"C","E","21031","R21031","A21031","SYSTEM","SYSTEM","1"
"C","E","21036","R21036","A21036","SYSTEM","SYSTEM","1"
"C","E","21046","R21046","A21046","SYSTEM","SYSTEM","1"
"C","E","91001","A91001","NULL","SYSTEM","SYSTEM","1"
"D","S","22033","C13077","P13077","SYSTEM","SYSTEM","1"
"C","E","21066","R21066","A21066","SYSTEM","SYSTEM","1"
"D","S","43002","P43001","P63002","SYSTEM","SYSTEM","1"
"D","S","11042","C11042","P11042","SYSTEM","SYSTEM","1"
"D","S","22019","A22019","P22019","SYSTEM","SYSTEM","1"
"D","S","31001","A31001B","P31001B","SYSTEM","SYSTEM","1"
"C","E","21051","R21051","A21051","SYSTEM","SYSTEM","1"
"C","E","31002","R31002","A31002","SYSTEM","SYSTEM","1"
"C","E","31005","R31005","A31005","SYSTEM","SYSTEM","1"
"C","E","31013","R31013","A31013","SYSTEM","SYSTEM","1"
"C","E","33010","R33010","A33010","SYSTEM","SYSTEM","1"
"C","E","35009","R35009","A35009","SYSTEM","SYSTEM","1"
"C","E","35018","R35018","A35018","SYSTEM","SYSTEM","1"
"C","E","44006","R44006","A44006","SYSTEM","SYSTEM","1"
"C","E","44007","R44007","A44007","SYSTEM","SYSTEM","1"
"C","E","44015","R44015","A44015","SYSTEM","SYSTEM","1"
"C","E","44016","R44016","A44016","SYSTEM","SYSTEM","1"
"C","E","44017","R44017","A44017","SYSTEM","SYSTEM","1"
"C","E","44018","R44018","A44018","SYSTEM","SYSTEM","1"
"C","E","53001","A53001","A53001","SYSTEM","SYSTEM","1"
"D","S","71002","P71002","P71002","SYSTEM","SYSTEM","1"
"D","S","11008","C11008","P11008","SYSTEM","SYSTEM","1"
"D","S","11018","C11018","P11018","SYSTEM","SYSTEM","1"
"D","S","11021","C11021","P11021","SYSTEM","SYSTEM","1"
"D","S","11023","C11023","P11023","SYSTEM","SYSTEM","1"
"D","S","11032","C11032","P11032","SYSTEM","SYSTEM","1"
"D","S","12011","C12011","P12011","SYSTEM","SYSTEM","1"
