TI_APPARTENENZA,TI_GESTIONE,CD_VOCE,TI_APPARTENENZA_CLG,TI_GESTIONE_CLG,CD_VOCE_CLG,UTCR,UTUV,PG_VER_REC
"C","E","91002","D","S","71002","SYSTEM","SYSTEM","1"
"C","E","91003","D","S","71003","SYSTEM","SYSTEM","1"
"C","E","91004","D","S","71004","SYSTEM","SYSTEM","1"
"C","E","91005","D","S","71005","SYSTEM","SYSTEM","1"
"C","E","91006","D","S","71006","SYSTEM","SYSTEM","1"
"C","E","91007","D","S","71007","SYSTEM","SYSTEM","1"
"C","E","91010","D","S","71010","SYSTEM","SYSTEM","1"
"C","E","91011","D","S","71011","SYSTEM","SYSTEM","1"
"C","E","91012","D","S","71012","SYSTEM","SYSTEM","1"
"C","E","92046","D","S","72046","SYSTEM","SYSTEM","1"
