CD_TIPO_RAPPORTO,CD_TRATTAMENTO,UTCR,UTUV,PG_VER_REC
"OCCA","R017","SYSTEM","SYSTEM","1"
"OCCA","R017C","SYSTEM","SYSTEM","1"
"OCCA","R123","SYSTEM","SYSTEM","1"
"OCCA","R123C","SYSTEM","SYSTEM","1"
"OCCA","R127","SYSTEM","SYSTEM","1"
"OCCA","R127C","SYSTEM","SYSTEM","1"
"OCCA","R127SC","SYSTEM","SYSTEM","1"
"OCCA","R128","SYSTEM","SYSTEM","1"
"OCCA","R128C","SYSTEM","SYSTEM","1"
"OCCA","R132","SYSTEM","SYSTEM","1"
"OCCA","R134","SYSTEM","SYSTEM","1"
"OCCA","R134C","SYSTEM","SYSTEM","1"
"OCCA","R146","SYSTEM","SYSTEM","1"
"OCCA","T017","SYSTEM","SYSTEM","1"
"OCCA","T017C","SYSTEM","SYSTEM","1"
"OCCA","T017SC","SYSTEM","SYSTEM","1"
"OCCA","T054","SYSTEM","SYSTEM","1"
"OCCA","T054C","SYSTEM","SYSTEM","1"
"OCCA","T054SC","SYSTEM","SYSTEM","1"
"OCCA","T055","SYSTEM","SYSTEM","1"
"OCCA","T055C","SYSTEM","SYSTEM","1"
"OCCA","T056","SYSTEM","SYSTEM","1"
"OCCA","T056C","SYSTEM","SYSTEM","1"
"OCCA","T057","SYSTEM","SYSTEM","1"
"OCCA","T057C","SYSTEM","SYSTEM","1"
"OCCA","T058","SYSTEM","SYSTEM","1"
"OCCA","T058C","SYSTEM","SYSTEM","1"
"OCCA","T086","SYSTEM","SYSTEM","1"
"OCCA","T086C","SYSTEM","SYSTEM","1"
"OCCA","T114","SYSTEM","SYSTEM","1"
"OCCA","T123","SYSTEM","SYSTEM","1"
"OCCA","T123C","SYSTEM","SYSTEM","1"
"OCCA","T123S","SYSTEM","SYSTEM","1"
"OCCA","T124S","SYSTEM","SYSTEM","1"
"OCCA","T126","SYSTEM","SYSTEM","1"
"OCCA","T126C","SYSTEM","SYSTEM","1"
"OCCA","T127","SYSTEM","SYSTEM","1"
"OCCA","T127C","SYSTEM","SYSTEM","1"
"OCCA","T128","SYSTEM","SYSTEM","1"
"OCCA","T128C","SYSTEM","SYSTEM","1"
"OCCA","T132","SYSTEM","SYSTEM","1"
"OCCA","T132C","SYSTEM","SYSTEM","1"
"OCCA","T133","SYSTEM","SYSTEM","1"
"OCCA","T133C","SYSTEM","SYSTEM","1"
"OCCA","T134","SYSTEM","SYSTEM","1"
"OCCA","T134C","SYSTEM","SYSTEM","1"
"OCCA","T134SC","SYSTEM","SYSTEM","1"
"OCCA","T135","SYSTEM","SYSTEM","1"
"OCCA","T141","SYSTEM","SYSTEM","1"
"OCCA","T141C","SYSTEM","SYSTEM","1"
"OCCA","T141CSC","SYSTEM","SYSTEM","1"
"OCCA","T141SC","SYSTEM","SYSTEM","1"
"OCCA","T146","SYSTEM","SYSTEM","1"
"OCCA","T200","SYSTEM","SYSTEM","1"
