CD_CONTRIBUTO_RITENUTA,TI_GESTIONE_SIOPE_S,CD_SIOPE_S,TI_GESTIONE_SIOPE_E,CD_SIOPE_E,UTCR,UTUV,PG_VER_REC
"STI0105","S","7010202001","E","9010202001","SYSTEM","SYSTEM","1"
"STI0001","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0002","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0007","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0008","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0009","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0010","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI0011","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI1002","S","7010301001","E","9010301001","SYSTEM","SYSTEM","1"
"STI0003","S","7010202001","E","9010202001","SYSTEM","SYSTEM","1"
"STI7050","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI7054","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI7053","S","7010299999","E","9010299999","SYSTEM","SYSTEM","1"
"STI1001","S","7010201001","E","9010201001","SYSTEM","SYSTEM","1"
"STI0913","S","7010202001","E","9010202001","SYSTEM","SYSTEM","1"
