CD_CONTRIBUTO_RITENUTA,TI_ENTE_PERCEPIENTE,SEZIONE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"STIL20R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"STI4Z63","P","D","C12018","P71005","SYSTEM","SYSTEM","1"
"STIL10R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"STIJ20R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"STIL40R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"INPGICPADD","E","A","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADD","E","D","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADD","P","A","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADD","P","D","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADM","E","A","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADM","E","D","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADM","P","A","C12018","P71004","SYSTEM","SYSTEM","1"
"INPGICPADM","P","D","C12018","P71004","SYSTEM","SYSTEM","1"
"INPSADM","P","A","R35013","P71004","SYSTEM","SYSTEM","1"
"INPSADM","P","D","C12018","P71004","SYSTEM","SYSTEM","1"
"CPDELCPADM","P","A","R35013","P71004","SYSTEM","SYSTEM","1"
"CPDELCPADM","P","D","C12018","P71004","SYSTEM","SYSTEM","1"
"CPSCPADM","P","A","R35013","P71004","SYSTEM","SYSTEM","1"
"CPSCPADM","P","D","C12018","P71004","SYSTEM","SYSTEM","1"
"STIF50R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"STIF40R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"STIZ00R","P","D","C12018","P71002","SYSTEM","SYSTEM","1"
"CPDELCAM","E","A","R35013","P71004","SYSTEM","SYSTEM","1"
"CPDELCAM","E","D","C12018","P71004","SYSTEM","SYSTEM","1"
