PG_TIPOLOGIA,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
1,"E","2010101001","SYSTEM","SYSTEM","1"
1,"E","2010101003","SYSTEM","SYSTEM","1"
1,"E","2010101004","SYSTEM","SYSTEM","1"
1,"E","9020201003","SYSTEM","SYSTEM","1"
1,"E","9020201004","SYSTEM","SYSTEM","1"
1,"S","1040101002","SYSTEM","SYSTEM","1"
1,"S","1040101004","SYSTEM","SYSTEM","1"
1,"S","1040101020","SYSTEM","SYSTEM","1"
1,"S","7020201001","SYSTEM","SYSTEM","1"
1,"S","7020201003","SYSTEM","SYSTEM","1"
1,"S","7020201004","SYSTEM","SYSTEM","1"
2,"E","2010103001","SYSTEM","SYSTEM","1"
2,"E","2010103002","SYSTEM","SYSTEM","1"
2,"E","2010103999","SYSTEM","SYSTEM","1"
2,"E","9020203001","SYSTEM","SYSTEM","1"
2,"E","9020203002","SYSTEM","SYSTEM","1"
2,"E","9020203999","SYSTEM","SYSTEM","1"
2,"S","1040103002","SYSTEM","SYSTEM","1"
2,"S","7020203001","SYSTEM","SYSTEM","1"
2,"S","7020203002","SYSTEM","SYSTEM","1"
2,"S","7020203999","SYSTEM","SYSTEM","1"
4,"E","2010102001","SYSTEM","SYSTEM","1"
4,"E","9020202001","SYSTEM","SYSTEM","1"
4,"S","1040102001","SYSTEM","SYSTEM","1"
4,"S","7020202001","SYSTEM","SYSTEM","1"
5,"E","2010102003","SYSTEM","SYSTEM","1"
5,"E","9020202003","SYSTEM","SYSTEM","1"
5,"S","7020202003","SYSTEM","SYSTEM","1"
6,"E","2010102001","SYSTEM","SYSTEM","1"
6,"E","2010102002","SYSTEM","SYSTEM","1"
6,"E","9020202002","SYSTEM","SYSTEM","1"
6,"S","1040102001","SYSTEM","SYSTEM","1"
6,"S","7020202001","SYSTEM","SYSTEM","1"
6,"S","7020202002","SYSTEM","SYSTEM","1"
7,"E","2010102004","SYSTEM","SYSTEM","1"
7,"E","9020202004","SYSTEM","SYSTEM","1"
7,"S","7020202004","SYSTEM","SYSTEM","1"
8,"E","2010102006","SYSTEM","SYSTEM","1"
8,"E","9020202006","SYSTEM","SYSTEM","1"
8,"S","7020202006","SYSTEM","SYSTEM","1"
9,"E","2010102005","SYSTEM","SYSTEM","1"
9,"E","9020202005","SYSTEM","SYSTEM","1"
9,"S","7020202005","SYSTEM","SYSTEM","1"
10,"E","2010102011","SYSTEM","SYSTEM","1"
10,"E","9020202011","SYSTEM","SYSTEM","1"
10,"S","1040102011","SYSTEM","SYSTEM","1"
10,"S","7020202011","SYSTEM","SYSTEM","1"
11,"E","2010102012","SYSTEM","SYSTEM","1"
11,"E","9020202012","SYSTEM","SYSTEM","1"
11,"S","1040102012","SYSTEM","SYSTEM","1"
11,"S","7020202012","SYSTEM","SYSTEM","1"
12,"E","2010102012","SYSTEM","SYSTEM","1"
12,"E","2010102013","SYSTEM","SYSTEM","1"
12,"E","9020202012","SYSTEM","SYSTEM","1"
12,"E","9020202013","SYSTEM","SYSTEM","1"
12,"S","1040102012","SYSTEM","SYSTEM","1"
12,"S","1040102013","SYSTEM","SYSTEM","1"
12,"S","7020202012","SYSTEM","SYSTEM","1"
12,"S","7020202013","SYSTEM","SYSTEM","1"
13,"E","2010302999","SYSTEM","SYSTEM","1"
13,"E","2010502001","SYSTEM","SYSTEM","1"
14,"E","2010102014","SYSTEM","SYSTEM","1"
14,"E","9020202014","SYSTEM","SYSTEM","1"
14,"S","1040102014","SYSTEM","SYSTEM","1"
14,"S","7020202014","SYSTEM","SYSTEM","1"
15,"E","2010101013","SYSTEM","SYSTEM","1"
16,"E","2010101013","SYSTEM","SYSTEM","1"
16,"E","9020201013","SYSTEM","SYSTEM","1"
16,"S","1040101013","SYSTEM","SYSTEM","1"
16,"S","7020201013","SYSTEM","SYSTEM","1"
18,"E","2010102007","SYSTEM","SYSTEM","1"
18,"E","9020202007","SYSTEM","SYSTEM","1"
18,"S","7020202007","SYSTEM","SYSTEM","1"
19,"E","2010102010","SYSTEM","SYSTEM","1"
19,"E","9020202010","SYSTEM","SYSTEM","1"
19,"S","7020202010","SYSTEM","SYSTEM","1"
21,"E","2010102008","SYSTEM","SYSTEM","1"
21,"E","9020202008","SYSTEM","SYSTEM","1"
21,"S","1040102008","SYSTEM","SYSTEM","1"
21,"S","7020202008","SYSTEM","SYSTEM","1"
23,"E","2010102009","SYSTEM","SYSTEM","1"
23,"E","9020202009","SYSTEM","SYSTEM","1"
23,"S","7020202009","SYSTEM","SYSTEM","1"
24,"E","2010101005","SYSTEM","SYSTEM","1"
24,"E","2010101007","SYSTEM","SYSTEM","1"
24,"E","2010102015","SYSTEM","SYSTEM","1"
24,"E","2010102016","SYSTEM","SYSTEM","1"
24,"E","2010102017","SYSTEM","SYSTEM","1"
24,"E","2010102018","SYSTEM","SYSTEM","1"
24,"E","2010102019","SYSTEM","SYSTEM","1"
24,"E","2010102999","SYSTEM","SYSTEM","1"
24,"E","9020201005","SYSTEM","SYSTEM","1"
24,"E","9020201007","SYSTEM","SYSTEM","1"
24,"E","9020202015","SYSTEM","SYSTEM","1"
24,"E","9020202016","SYSTEM","SYSTEM","1"
24,"E","9020202017","SYSTEM","SYSTEM","1"
24,"E","9020202018","SYSTEM","SYSTEM","1"
24,"E","9020202019","SYSTEM","SYSTEM","1"
24,"E","9020202999","SYSTEM","SYSTEM","1"
24,"S","1040102017","SYSTEM","SYSTEM","1"
24,"S","7020201005","SYSTEM","SYSTEM","1"
24,"S","7020201007","SYSTEM","SYSTEM","1"
24,"S","7020202015","SYSTEM","SYSTEM","1"
24,"S","7020202016","SYSTEM","SYSTEM","1"
24,"S","7020202017","SYSTEM","SYSTEM","1"
24,"S","7020202018","SYSTEM","SYSTEM","1"
24,"S","7020202019","SYSTEM","SYSTEM","1"
24,"S","7020202999","SYSTEM","SYSTEM","1"
25,"E","2010101006","SYSTEM","SYSTEM","1"
25,"E","2010101008","SYSTEM","SYSTEM","1"
25,"E","2010101009","SYSTEM","SYSTEM","1"
25,"E","2010101010","SYSTEM","SYSTEM","1"
