CD_LOG_TIPO,TI_LOG,DS_LOG_TIPO,NOTE,UTCR,UTUV,PG_VER_REC
"LOG_DEL_BATCH","X","Batch di cancellazione BATCH_LOG_TSTA","NULL","SYSTEM","SYSTEM","1"
"AMM_BENI00","O","AMMORTAMENTO BENI","NULL","SYSTEM","SYSTEM","1"
"ESTR_INPS_MENSILE","O","ESTRAZIONE DATI INPS MENSILE","NULL","SYSTEM","SYSTEM","1"
"ELAB_STIP00","O","Elaborazione Flussi Stipendi","NULL","SYSTEM","SYSTEM","1"
"RIB_CONF_ES01","B","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli e piano dei conti","NULL","SYSTEM","SYSTEM","1"
"LOG_AGG_VIEW","X","Aggiornamento VIEW Materializzate","NULL","SYSTEM","SYSTEM","1"
"ESTRAZIONE_770","O","ESTRAZIONE DATI 770","NULL","SYSTEM","SYSTEM","1"
"UNDEF00","X","Tipo di log non definito","NULL","SYSTEM","SYSTEM","1"
"LIQUID_MC00","O","Liquidazione massiva minicarriere","NULL","SYSTEM","SYSTEM","1"
"PROD_BILFINCNR00","O","Produzione bilancio preventivo CNR","NULL","SYSTEM","SYSTEM","1"
"REG_COGE00","B","Registrazione economica analitica","Batch","SYSTEM","SYSTEM","1"
"LIQUID_IVA_MASS00","O","LIQUIDAZIONE IVA AL CENTRO PER TUTTE LE UO","NULL","SYSTEM","SYSTEM","1"
"INTERF_CASS00","O","Interfaccia di ritorno cassiere","NULL","SYSTEM","SYSTEM","1"
"MAR_MAN_REV00","X","Verifica disallineamento mandati/reversali","NULL","SYSTEM","SYSTEM","1"
"MAR_OBB_ACC00","X","Verifica disallineamento obbligazioni/accertamenti","NULL","SYSTEM","SYSTEM","1"
"MAR_SALDI00","X","Verifica disallineamento saldi","NULL","SYSTEM","SYSTEM","1"
"CHIUSURA_COGE00","B","Chiusura economica analitica","Batch","SYSTEM","SYSTEM","1"
"RIB_CONF_ES00","B","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli e piano dei conti","NULL","SYSTEM","SYSTEM","1"
"ANN_DOCCONT00","O","Annullamento massivo documenti contabili per chiusura","NULL","SYSTEM","SYSTEM","1"
"RIP_ES_DOCCONT00","O","Riporto all'esercizio successivo documenti contabili per chiusura","NULL","SYSTEM","SYSTEM","1"
"RIP_ES_DOCCONT01","O","Riporto all'esercizio precedente documenti contabili","NULL","SYSTEM","SYSTEM","1"
"CONG_FAT_ES_CH","B","Congelamento fatture di esercizio chiuso","Batch","SYSTEM","SYSTEM","1"
"ESTR_LA_CESSATE00","B","Estrazione linee di attivit? cessate impropriamente","NULL","SYSTEM","SYSTEM","1"
"CHK_FONDO_ECO","B","Verifica quadratura Fondo Economale","Batch","SYSTEM","SYSTEM","1"
"LIQUID_CORI_MASS00","B","Liquidazione massiva CORI da esercizio precedente","Batch","SYSTEM","SYSTEM","1"
"ESTRAZIONE_CUD","O","ESTRAZIONE DATI CUD","NULL","SYSTEM","SYSTEM","1"
"ESTRAZIONE_INPS","O","ESTRAZIONE DATI INPS","NULL","SYSTEM","SYSTEM","1"
"TRASF_BENI00","O","TRASFERIMENTO BENI","NULL","SYSTEM","SYSTEM","1"
