CD_PROCEDURA,DS_PROCEDURA,OBJECT_NAME,PACKAGE_NAME,CD_UTENTE,UTCR,UTUV,PG_VER_REC
"STORICOINDICATORE","Storico Indicatore","JOB_ESTRAZIONEINDICATORE","CNRCTB940","NULL","SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","Controllo Quadratura per CDR e Linea","JOB_MAR_SALDI02","CNRMAR010","NULL","SYSTEM","SYSTEM","1"
"REGISTRAANNCOGEESCHI","Registrazione Annullamento Coge Esercizio Chiuso","JOB_REGISTRAANNCOGEESCHIUSO","CNRCTB220","NULL","SYSTEM","SYSTEM","1"
"DELBATCHTTSTA","Batch di cancellazione BATCH_LOG_TSTA","JOB_DELETEbATCH_LOG_RIGA","CNRMAT001","NULL","SYSTEM","SYSTEM","1"
"AGGVIEWSNAPSHOT","Aggiorna VIEW SNAPSHOT","JOB_AGGIORNAMATVIEW","CNRMAT001","NULL","SYSTEM","SYSTEM","1"
"AGGVIEWREALTIME","Aggiorna VIEW SNAPSHOT Real Time","JOB_AGGIORNAMATVIEW_REALTIME","CNRMAT001","NULL","SYSTEM","SYSTEM","1"
"REGISTRACOGECOAN","Registrazione Coge/Coan","JOB_REGISTRACOGECOAN","CNRCTB220","NULL","SYSTEM","SYSTEM","1"
"RITORNOCASSIERE","Interfaccia di ritorno cassiere","JOB_INTERFACCIA_CASSIERE","CNRCTB750","CINCASSIERE","SYSTEM","SYSTEM","1"
"CONGELAFATTURE","Congelamento fatture esercizio chiuso","JOB_CONGELAFATTURAESCHIUSO","CNRCTB107","$$$$$MIGRAZIONE$$$$$","SYSTEM","SYSTEM","1"
"CONTROLLOQUADRATURA","Controllo Quadratura CMP","JOB_MAR_SALDI00","CNRMAR010","NULL","SYSTEM","SYSTEM","1"
