CD_PROCEDURA,NOME_PARAMETRO,PG_VALORE_PARAMETRO,UTCR,UTUV,PG_VER_REC
"QUADRATURACDRLINEA06","ACDCDR",1,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","ACDCDS",1,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","ACDUO",1,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA",1,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","ACD_VOCE",1,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","AES",3,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","AES",4,"SYSTEM","SYSTEM","1"
"QUADRATURACDRLINEA06","ISMODIFICA",1,"SYSTEM","SYSTEM","1"
"REGISTRACOGECOAN","ACDCDS",1,"SYSTEM","SYSTEM","1"
"REGISTRACOGECOAN","ADATA",1,"SYSTEM","SYSTEM","1"
"REGISTRACOGECOAN","AES",1,"SYSTEM","SYSTEM","1"
