PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
138,"15121","SYSTEM","SYSTEM","1"
138,"15122","SYSTEM","SYSTEM","1"
216,"60121","SYSTEM","SYSTEM","1"
216,"60122","SYSTEM","SYSTEM","1"
216,"60123","SYSTEM","SYSTEM","1"
216,"60124","SYSTEM","SYSTEM","1"
216,"60125","SYSTEM","SYSTEM","1"
216,"60126","SYSTEM","SYSTEM","1"
216,"60127","SYSTEM","SYSTEM","1"
216,"60128","SYSTEM","SYSTEM","1"
216,"60129","SYSTEM","SYSTEM","1"
216,"60130","SYSTEM","SYSTEM","1"
216,"60131","SYSTEM","SYSTEM","1"
404,"85020","SYSTEM","SYSTEM","1"
512,"70121","SYSTEM","SYSTEM","1"
512,"70122","SYSTEM","SYSTEM","1"
512,"70123","SYSTEM","SYSTEM","1"
512,"70124","SYSTEM","SYSTEM","1"
512,"70125","SYSTEM","SYSTEM","1"
512,"70126","SYSTEM","SYSTEM","1"
512,"70127","SYSTEM","SYSTEM","1"
512,"70128","SYSTEM","SYSTEM","1"
512,"70129","SYSTEM","SYSTEM","1"
512,"70130","SYSTEM","SYSTEM","1"
512,"70131","SYSTEM","SYSTEM","1"
512,"70132","SYSTEM","SYSTEM","1"
611,"24121","SYSTEM","SYSTEM","1"
611,"24122","SYSTEM","SYSTEM","1"
611,"24123","SYSTEM","SYSTEM","1"
611,"24124","SYSTEM","SYSTEM","1"
611,"24125","SYSTEM","SYSTEM","1"
611,"24126","SYSTEM","SYSTEM","1"
611,"24127","SYSTEM","SYSTEM","1"
611,"24128","SYSTEM","SYSTEM","1"
611,"24129","SYSTEM","SYSTEM","1"
652,"52010","SYSTEM","SYSTEM","1"
707,"40121","SYSTEM","SYSTEM","1"
707,"40122","SYSTEM","SYSTEM","1"
707,"40123","SYSTEM","SYSTEM","1"
707,"40124","SYSTEM","SYSTEM","1"
707,"40125","SYSTEM","SYSTEM","1"
707,"40126","SYSTEM","SYSTEM","1"
707,"40127","SYSTEM","SYSTEM","1"
707,"40128","SYSTEM","SYSTEM","1"
707,"40129","SYSTEM","SYSTEM","1"
707,"40130","SYSTEM","SYSTEM","1"
707,"40131","SYSTEM","SYSTEM","1"
707,"40132","SYSTEM","SYSTEM","1"
