CD_CAPOCONTO_FIN,DS_CAPOCONTO_FIN,UTCR,UTUV,PG_VER_REC
"J","Spese non classificabili in altre voci","SYSTEM","SYSTEM","1"
"B","Spese per il personale","SYSTEM","SYSTEM","1"
"A","Spese per gli organi dell'ente","SYSTEM","SYSTEM","1"
"C","Beni di consumo e servizi","SYSTEM","SYSTEM","1"
"D","Borse di studio e dottorati","SYSTEM","SYSTEM","1"
"E","Promozione, sviluppo e valorizzazione del Sistema nazionale di ricerca","SYSTEM","SYSTEM","1"
"F","Convenzioni","SYSTEM","SYSTEM","1"
"G","Partecipazioni","SYSTEM","SYSTEM","1"
"H","Attivita internazionali","SYSTEM","SYSTEM","1"
"I","Oneri tributari","SYSTEM","SYSTEM","1"
"L","Oneri finanziari","SYSTEM","SYSTEM","1"
"M","Opere immobiliari ed acquisizione di beni di uso durevole","SYSTEM","SYSTEM","1"
"N","Partecipazioni","SYSTEM","SYSTEM","1"
"O","Indennita di anzianita","SYSTEM","SYSTEM","1"
"P","Depositi definitivi","SYSTEM","SYSTEM","1"
"Q","Rimborso prestiti","SYSTEM","SYSTEM","1"
