COD_CATEGORIA,DS_CATEGORIA,COD_TIPOLOGIA,DS_TIPOLOGIA,FL_SPLIT
"C7","Enti Pubblici Produttori di Servizi Assistenziali, Ricreativi e Culturali  ","PA","Pubbliche Amministrazioni","N"
"C14","Federazioni Nazionali, Ordini, Collegi e Consigli Professionali  ","PA","Pubbliche Amministrazioni","N"
"L16","Fondazioni Lirico, Sinfoniche  ","PA","Pubbliche Amministrazioni","N"
"C11","Forze di Polizia ad Ordinamento Civile e Militare per la Tutela dell'Ordine e della Sicurezza Pubblica  ","PA","Pubbliche Amministrazioni","Y"
"L33","Istituti di Istruzione Statale di Ogni Ordine e Grado  ","PA","Pubbliche Amministrazioni","Y"
"C12","Istituti Zooprofilattici Sperimentali  ","PA","Pubbliche Amministrazioni","N"
"L43","Istituzioni per l'Alta Formazione Artistica, Musicale e Coreutica - AFAM  ","PA","Pubbliche Amministrazioni","Y"
"C2","Organi Costituzionali e di Rilievo Costituzionale  ","PA","Pubbliche Amministrazioni","Y"
"L38","Parchi Nazionali, Consorzi e Enti Gestori di Parchi e Aree Naturali Protette  ","PA","Pubbliche Amministrazioni","N"
"C1","Presidenza del Consiglio dei Ministri, Ministeri e Avvocatura dello Stato  ","PA","Pubbliche Amministrazioni","Y"
"L5","Province e loro Consorzi e Associazioni  ","PA","Pubbliche Amministrazioni","Y"
"L4","Regioni, Province Autonome e loro Consorzi e Associazioni  ","PA","Pubbliche Amministrazioni","Y"
"L31","Teatri Stabili ad Iniziativa Pubblica  ","PA","Pubbliche Amministrazioni","N"
"L18","Unioni di Comuni e loro Consorzi e Associazioni  ","PA","Pubbliche Amministrazioni","Y"
"L17","Universita' e Istituti di Istruzione Universitaria Pubblici  ","PA","Pubbliche Amministrazioni","Y"
"S01","Societa' in Conto Economico Consolidato  ","SCEC","Societa' in Conto Economico Consolidato","N"
"C15","Enti Nazionali di Previdenza ed Assistenza Sociale in Conto Economico Consolidato  ","SCECP","Enti Nazionali di Previdenza ed Assistenza Sociale in Conto Economico Consolidato","N"
"L37","Gestori di Pubblici Servizi  ","GPS","Gestori di Pubblici Servizi","N"
"L10","Agenzie ed Enti per il Turismo","PA","Pubbliche Amministrazioni","N"
"L19","Agenzie ed Enti Regionali del Lavoro","PA","Pubbliche Amministrazioni","N"
"L13","Agenzie ed Enti Regionali di Sviluppo Agricolo","PA","Pubbliche Amministrazioni","N"
"L2","Agenzie ed Enti Regionali per la Formazione, la Ricerca e l'Ambiente","PA","Pubbliche Amministrazioni","N"
"C10","Agenzie Fiscali","PA","Pubbliche Amministrazioni","N"
"L20","Agenzie Regionali e Provinciale per la Rappresentanza Negoziale","PA","Pubbliche Amministrazioni","N"
"L21","Agenzie Regionali per le Erogazioni in Agricoltura","PA","Pubbliche Amministrazioni","N"
"L22","Agenzie Regionali Sanitarie","PA","Pubbliche Amministrazioni","N"
"L15","Agenzie, Enti e Consorzi Pubblici per il Diritto allo Studio Universitario","PA","Pubbliche Amministrazioni","N"
"L1","Altri Enti Locali","PA","Pubbliche Amministrazioni","N"
"C13","Automobile Club Federati ACI","PA","Pubbliche Amministrazioni","N"
"C5","Autorita' Amministrative Indipendenti","PA","Pubbliche Amministrazioni","N"
"L23","Autorita' di Ambito Territoriale Ottimale","PA","Pubbliche Amministrazioni","N"
"L40","Autorita' di Bacino","PA","Pubbliche Amministrazioni","N"
"L11","Autorita' Portuali","PA","Pubbliche Amministrazioni","N"
"L39","Aziende e Consorzi Pubblici Territoriali per l'Edilizia Residenziale","PA","Pubbliche Amministrazioni","N"
"L46","Aziende ed Amministrazioni dello Stato ad Ordinamento Autonomo","PA","Pubbliche Amministrazioni","N"
"L8","Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici","PA","Pubbliche Amministrazioni","Y"
"L34","Aziende Pubbliche di Servizi alla Persona","PA","Pubbliche Amministrazioni","Y"
"L7","Aziende Sanitarie Locali","PA","Pubbliche Amministrazioni","Y"
"L35","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali","PA","Pubbliche Amministrazioni","Y"
"L45","Citta' Metropolitane","PA","Pubbliche Amministrazioni","Y"
"L6","Comuni e loro Consorzi e Associazioni","PA","Pubbliche Amministrazioni","Y"
"L12","Comunita' Montane e loro Consorzi e Associazioni","PA","Pubbliche Amministrazioni","Y"
"L24","Consorzi di Bacino Imbrifero Montano","PA","Pubbliche Amministrazioni","N"
"L28","Consorzi Interuniversitari di Ricerca","PA","Pubbliche Amministrazioni","N"
"L42","Consorzi per l'Area di Sviluppo Industriale","PA","Pubbliche Amministrazioni","N"
"L36","Consorzi tra Amministrazioni Locali","PA","Pubbliche Amministrazioni","N"
"L44","Enti di Regolazione dei Servizi Idrici e/o dei Rifiuti","PA","Pubbliche Amministrazioni","N"
"C8","Enti e Istituzioni di Ricerca Pubblici","PA","Pubbliche Amministrazioni","N"
"C3","Enti Pubblici Non Economici","PA","Pubbliche Amministrazioni","N"
