CODICE_CLA_E,DESCRIZIONE,FL_MASTRINO,UTCR,UTUV,PG_VER_REC
"00","Avanzo di amministrazione","Y","SYSTEM","SYSTEM","1"
"01","Finanziamenti ordinari dal MIUR","Y","SYSTEM","SYSTEM","1"
"02","Finanziamenti dal MIUR con destinazione specifica","Y","SYSTEM","SYSTEM","1"
"03","Finanziamenti da parte dei ministeri","Y","SYSTEM","SYSTEM","1"
"04","Finanziamenti da parte dell'U.E. e di organismi internazionali","Y","SYSTEM","SYSTEM","1"
"05","Finanziamenti da parte delle regioni e degli enti locali","Y","SYSTEM","SYSTEM","1"
"06","Finanziamenti da parte di altri enti pubblici","Y","SYSTEM","SYSTEM","1"
"07","Finanziamenti da parte di soggetti privati","Y","SYSTEM","SYSTEM","1"
"08","Entrate derivanti da prestazioni di servizi e dalla vendita di prodotti","Y","SYSTEM","SYSTEM","1"
"09","Entrate per l'alienazione di beni patrimoniali","Y","SYSTEM","SYSTEM","1"
"10","Entrate per la riscossione di crediti","Y","SYSTEM","SYSTEM","1"
"11","Redditi e proventi patrimoniali","Y","SYSTEM","SYSTEM","1"
"12","Altre entrate","Y","SYSTEM","SYSTEM","1"
"13","Accensione di mutui","Y","SYSTEM","SYSTEM","1"
"PG","Partite di giro","Y","SYSTEM","SYSTEM","1"
