CD_PIANO_GRUPPI,CD_GRUPPO_EP,CD_GRUPPO_PADRE,SEQUENZA,NOME,DS_GRUPPO_EP,SEGNO,FL_MASTRINO,CD_PIANO_PADRE,FORMULA,UTCR,UTUV,PG_VER_REC
"CE","B13","B",255,"13)","Oneri diversi di gestione","-","Y","CE","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII6","AII",173,"6","Imbarcazioni e velivoli","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AII7","AII",176,"7","Immobilizzazioni in corso e acconti","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","TC","NULL",565,"NULL","Totale Ratei e Risconti (C)","+","N","NULL","[+]{SPATT,C1}[+]{SPATT,C2}","SYSTEM","SYSTEM","1"
"SPATT","E","NULL",610,"NULL","Consistenza affidata in deposito all'ISIN","+","Y","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","TC","NULL",175,"NULL","Totale Fondo Trattamento di Fine Rapporto (C)","+","N","NULL","[+]{SPPAS,C}","SYSTEM","SYSTEM","1"
"SPPAS","F","NULL",410,"NULL","Debito dell'ISIN verso enti depositanti","+","Y","NULL","NULL","SYSTEM","SYSTEM","1"
"SPPAS","AII","A",25,"II","Avanzo economico esercizi precedenti","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPATT","AI","A",30,"I","Immateriali:","+","N","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPATT","AI2","AI",61,"2","Altre immobilizzazioni immateriali","+","Y","SPATT","NULL","SYSTEM","SYSTEM","1"
"SPPAS","B2","B",140,"2","per crediti inesigibili","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","AIV","A",32,"IV","Disavanzo economico dell'esercizio","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
"SPPAS","AV","A",34,"V","Disavanzo economico di esercizi precedenti","+","Y","SPPAS","NULL","SYSTEM","SYSTEM","1"
