ID_CPA,CD_CPA,DS_CPA,LIVELLO,TI_BENE_SERVIZIO,FL_UTILIZZABILE,UTCR,UTUV,PG_VER_REC
80153,"000000","Valorizzazione Fittizia Generica",6,"S","N","SYSTEM","SYSTEM","1"
80154,"011111","Frumento (grano) duro",6,"B","N","SYSTEM","SYSTEM","1"
80155,"011112","Frumento, escluso il frumento duro",6,"B","N","SYSTEM","SYSTEM","1"
80156,"011120","Granturco",6,"B","N","SYSTEM","SYSTEM","1"
80157,"011131","Orzo",6,"B","N","SYSTEM","SYSTEM","1"
80158,"011132","Segala",6,"B","N","SYSTEM","SYSTEM","1"
80159,"011133","Avena",6,"B","N","SYSTEM","SYSTEM","1"
80160,"011141","Sorgo",6,"B","N","SYSTEM","SYSTEM","1"
80161,"011142","Miglio",6,"B","N","SYSTEM","SYSTEM","1"
80162,"011149","Altri cereali",6,"B","N","SYSTEM","SYSTEM","1"
80163,"011150","Paglia di cereali e pule",6,"B","N","SYSTEM","SYSTEM","1"
80164,"011161","Fagioli verdi",6,"B","N","SYSTEM","SYSTEM","1"
80165,"011162","Piselli verdi",6,"B","N","SYSTEM","SYSTEM","1"
80166,"011169","Altri legumi verdi",6,"B","N","SYSTEM","SYSTEM","1"
80167,"011171","Fagioli secchi",6,"B","N","SYSTEM","SYSTEM","1"
80168,"011172","Fave secche",6,"B","N","SYSTEM","SYSTEM","1"
80169,"011173","Ceci secchi",6,"B","N","SYSTEM","SYSTEM","1"
80170,"011174","Lenticchie secche",6,"B","N","SYSTEM","SYSTEM","1"
80171,"011175","Piselli secchi",6,"B","N","SYSTEM","SYSTEM","1"
80172,"011179","Leguminose (legumi da granella secchi) n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80173,"011181","Fave di soia",6,"B","N","SYSTEM","SYSTEM","1"
80174,"011182","Arachidi in guscio",6,"B","N","SYSTEM","SYSTEM","1"
80175,"011183","Arachidi sgusciate",6,"B","N","SYSTEM","SYSTEM","1"
80176,"011184","Semi di cotone",6,"B","N","SYSTEM","SYSTEM","1"
80177,"011191","Semi di lino",6,"B","N","SYSTEM","SYSTEM","1"
80178,"011192","Semi di senape",6,"B","N","SYSTEM","SYSTEM","1"
80179,"011193","Semi di ravizzone o di colza",6,"B","N","SYSTEM","SYSTEM","1"
80180,"011194","Semi di sesamo",6,"B","N","SYSTEM","SYSTEM","1"
80181,"011195","Semi di girasole",6,"B","N","SYSTEM","SYSTEM","1"
80182,"011199","Altri semi oleosi n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80183,"011210","Risone",6,"B","N","SYSTEM","SYSTEM","1"
80184,"011311","Asparagi",6,"B","N","SYSTEM","SYSTEM","1"
80185,"011312","Cavoli",6,"B","N","SYSTEM","SYSTEM","1"
80186,"011313","Cavolfiori e broccoli",6,"B","N","SYSTEM","SYSTEM","1"
80187,"011314","Lattuga",6,"B","N","SYSTEM","SYSTEM","1"
80188,"011315","Cicorie",6,"B","N","SYSTEM","SYSTEM","1"
80189,"011316","Spinaci",6,"B","N","SYSTEM","SYSTEM","1"
80190,"011317","Carciofi",6,"B","N","SYSTEM","SYSTEM","1"
80191,"011319","Altri ortaggi a foglia o a stelo",6,"B","N","SYSTEM","SYSTEM","1"
80192,"011321","Cocomeri",6,"B","N","SYSTEM","SYSTEM","1"
80193,"011329","Altri meloni",6,"B","N","SYSTEM","SYSTEM","1"
80194,"011331","Peperoncini e peperoni verdi (solo del genere capsicum)",6,"B","N","SYSTEM","SYSTEM","1"
80195,"011332","Cetrioli e cetriolini",6,"B","N","SYSTEM","SYSTEM","1"
80196,"011333","Melanzane",6,"B","N","SYSTEM","SYSTEM","1"
80197,"011334","Pomodori",6,"B","N","SYSTEM","SYSTEM","1"
80198,"011339","Altri ortaggi a frutto n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80199,"011341","Carote e navoni",6,"B","N","SYSTEM","SYSTEM","1"
80200,"011342","Agli",6,"B","N","SYSTEM","SYSTEM","1"
80201,"011343","Cipolle",6,"B","N","SYSTEM","SYSTEM","1"
80202,"011344","Porri ed altri ortaggi agliacei",6,"B","N","SYSTEM","SYSTEM","1"
80203,"011349","Altri ortaggi a radice, a bulbo o a tubero (non ad alto contenuto di amido o di inulina)",6,"B","N","SYSTEM","SYSTEM","1"
80204,"011351","Patate",6,"B","N","SYSTEM","SYSTEM","1"
80205,"011352","Patate dolci",6,"B","N","SYSTEM","SYSTEM","1"
80206,"011353","Manioca",6,"B","N","SYSTEM","SYSTEM","1"
80207,"011359","Altri radici e tuberi commestibili ad alto tenore di fecola o di inulina",6,"B","N","SYSTEM","SYSTEM","1"
80208,"011360","Semi di ortaggi, eccetto semi di barbabietole",6,"B","N","SYSTEM","SYSTEM","1"
80209,"011371","Barbabietole da zucchero",6,"B","N","SYSTEM","SYSTEM","1"
80210,"011372","Semi di barbabietole da zucchero",6,"B","N","SYSTEM","SYSTEM","1"
80211,"011380","Funghi e tartufi",6,"B","N","SYSTEM","SYSTEM","1"
80212,"011390","Ortaggi freschi n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80213,"011410","Canna da zucchero",6,"B","N","SYSTEM","SYSTEM","1"
80214,"011510","Tabacchi greggi o non lavorati",6,"B","N","SYSTEM","SYSTEM","1"
80215,"011611","Cotone, anche sgranato",6,"B","N","SYSTEM","SYSTEM","1"
80216,"011612","Iuta, kenaf ed altre fibre tessili liberiane, gregge o macerate (escl. lino, canapa e ramie)",6,"B","N","SYSTEM","SYSTEM","1"
80217,"011619","Lino, canapa e piante tessili gregge n.c.a.",6,"B","N","SYSTEM","SYSTEM","1"
80335,"030012","Pesci vivi, di mare, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80336,"030013","Pesci vivi, d'?facqua dolce, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80337,"030014","Pesci vivi, di mare, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80338,"030015","Pesci vivi, d'?facqua dolce, d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
80339,"030021","Pesci freschi o refrigerati, di mare, non d'?allevamento",6,"B","N","SYSTEM","SYSTEM","1"
