CD_RAPPORTO_INPS,DS_RAPPORTO_INPS,FL_ATTIVITA_OBBL,FL_CANCELLATO,UTCR,UTUV,PG_VER_REC
"01","AMMINISTRATORE, SINDACO, REVISORE DI SOCIETA', ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALITA' GIURIDICA","N","Y","SYSTEM","SYSTEM","1"
"02","COLLABORATORE DI GIORNALI, RIVISTE, ENCICLOPEDIE E SIMILI","N","N","SYSTEM","SYSTEM","1"
"03","PARTECIPANTE A COLLEGI E COMMISSIONI","N","N","SYSTEM","SYSTEM","1"
"04","AMMINISTRATORE DI ENTI LOCALI (D.M. 25.5.2001)","N","N","SYSTEM","SYSTEM","1"
"05","DOTTORATO DI RICERCA, ASSEGNO, BORSA DI STUDIO EROGATA DA MIUR","N","N","SYSTEM","SYSTEM","1"
"06","COLLABORATORE COORDINATO E CONTINUATIVO (CON CONTRATTO A PROGETTO/PROGRAMMA DI LAVORO O FASE DI ESSO)","Y","N","SYSTEM","SYSTEM","1"
"07","VENDITORE PORTA A PORTA","N","N","SYSTEM","SYSTEM","1"
"08","COLLABORAZIONI OCCASIONALI (ART.61 C.2 D. LEGISLATIVO 276/2003)","Y","N","SYSTEM","SYSTEM","1"
"09","RAPPORTI OCCASIONALI AUTONOMI (D. LEGISLATIVO 326/2003)","N","N","SYSTEM","SYSTEM","1"
"10","COLLABORAZIONI COORDINATE E CONTINUATIVE DEI TITOLARI DI PENSIONE DI VECCHIAIA O ULTRESESSANTACINQUENNI","Y","N","SYSTEM","SYSTEM","1"
"11","COLLABORAZIONI COORDINATE E CONTINUATIVE PRESSO LA PUBBLICA AMMINISTRAZIONE","Y","N","SYSTEM","SYSTEM","1"
"12","RAPPORTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA PROROGATI (CON DURATA NON SUPERIORE AL 24/10/2005)","Y","N","SYSTEM","SYSTEM","1"
"1A","AMMINISTRATORE DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","SYSTEM","SYSTEM","1"
"1B","SINDACO DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","SYSTEM","SYSTEM","1"
"1C","REVISORE DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","SYSTEM","SYSTEM","1"
"1D","LIQUIDATORE DI SOCIET?","N","N","SYSTEM","SYSTEM","1"
"1E","AMMINISTRATORE E AL CONTEMPO LEGALE RAPPRESENTANTE IN CARICA","N","N","SYSTEM","SYSTEM","1"
"17","CONSULENTE PARLAMENTARE","N","N","SYSTEM","SYSTEM","1"
"13","ASSOCIATI IN PARTECIPAZIONE","N","N","SYSTEM","SYSTEM","1"
"14","MEDICI IN FORMAZIONE SPECIALISTICA (Circ. INPS n.37/2007). DECORRENZA 11/2006","N","N","SYSTEM","SYSTEM","1"
"15","VOLONTARI DEL SERVIZIO CIVILE (Circ. INPS n.55 DEL 30/04/2008). DECORRENZA 1/2006","N","N","SYSTEM","SYSTEM","1"
