CD_COFOG,DS_COFOG,CD_LIVELLO1,CD_LIVELLO2,CD_LIVELLO3,NR_LIVELLO,FL_ACCENTRATO,FL_DECENTRATO,UTCR,UTUV,PG_VER_REC
"07.3.2","Servizi ospedalieri specialistici","07","07.3","07.3.2",3,"N","N","SYSTEM","SYSTEM","1"
"07.3.3","Centri di servizi per la maternit? e medici","07","07.3","07.3.3",3,"N","N","SYSTEM","SYSTEM","1"
"07.3.4","Case di cura e riabilitazione","07","07.3","07.3.4",3,"N","N","SYSTEM","SYSTEM","1"
"07.4.1","Servizi di sanit? pubblica","07","07.4","07.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"07.5.1","R&S per la sanit?","07","07.5","07.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"07.6.1","Sanit? n.a.c.","07","07.6","07.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.1.1","Attivit? ricreative","08","08.1","08.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.2.1","Attivit? culturali","08","08.2","08.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.3.1","Servizi radiotelevisivi e di editoria","08","08.3","08.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.4.1","Servizi di culto e altri servizi per le comunit?","08","08.4","08.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.5.1","R&S per attivit? ricreative, culturali e di culto","08","08.5","08.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"08.6.1","Attivit? ricreative, culturali e di culto n.a.c.","08","08.6","08.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"09.1.1","Istruzione prescolastica","09","09.1","09.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"09.1.2","Istruzione primaria","09","09.1","09.1.2",3,"N","N","SYSTEM","SYSTEM","1"
"09.2.1","Istruzione secondaria inferiore","09","09.2","09.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"09.2.2","Istruzione secondaria superiore","09","09.2","09.2.2",3,"N","N","SYSTEM","SYSTEM","1"
"09.3.0","Istruzione post secondaria non superiore","09","09.3","09.3.0",3,"N","N","SYSTEM","SYSTEM","1"
"09.4.1","Primo grado di istruzione superiore","09","09.4","09.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"09.4.2","Secondo grado di istruzione superiore","09","09.4","09.4.2",3,"N","N","SYSTEM","SYSTEM","1"
"09.5.0","Istruzione di diverso tipo","09","09.5","09.5.0",3,"N","N","SYSTEM","SYSTEM","1"
"09.6.0","Servizi ausiliari dell?istruzione","09","09.6","09.6.0",3,"N","N","SYSTEM","SYSTEM","1"
"09.7.0","R&S per l'istruzione","09","09.7","09.7.0",3,"N","N","SYSTEM","SYSTEM","1"
"09.8.0","Istruzione n.a.c.","09","09.8","09.8.0",3,"N","N","SYSTEM","SYSTEM","1"
"10.1.1","Malattia","10","10.1","10.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.1.2","Invalidit?","10","10.1","10.1.2",3,"N","N","SYSTEM","SYSTEM","1"
"10.2.1","Vecchiaia","10","10.2","10.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.3.1","Superstiti","10","10.3","10.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.4.1","Famiglia","10","10.4","10.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.5.1","Disoccupazione","10","10.5","10.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.6.1","Abitazioni","10","10.6","10.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"10.7.1","Esclusione sociale n.a.c.","10","10.7","10.7.1",3,"N","N","SYSTEM","SYSTEM","1"
