ESERCIZIO,CD_UNITA_FUNZIONALE,CD_CHIAVE_PRIMARIA,CD_CHIAVE_SECONDARIA,VAL01,VAL02,VAL03,VAL04,IM01,IM02,DT01,DT02,UTCR,UTUV,PG_VER_REC
"0","*","PARAMETRI_ORDINI","GIORNI_DATA_PREVISTA_CONSEGNA","NULL","NULL","NULL","NULL","30","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","RIMBORSO_MUTUO","P43001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","DEBITI_CREDITI_DIVERSI_PGIRO","A.06.008","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","BANCA","A.08.002","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","CASSA","A.08.001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","SCONTO_ABBUONO_COSTO","C.14.001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","SCONTO_ABBUONO_RICAVO","R.09.001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","ONERI_ACCESSORI","C.16.004","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","UTILE_SU_CAMBIO","R.11.004","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","BANCA_CDS","A.08.003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","ANTICIPO_MISSIONE","A.06.009","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","MINUSVALENZA","C.16.002","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","PLUSVALENZA","R.11.002","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","IVA_CREDITO","A.06.007","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","IVA_DEBITO","P.05.011","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","ERARIO_C_IVA","P.05.012","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
"-1","*","VOCEEP_SPECIALE","CONTR_REV_REGOLARIZZ_PGIRO","P.05.005","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SYSTEM","SYSTEM","1"
