CD_DIVISA,DS_DIVISA,PRECISIONE,FL_CALCOLA_CON_DIVISO,UTCR,UTUV,PG_VER_REC
"UAH","Hryvnia ucraino ",2,"N","SYSTEM","SYSTEM","1"
"HRK","Kuna Croazia",2,"N","SYSTEM","SYSTEM","1"
"MYR","Ringgit malese",2,"N","SYSTEM","SYSTEM","1"
"INR","Rupia Indiana",2,"N","SYSTEM","SYSTEM","1"
"EGP","Lira Egiziana",2,"N","SYSTEM","SYSTEM","1"
"ARS","Peso Argentino",2,"N","SYSTEM","SYSTEM","1"
"CNY","Yuan Cinese",2,"N","SYSTEM","SYSTEM","1"
"EURO","EURO",2,"N","SYSTEM","SYSTEM","1"
"USD","Dollaro Statunitense",2,"N","SYSTEM","SYSTEM","1"
"CHF","Franco Svizzero",2,"N","SYSTEM","SYSTEM","1"
"DKK","Corona Danese",2,"N","SYSTEM","SYSTEM","1"
"GBP","Lira Sterlina",2,"N","SYSTEM","SYSTEM","1"
"NOK","Corona Norvegese",2,"N","SYSTEM","SYSTEM","1"
"SEK","Corona Svedese",2,"N","SYSTEM","SYSTEM","1"
"AUD","Dollaro Australiano",2,"N","SYSTEM","SYSTEM","1"
"BGN","Lev Bulgaro",2,"N","SYSTEM","SYSTEM","1"
"CAD","Dollaro Canadese",2,"N","SYSTEM","SYSTEM","1"
"CZK","Corona Ceca",2,"N","SYSTEM","SYSTEM","1"
"HKD","Dollaro di Hong Kong",2,"N","SYSTEM","SYSTEM","1"
"HUF","Fiorino Ungherese",2,"N","SYSTEM","SYSTEM","1"
"ISK","Corona Islandese",2,"N","SYSTEM","SYSTEM","1"
"JPY","Yen giapponese",2,"N","SYSTEM","SYSTEM","1"
"KRW","Won Sudcoreano",2,"N","SYSTEM","SYSTEM","1"
"LTL","Litas Lituanese",2,"N","SYSTEM","SYSTEM","1"
"LVL","Lats Lettone",2,"N","SYSTEM","SYSTEM","1"
"NZD","Dollaro Neo Zelandese",2,"N","SYSTEM","SYSTEM","1"
"PLN","Zloty Polacco",2,"N","SYSTEM","SYSTEM","1"
"ROL","Leu Romeno",2,"N","SYSTEM","SYSTEM","1"
"SGD","Dollaro di Singapore",2,"N","SYSTEM","SYSTEM","1"
"SVK","Corona Slovacca",2,"N","SYSTEM","SYSTEM","1"
"TRL","Lire Turche",2,"N","SYSTEM","SYSTEM","1"
"ZAR","Rand Sud Africano",2,"N","SYSTEM","SYSTEM","1"
"BRR","Real Brasiliano",2,"N","SYSTEM","SYSTEM","1"
"ILS","Israele Nuovi SHEKEL",2,"N","SYSTEM","SYSTEM","1"
"TWD","Nuovo Dollaro di Taiwan",2,"N","SYSTEM","SYSTEM","1"
"AED","Dirham degli Emirati Arabi Uniti 
",2,"N","SYSTEM","SYSTEM","1"
"QAR","RIAL",2,"N","SYSTEM","SYSTEM","1"
"TND","Tunisian Dinar",2,"N","SYSTEM","SYSTEM","1"
"THB","Baht thailandese",2,"N","SYSTEM","SYSTEM","1"
"MXN","Peso Messicano",2,"N","SYSTEM","SYSTEM","1"
"CLP","Peso Cileno",2,"N","SYSTEM","SYSTEM","1"
"CRC","Colon di Costa Rica",2,"N","SYSTEM","SYSTEM","1"
"RUB","Rublo Russo",2,"N","SYSTEM","SYSTEM","1"
"MAD","Dirham Marocchino",2,"N","SYSTEM","SYSTEM","1"
"NPR","Rupia Nepalese",2,"N","SYSTEM","SYSTEM","1"
"RSD","Dinaro Serbo",2,"N","SYSTEM","SYSTEM","1"
