CD_HELP,PAGE,HELP_URL,DS_PAGE,FLAG_MAN,UTCR,UTUV,PG_VER_REC
"0005500000","/config00/gruppo_linea_attivita.jsp","/helpres/help_not_found.html","Gruppo linea attivita - Gruppo linea attivita","N","SYSTEM","SYSTEM","1"
"0005600000","/docamm00/gruppoinvent.jsp","/helpres/110 - 45 configurazione - tabelle riferimento fatture - Categoria gruppo inventario.htm","Gruppoinvent - Categoria Gruppo Inventario","N","SYSTEM","SYSTEM","1"
"0005700000","/docamm00/gruppoiva.jsp","/helpres/110 - 20 configurazione - tabelle riferimento fatture - gruppo iva.htm","Gruppoiva - Gruppo Iva","N","SYSTEM","SYSTEM","1"
"0005800000","/util/header.jsp","/helpres/help_not_found.html","Header - <%= it.cnr.contab.Version.getApplicationTitleAndVersion()%>","N","SYSTEM","SYSTEM","1"
"0005900000","/ibm/store.jsp","/helpres/help_not_found.html","HelpBuilder - ""),""","N","SYSTEM","SYSTEM","1"
"0006000000","/inventario00/id_inventario.jsp","/helpres/600 - 10  inventario - configurazione.htm","Id inventario - ID Inventario","N","SYSTEM","SYSTEM","1"
"0006100000","/doccont00/impegno_pgiro.jsp","/helpres/300 - 18 documenti contabili - obbligazione - annotazione di spesa su partite di giro.htm","Impegno pgiro - Gestione Annotazione di Spesa su Partita di Giro","N","SYSTEM","SYSTEM","1"
"0006200000","/util/index.jsp","/helpres/help_not_found.html","Index - <%= it.cnr.contab.Version.getApplicationTitleAndVersion()%>","N","SYSTEM","SYSTEM","1"
"0006300000","/config00/insieme_la.jsp","/helpres/help_not_found.html","Insieme la - Insieme Linea Attivita","N","SYSTEM","SYSTEM","1"
"0006400000","/inventario00/inventario_aggrega.jsp","/helpres/help_not_found.html","Inventario aggrega - Buono Carico Inventario","N","SYSTEM","SYSTEM","1"
"0006500000","/inventario00/inventario_ap_ch.jsp","/helpres/600 - 15  inventario - apertura-chiusura.htm","Inventario ap ch - Apertura/Chiusura Inventario","N","SYSTEM","SYSTEM","1"
"0006600000","/inventario00/inventario_consegnatario.jsp","http://servizi.si.cnr.it/wiki/index.php/Consegnatario","Inventario consegnatario - Consegnatario Inventario","Y","SYSTEM","SYSTEM","1"
"0006700000","/config00/linea_attivita.jsp","http://servizi.si.cnr.it/wiki/index.php/Gruppi_di_Azioni_Elementari_-_GAE","Linea attivita - Linea attivita","Y","SYSTEM","SYSTEM","1"
"0006800000","/doccont00/lista_accertamenti.jsp","/helpres/300 - 50 documenti contabili - accertamento - registra accertamento.htm","Lista accertamenti - Gestione Accertamenti di Competenza","N","SYSTEM","SYSTEM","1"
"0006900000","/docamm00/lista_documenti_amministrativi.jsp","/helpres/help_not_found.html","Lista documenti amminstrativi - Ricerca di un documento amministrativo","N","SYSTEM","SYSTEM","1"
"0007000000","/doccont00/lista_obbligazioni.jsp","/helpres/300 - 12 documenti contabili - obbligazione - registra obbligazione e provvisoria e definitiva.htm","Lista obbligazioni - Gestione Obbligazioni Definitive","N","SYSTEM","SYSTEM","1"
"0007100000","/doccont00/lista_reversali.jsp","/helpres/300 - 72 documenti contabili - reversali - reversali provvisorie.htm","Lista reversali - Gestione Reversali Provvisorie","N","SYSTEM","SYSTEM","1"
"0007200000","/utenze00/lista_unita_organizzative.jsp","/helpres/help_not_found.html","Lista unita organizzative - Unita organizzative","N","SYSTEM","SYSTEM","1"
"0007300000","/doccont00/main_accertamento.jsp","/helpres/300 - 50 documenti contabili - accertamento - registra accertamento.htm","Main accertamento - Gestione Accertamento","N","SYSTEM","SYSTEM","1"
"0007400000","/prevent00/main_bilancio_cds.jsp","/helpres/200 - 65  preventivi - bilancio preventivo - preventivo cds.htm","Main bilancio cds - Bilancio preventivo CDS","N","SYSTEM","SYSTEM","1"
"0007500000","/prevent00/main_bilancio_cnr.jsp","/helpres/200 - 60  preventivi - bilancio preventivo - preventivo cnr.htm","Main bilancio cnr - Bilancio preventivo CNR","N","SYSTEM","SYSTEM","1"
"0007600000","/config00/main_cds.jsp","/helpres/100 - 20 configurazione - struttura organizzativa - gestione centri di spesa.htm","Main cds - Gestione Centri di Spesa","N","SYSTEM","SYSTEM","1"
"0007700000","/doccont00/main_mandato.jsp","/helpres/700 - 61 Mandati di Regolarizzazione.pdf","Main mandato - Gestione Mandato","N","SYSTEM","SYSTEM","1"
"0007800000","/doccont00/main_mandato_accreditamento.jsp","/helpres/300 - 42 documenti contabili - mandato - accreditamento cnr cds.htm","Main mandato accreditamento - Gestione Mandato Accreditamento CNR - CdS","N","SYSTEM","SYSTEM","1"
"0007900000","/missioni00/main_missione.jsp","http://servizi.si.cnr.it/wiki/index.php/Missioni","Main missione - Missione","Y","SYSTEM","SYSTEM","1"
"0008000000","/doccont00/main_obbligazione.jsp","/helpres/300 - 12 documenti contabili - obbligazione - registra obbligazione e provvisoria e definitiva.htm","Main obbligazione - Gestione Obbligazione","N","SYSTEM","SYSTEM","1"
"0008100000","/doccont00/main_reversale.jsp","/helpres/300 - 70 documenti contabili - reversali - registra reversale.htm","Main reversale - Gestione Reversale","N","SYSTEM","SYSTEM","1"
"0008200000","/coepcoan00/main_scrittura_p_doppia.jsp","/helpres/700 - 30 coep - scritture in partita doppia.htm","Main scrittura p doppia - Scrittura in partita doppia","N","SYSTEM","SYSTEM","1"
"0008300000","/utenze00/main_template.jsp","/helpres/100 - 10 configurazione - gestione utenze - creazione .htm","Main template - Gestione Template","N","SYSTEM","SYSTEM","1"
"0008400000","/utenze00/main_utenza.jsp","http://servizi.si.cnr.it/wiki/index.php/Gestione_Utenze","Main utenza - Gestione utenza","Y","SYSTEM","SYSTEM","1"
"0008500000","/doccont00/mandato_accreditamento_wizard_1.jsp","/helpres/300 - 40 documenti contabili - mandato - accreditamento cnr cds - generazione.htm","Mandato accreditamento wizard 1 - Mandato di accreditamento CNR -> Cds","N","SYSTEM","SYSTEM","1"
"0008600000","/doccont00/mandato_accreditamento_wizard_2.jsp","/helpres/300 - 41 documenti contabili - mandato - accreditamento cnr cds - gestione.htm","Mandato accreditamento wizard 2 - Mandato di accreditamento CNR -> Cds","N","SYSTEM","SYSTEM","1"
"0008700000","/util/menu_stampa.jsp","/helpres/help_not_found.html","Menu stampa - ","N","SYSTEM","SYSTEM","1"
"0008800000","/utenze00/menu_title.jsp","/helpres/help_not_found.html","Menu title - ","N","SYSTEM","SYSTEM","1"
"100000007","/pdg00/pdg_variazione.jsp","/helpres/200 - 40 preventivi - piano di gestione - variazioni al piano di gestione.htm","Variazioni al piano di gestione","N","SYSTEM","SYSTEM","1"
"0021300000","/anagraf00/terzo_unita_organizzativa.jsp","/helpres/help_not_found.html","Terzo unita organizzativa - Gestione terzo","N","SYSTEM","SYSTEM","1"
"0021400000","/prevent00/totali_cdr_primo_stampe.jsp","/helpres/help_not_found.html","Totali cdr primo stampe - Stampa aggregato CDR di I livello/Area","N","SYSTEM","SYSTEM","1"
"0021500000","/doccont00/view_distinta_totali.jsp","/helpres/help_not_found.html","View distinta totali - Dettaglio Totali per Distinta","N","SYSTEM","SYSTEM","1"
"0021600000","/doccont00/view_distinta_totali_trasmessi.jsp","/helpres/help_not_found.html","View distinta totali trasmessi - Dettaglio Totali Trasmessi","N","SYSTEM","SYSTEM","1"
"0021700000","/doccont00/disp_cassa_capitolo.jsp","/helpres/help_not_found.html","Disp cassa capitolo - Disponibilit? sul Capitolo","N","SYSTEM","SYSTEM","1"
