PG_NAZIONE,CD_GRUPPO_INQUADRAMENTO,DT_INIZIO_VALIDITA,IM_DIARIA,CD_DIVISA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
1,"2","2002-01-01","28.82","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"5","2002-01-01","20.45","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"1","2002-01-01","24.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"6","2002-01-01","14.87","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"4","2002-01-01","20.45","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"8","2002-01-01","20.45","EURO","2200-12-31","SYSTEM","SYSTEM","1"
99999,"3","2002-01-01","20.45","EURO","2200-12-31","SYSTEM","SYSTEM","1"
1,"7","2002-01-01","24.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
44,"4","2006-07-04","97.58","EURO","2200-12-31","SYSTEM","SYSTEM","1"
44,"5","2006-07-04","83.77","EURO","2200-12-31","SYSTEM","SYSTEM","1"
44,"6","2006-07-04","83.77","EURO","2200-12-31","SYSTEM","SYSTEM","1"
44,"7","2006-07-04","109.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
44,"8","2006-07-04","109.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"1","2006-07-04","171.85","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"2","2006-07-04","182.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"3","2006-07-04","171.85","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"4","2006-07-04","161.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"5","2006-07-04","134.39","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"6","2006-07-04","134.39","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"7","2006-07-04","182.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
45,"8","2006-07-04","182.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"1","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"2","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"3","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"4","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"5","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"6","2006-07-04","68.66","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"7","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
46,"8","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"1","2006-07-04","77.82","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"2","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"3","2006-07-04","77.82","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"4","2006-07-04","71.71","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"5","2006-07-04","64.08","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"6","2006-07-04","64.08","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"7","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
47,"8","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"1","2006-07-04","67.14","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"2","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"3","2006-07-04","67.14","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"4","2006-07-04","63.32","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"5","2006-07-04","54.17","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"6","2006-07-04","54.17","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"7","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
48,"8","2006-07-04","70.94","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"1","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"2","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"3","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"4","2006-07-04","135.79","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"5","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"6","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"7","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
49,"8","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
50,"1","2006-07-04","83.15","EURO","2200-12-31","SYSTEM","SYSTEM","1"
50,"2","2006-07-04","89.26","EURO","2200-12-31","SYSTEM","SYSTEM","1"
