CD_TI_PASTO,TI_AREA_GEOGRAFICA,PG_NAZIONE,PG_RIF_INQUADRAMENTO,DT_INIZIO_VALIDITA,DT_FINE_VALIDITA,CD_DIVISA,LIMITE_MAX_PASTO,CD_AREA_ESTERA,UTCR,UTUV,PG_VER_REC
"PASTO_SINGOLO","I",1,60,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,61,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,61,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,63,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,63,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,64,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,64,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,65,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,65,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,75,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,75,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,80,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,80,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,38,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,84,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,84,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,85,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,85,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,92,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,92,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,93,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,93,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,74,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,74,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,81,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,81,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,86,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,69,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,69,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,70,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,70,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,82,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
"PASTO_SINGOLO","I",1,82,"2002-01-01","2050-12-31","EURO","30.55","*","SYSTEM","SYSTEM","1"
"GIORNALIERO","I",1,83,"2002-01-01","2050-12-31","EURO","61.1","*","SYSTEM","SYSTEM","1"
