CD_TI_SPESA,TI_AREA_GEOGRAFICA,PG_NAZIONE,PG_RIF_INQUADRAMENTO,DS_TI_SPESA,FL_GIUSTIFICATIVO_RICHIESTO,FL_PASTO,FL_TRASPORTO,FL_RIMBORSO_KM,FL_ALLOGGIO,CD_DIVISA,LIMITE_MAX_SPESA,PERCENTUALE_MAGGIORAZIONE,FL_AMMISSIBILE_CON_RIMBORSO,DT_INIZIO_VALIDITA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"ALTRO PASTO","*",0,0,"RIMBORSO PASTO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO",999999999,0,"Y","2013-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ALTRO ALBERGO","*",0,0,"RIMBORSO ALBERGO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO",999999999,0,"Y","2013-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ALTRO MEZZO TRASPORT","*",0,0,"RIMBORSO MEZZO DI TRASPORTO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO",999999999,0,"Y","2013-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"PASTO","E",0,0,"RIMBORSO SPESE PASTO","Y","Y","N","N","N","EURO",999999999,0,"N","2010-05-31","2200-12-31","SYSTEM","SYSTEM","1"
"ALBERGO","*",0,0,"PERNOTTAMENTO","Y","N","N","N","Y","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ALTRE SPESE VIAGGIO","*",0,0,"ALTRI COSTI PER RIMBORSO SPESE VIAGGIO","Y","N","Y","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ALTRI COSTI CONGRES.","*",0,0,"ALTRI COSTI PER PARTECIPAZIONE A CONGRES","Y","N","N","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ALTRO","*",0,0,"ALTRE SPESE","Y","N","N","N","N","EURO",999999999,0,"Y","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"AUTOBUS/CORRIERA","*",0,0,"RIMBORSO SPESE VIAGGIO SENZA INDENNITA' - AUTOBUS/CORRIERA","Y","N","Y","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"CUCCETTA","*",0,0,"COSTO CUCCETTA","Y","N","Y","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"INDENNITA' KM","*",0,0,"INDENNITA' CHILOMETRICA USO AUTO PROPRIA","Y","N","Y","Y","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"ISCRIZIONE CONGRESSO","*",0,0,"ISCRIZIONE A CONGRESSO/CONVEGNO","Y","N","N","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"NOLEGGIO AUTO","*",0,0,"RIMBORSO FATTURA NOLEGGIO AUTO","Y","N","Y","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"PARCHEGGIO","*",0,0,"RIMBORSO SPESE DI PARCHEGGIO","Y","N","N","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"PASTO","I",1,0,"RIMBORSO SPESE PASTO","Y","Y","N","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"PEDAGGIO AUTOSTRADA","*",0,0,"PEDAGGIO AUTOSTRADALE","Y","N","Y","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"SPESE BAGAGLI","*",0,0,"SPESE PER TRASPORTO BAGAGLI","Y","N","N","N","N","EURO",999999999,0,"N","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"SPESE VISTO","*",0,0,"SPESE DI VISTO PER VIAGGI ALL'ESTERO","Y","N","N","N","N","EURO",999999999,0,"Y","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"TAXI","*",0,0,"RIMBORSO SPESE TAXI/LANDOMAS","Y","N","N","N","N","EURO",999999999,0,"Y","1999-01-01","2200-12-31","SYSTEM","SYSTEM","1"
"AEREO","*",0,0,"RIMBORSO BIGLIETTO AEREO","Y","N","Y","N","N","EURO",999999999,0,"Y","2010-05-31","2100-12-31","SYSTEM","SYSTEM","1"
"TRENO","*",0,0,"RIMBORSO BIGLIETTO TRENO","Y","N","Y","N","N","EURO",999999999,0,"Y","2010-05-31","2100-12-31","SYSTEM","SYSTEM","1"
"NAVE","*",0,0,"RIMBORSO SPESE VIAGGIO LINEE EXTRAURBANE CON INDENNITA'","Y","N","Y","N","N","EURO",999999999,0,"Y","2011-09-23","2100-12-31","SYSTEM","SYSTEM","1"
