CD_NAZIONE,CD_CATASTALE,DS_NAZIONE,UTCR,UTUV,PG_VER_REC
"225","Z723","POLINESIA FRANCESE","SYSTEM","SYSTEM","1"
"162","Z728","TONGA","SYSTEM","SYSTEM","1"
"199","Z527","SAINT LUCIA","SYSTEM","SYSTEM","1"
"195","Z533","SAINT KITTS E NEVIS","SYSTEM","SYSTEM","1"
"196","Z528","SAINT VINCENT E GRENADINE","SYSTEM","SYSTEM","1"
"189","Z342","SEYCHELLES","SYSTEM","SYSTEM","1"
"147","Z248","SINGAPORE","SYSTEM","SYSTEM","1"
"254","Z340","SANT'ELENA","SYSTEM","SYSTEM","1"
"022","Z217","TAIWAN","SYSTEM","SYSTEM","1"
"210","Z519","ISOLE TURKS E CAICOS","SYSTEM","SYSTEM","1"
"193","Z732","TUVALU","SYSTEM","SYSTEM","1"
"080","Z613","URUGUAY","SYSTEM","SYSTEM","1"
"121","Z733","VANUATU","SYSTEM","SYSTEM","1"
"221","Z520","ISOLE VERGINI AMERICANE","SYSTEM","SYSTEM","1"
"249","Z525","ISOLE VERGINI BRITANNICHE","SYSTEM","SYSTEM","1"
"211","Z530","ISOLE CAYMAN","SYSTEM","SYSTEM","1"
"253","Z716","NUOVA CALEDONIA","SYSTEM","SYSTEM","1"
"163","Z235","OMAN","SYSTEM","SYSTEM","1"
"051","Z516","PANAMA","SYSTEM","SYSTEM","1"
"220","Z518","PORTORICO","SYSTEM","SYSTEM","1"
"237","Z703","ISOLE COOK","SYSTEM","SYSTEM","1"
"019","Z503","COSTA RICA","SYSTEM","SYSTEM","1"
"192","Z526","DOMINICA","SYSTEM","SYSTEM","1"
"024","Z605","ECUADOR","SYSTEM","SYSTEM","1"
"027","Z216","FILIPPINE","SYSTEM","SYSTEM","1"
"082","Z507","GIAMAICA","SYSTEM","SYSTEM","1"
"102","Z113","GIBILTERRA","SYSTEM","SYSTEM","1"
"113","Z361","GIBUTI","SYSTEM","SYSTEM","1"
"156","Z524","GRENADA","SYSTEM","SYSTEM","1"
"033","Z509","GUATEMALA","SYSTEM","SYSTEM","1"
"201","Z114","GUERNSEY","SYSTEM","SYSTEM","1"
"103","Z210","HONG KONG","SYSTEM","SYSTEM","1"
"191","Z724","SALOMONE ISOLE","SYSTEM","SYSTEM","1"
"202","Z114","JERSEY C.I.","SYSTEM","SYSTEM","1"
"239","Z215","EMIRATI ARABI UNITI","SYSTEM","SYSTEM","1"
"131","Z726","SAMOA","SYSTEM","SYSTEM","1"
"004","Z101","ANDORRA","SYSTEM","SYSTEM","1"
"133","Z302","ANGOLA","SYSTEM","SYSTEM","1"
"209","Z529","ANGUILLA","SYSTEM","SYSTEM","1"
"197","Z532","ANTIGUA E BARBUDA","SYSTEM","SYSTEM","1"
"251","Z501","ANTILLE OLANDESI","SYSTEM","SYSTEM","1"
"212","*","ARUBA","SYSTEM","SYSTEM","1"
"160","Z502","BAHAMAS","SYSTEM","SYSTEM","1"
"169","Z204","BAHRAIN","SYSTEM","SYSTEM","1"
"118","Z522","BARBADOS","SYSTEM","SYSTEM","1"
"198","Z512","BELIZE","SYSTEM","SYSTEM","1"
"207","Z400","BERMUDA","SYSTEM","SYSTEM","1"
"125","Z207","BRUNEI","SYSTEM","SYSTEM","1"
"116","Z322","KENYA","SYSTEM","SYSTEM","1"
"194","Z731","KIRIBATI","SYSTEM","SYSTEM","1"
"095","Z229","LIBANO","SYSTEM","SYSTEM","1"
"044","Z325","LIBERIA","SYSTEM","SYSTEM","1"
"090","Z119","LIECHTENSTEIN","SYSTEM","SYSTEM","1"
"092","Z120","LUSSEMBURGO","SYSTEM","SYSTEM","1"
"059","Z231","MACAO","SYSTEM","SYSTEM","1"
"106","Z247","MALAYSIA","SYSTEM","SYSTEM","1"
"127","Z232","MALDIVE","SYSTEM","SYSTEM","1"
"203","Z122","MAN ISOLA","SYSTEM","SYSTEM","1"
"217","Z711","ISOLE MARSHALL","SYSTEM","SYSTEM","1"
"128","Z332","MAURITIUS","SYSTEM","SYSTEM","1"
"071","Z133","SVIZZERA","SYSTEM","SYSTEM","1"
"208","Z531","MONTSERRAT","SYSTEM","SYSTEM","1"
"091","Z123","PRINCIPATO DI MONACO","SYSTEM","SYSTEM","1"
"109","Z713","NAURU","SYSTEM","SYSTEM","1"
"205","Z714","NIUE","SYSTEM","SYSTEM","1"
