CD_CDS,CD_TIPO_DOCUMENTO_CONT,PRIMO,CORRENTE,ULTIMO,UTCR,UTUV,PG_VER_REC
"000","OBB",1,1,99999999,"SYSTEM","SYSTEM","1"
"000","OBB_PGIRO",100000001,100000001,199999999,"SYSTEM","SYSTEM","1"
"000","ACR_PGIRO",100000001,100000001,199999999,"SYSTEM","SYSTEM","1"
"000","ACR_SIST",1,1,99999999,"SYSTEM","SYSTEM","1"
"000","OBB_RES",1900000001,1900000001,2999999999,"SYSTEM","SYSTEM","1"
"000","OBB_RESIM",9140000001,9140000001,9999999999,"SYSTEM","SYSTEM","1"
"000","OBB_PGIR_R",7000000001,7000000001,7000999999,"SYSTEM","SYSTEM","1"
"000","ACR_PGIR_R",7000000001,7000000001,7000999999,"SYSTEM","SYSTEM","1"
"000","OBB_MOD",1,1,99999999,"SYSTEM","SYSTEM","1"
"000","OBB$",-1,-1,-99999999,"SYSTEM","SYSTEM","1"
"999","IMP",1,1,999999,"SYSTEM","SYSTEM","1"
"999","IMP_RES",2011100001,2011100001,2999999999,"SYSTEM","SYSTEM","1"
"999","ACR",1,1,999999,"SYSTEM","SYSTEM","1"
"999","ACR_RES",2011100001,2011100001,2999999999,"SYSTEM","SYSTEM","1"
"999","ACR_PLUR",5000000001,5000000001,5000999999,"SYSTEM","SYSTEM","1"
"999","MAN",1,1,99999999,"SYSTEM","SYSTEM","1"
"999","REV",1,1,99999999,"SYSTEM","SYSTEM","1"
"999","ACR_PGIR_R",7000000001,7000000001,7000999999,"SYSTEM","SYSTEM","1"
"999","OBB_PGIR_R",7000000001,7000000001,7000999999,"SYSTEM","SYSTEM","1"
"999","ACR_MOD",1,1,99999999,"SYSTEM","SYSTEM","1"
"999","ACR$",-1,-1,-999999,"SYSTEM","SYSTEM","1"
