REPORT_NAME,PRIORITY,DS_REPORT,UTCR,UTUV,PG_VER_REC
"/cnrdoccont/doccont/stampasospesiassreversali.rpt",5,"Sospesi CNR associati a reversali","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/analitica_entrate_lda_a1.rpt",5,"Situazione Analitica Linea di Attivit? Ricavi/Entrate Anno corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/sintetica_entrate_lda_A1.rpt",5,"Situazione Sintetica Linea di Attivit? Ricavi/Entrate Anno corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinentratecds.rpt",5,"Rendiconto Finanziario CDS - Entrate","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinspesecds.rpt",5,"Rendiconto Finanziario CDS - Spese","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendfinspesecdsSAC.rpt",5,"Rendiconto Finanziario SAC per articolo - Spese","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/stampasospesiassmnd.rpt",5,"STAMPA SOSPESI CNR ASSOCIATI A MANDATI","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_partitario_compensi.rpt",5,"Riepilogo compensi","SYSTEM","SYSTEM","1"
"/docamm/docamm/vpg_conguaglio.rpt",5,"Prospetto del conguaglio","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/liquid_iva_ann_acquisti_vendite.rpt",5,"Liquidazione IVA annuale - acquisti/vendite","SYSTEM","SYSTEM","1"
"/gestiva/gestiva/liquid_iva_annuale.rpt",5,"Liquidazione Iva annuale","SYSTEM","SYSTEM","1"
"/doccont/doccont/situaz_singolo_conto.rpt",5,"Situazione singolo conto","SYSTEM","SYSTEM","1"
"/docamm/docamm/certificazione.rpt",5,"Stampa certificazione dei compensi e delle provvigioni","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/obbligazioni_riportabili.rpt",5,"Obbligazioni riportabili","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/sospesidaassegnare.rpt",5,"Sospesi da assegnare","SYSTEM","SYSTEM","1"
"/docamm/docamm/estrazione_inps.rpt",5,"Estrazione dati INPS","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_spese_cnr_dz_cds.rpt",5,"Rendiconto Finanziario CNR per CDS - Spese","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_entrate_cnr_dz.rpt",5,"Rendiconto Finanziario CNR - Entrate","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_entrate_cnr_dz_cds.rpt",5,"Rendiconto Finanziario CNR - Entrate per CDS","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/rendiconto_fin_spese_cnr_dz.rpt",5,"Rendiconto Finanziario CNR - Spese","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/stampa_beni_senza_utilizzatori.rpt",5,"Stampa beni senza utilizzatori","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/obbligazioniperlineediattiv.rpt",4,"Obbligazioni per linee di attivit?","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/personale_su_linee.rpt",4,"Ripartizione del personale su WP/Modulo/Commessa","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/registro_inventario.rpt",4,"Registro inventario","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencocompensipervocedelpiano.rpt",5,"Elenco Compensi per voce del piano","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencodocumentidenericipervocepiano.rpt",5,"Elenco Documenti Generici Passivi per voce del piano","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofatturepervocepiano.rpt",5,"Elenco Fatture per voce del piano","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/contoeconomicoriclassificato.rpt",4,"Conto Economico Riclassificato","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/statopatrimonialericlassificato.rpt",5,"Stato Patrimoniale Riclassificato","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofattureattivepercliente.rpt",5,"Elenco Fatture Attive per Cliente","SYSTEM","SYSTEM","1"
"/cnrdocamm/docamm/elencofatturefornitori.rpt",5,"Elenco Fatture Passive per Fornitore","SYSTEM","SYSTEM","1"
"/cnrdoccont/doccont/situazionedicassa.rpt",4,"Situazione di cassa","SYSTEM","SYSTEM","1"
"/preventivo/pdg/pdgdett_commessa.rpt",5,"Piano di gestione per COMMESSA","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/analitica_spese_lda_comres_a1.rpt",5,"Situazione ANALITICA per L.di A. Competenza/Residui Anno Corrente","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/sintetica_spese_lda_comres_a1.rpt",5,"Situazione SINTETICA per L.di A. Competenza/Residui Anno Corrente","SYSTEM","SYSTEM","1"
"/progettiric/progettiric/elencoprogettila.rpt",5,"Elenco Gruppo di Azioni per Progetto/Commessa/Modulo","SYSTEM","SYSTEM","1"
"/cnrconfigurazione/contratti/ElencoContratti.rpt",5,"Elenco Contratti","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/stampa_variazioni_pdg_riepilogo.rpt",4,"Stampa Variazioni PdG Riepilogo","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_entrate.rpt",5,"Stampa entrate in c/residui","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_dett_imp_residui.rpt",5,"Stampa Dettaglio impegni in c/residui","SYSTEM","SYSTEM","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite.rpt",5,"Stampa uscite in c/residui","SYSTEM","SYSTEM","1"
"/progettiric/progettiric/progetti_per_dip_ist.jasper",1,"stampa progetti per Dipartimento/Istituto","SYSTEM","SYSTEM","1"
