CD_REGIONE,DS_REGIONE,FL_ADDREG_ALIQMAX,CD_REGIONE_UFF,UTCR,UTUV,PG_VER_REC
"*","REGIONE NON SPECIFICATA","N","NULL","SYSTEM","SYSTEM","1"
"01","PIEMONTE","N","13","SYSTEM","SYSTEM","1"
"02","VALLE D'AOSTA","N","20","SYSTEM","SYSTEM","1"
"03","LOMBARDIA","N","10","SYSTEM","SYSTEM","1"
"04","TRENTO","N","18","SYSTEM","SYSTEM","1"
"05","VENETO","N","21","SYSTEM","SYSTEM","1"
"06","FRIULI VENEZIA GIULIA","Y","07","SYSTEM","SYSTEM","1"
"07","LIGURIA","N","09","SYSTEM","SYSTEM","1"
"08","EMILIA ROMAGNA","N","06","SYSTEM","SYSTEM","1"
"09","TOSCANA","N","17","SYSTEM","SYSTEM","1"
"10","UMBRIA","N","19","SYSTEM","SYSTEM","1"
"11","MARCHE","N","11","SYSTEM","SYSTEM","1"
"12","LAZIO","N","08","SYSTEM","SYSTEM","1"
"13","ABRUZZO","N","01","SYSTEM","SYSTEM","1"
"14","MOLISE","N","12","SYSTEM","SYSTEM","1"
"15","CAMPANIA","N","05","SYSTEM","SYSTEM","1"
"16","PUGLIA","N","14","SYSTEM","SYSTEM","1"
"17","BASILICATA","N","02","SYSTEM","SYSTEM","1"
"18","CALABRIA","N","04","SYSTEM","SYSTEM","1"
"19","SICILIA","N","16","SYSTEM","SYSTEM","1"
"20","SARDEGNA","N","15","SYSTEM","SYSTEM","1"
"21","BOLZANO","N","03","SYSTEM","SYSTEM","1"
