PG_RIF_INQUADRAMENTO,CD_PROFILO,CD_PROGRESSIONE,DS_INQUADRAMENTO,TI_DIPENDENTE_ALTRO,CD_GRUPPO_INQUADRAMENTO,UTCR,UTUV,PG_VER_REC
106,"00","40","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
103,"00","3Z","Direttore di Istituto f.f.","D","1","SYSTEM","SYSTEM","1"
104,"00","31","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
76,"00","21","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
77,"00","22","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
81,"D","00","Dirigente Generale Incaricato","D","1","SYSTEM","SYSTEM","1"
84,"00","30","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
98,"00","3H","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
100,"00","3G","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
72,"00","20","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
73,"00","02","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
74,"00","16","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
75,"D","5","Dirigente II fascia Incaricato","D","3","SYSTEM","SYSTEM","1"
95,"00","3E","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
102,"00","3K","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
91,"00","3A","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
93,"00","3C","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
94,"00","3D","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
87,"00","A2","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
90,"00","D2","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
92,"00","3B","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
78,"00","23","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
62,"00","15","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
61,"00","11","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
69,"D","4","Dirigente I fascia incaricato","D","1","SYSTEM","SYSTEM","1"
70,"D","3","Dirigente di II fascia ","D","3","SYSTEM","SYSTEM","1"
71,"00","50","Uffici Diretta Collaborazione","D","3","SYSTEM","SYSTEM","1"
79,"00","24","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
85,"00","27","Giornalista Esperto","D","3","SYSTEM","SYSTEM","1"
88,"00","B2","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
89,"00","C2","Direttore di Dipartimento","D","1","SYSTEM","SYSTEM","1"
99,"00","3F","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
80,"D","6","Dirigente Incaricato","D","3","SYSTEM","SYSTEM","1"
97,"00","3J","Direttore di Istituto","D","1","SYSTEM","SYSTEM","1"
66,"00","18","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
67,"00","19","Direttore di Istituto Incaricato","D","1","SYSTEM","SYSTEM","1"
0,"  "," ","DEFAULT","D","1","SYSTEM","SYSTEM","1"
1,"01","1","I    livello - Dirigente di Ricerca","D","1","SYSTEM","SYSTEM","1"
2,"01","2","I    livello - Dirigente Tecnologo","D","1","SYSTEM","SYSTEM","1"
3,"02","1","II   livello - I Ricercatore","D","3","SYSTEM","SYSTEM","1"
4,"02","2","II   livello - I Tecnologo","D","3","SYSTEM","SYSTEM","1"
5,"03","1","III  livello - Ricercatore","D","3","SYSTEM","SYSTEM","1"
6,"03","2","III  livello - Tecnologo","D","3","SYSTEM","SYSTEM","1"
7,"04","1","IV   livello - Ispettore Generale r.e.","D","4","SYSTEM","SYSTEM","1"
8,"04","2","IV   livello - Direttore di Divisione r.e.","D","4","SYSTEM","SYSTEM","1"
9,"04","3","IV   livello - Funzionario di Amministrazione","D","4","SYSTEM","SYSTEM","1"
10,"04","4","IV   livello - Collaboratore Tecnico E.R.","D","4","SYSTEM","SYSTEM","1"
11,"05","3","V    livello - Funzionario di Amministrazione","D","4","SYSTEM","SYSTEM","1"
12,"05","4","V    livello - Collaboratore Tecnico E.R.","D","4","SYSTEM","SYSTEM","1"
13,"05","5","V    livello - Collaboratore di Amministrazione","D","4","SYSTEM","SYSTEM","1"
14,"06","4","VI   livello - Collaboratore Tecnico E.R.","D","4","SYSTEM","SYSTEM","1"
15,"06","5","VI   livello - Collaboratore di Amministrazione","D","4","SYSTEM","SYSTEM","1"
16,"06","6","VI   livello - Operatore Tecnico","D","4","SYSTEM","SYSTEM","1"
17,"07","5","VII  livello - Collaboratore di Amministrazione","D","5","SYSTEM","SYSTEM","1"
18,"07","6","VII  livello - Operatore Tecnico","D","5","SYSTEM","SYSTEM","1"
19,"07","7","VII  livello - Operatore di Amministrazione","D","5","SYSTEM","SYSTEM","1"
20,"08","6","VIII livello - Operatore Tecnico","D","5","SYSTEM","SYSTEM","1"
21,"08","7","VIII livello - Operatore di Amministrazione","D","5","SYSTEM","SYSTEM","1"
22,"08","8","VIII livello - Ausiliario Tecnico","D","5","SYSTEM","SYSTEM","1"
23,"09","7","IX   livello - Operatore di Amministrazione","D","6","SYSTEM","SYSTEM","1"
24,"09","8","IX   livello - Ausiliario Tecnico","D","6","SYSTEM","SYSTEM","1"
25,"09","9","IX   livello - Ausiliario di Amministrazione","D","6","SYSTEM","SYSTEM","1"
26,"10","8","X    livello - Ausiliario Tecnico","D","6","SYSTEM","SYSTEM","1"
29,"00","03","Portavoce del presidente","D","3","SYSTEM","SYSTEM","1"
30,"00","04","Capo ufficio stampa","D","3","SYSTEM","SYSTEM","1"
31,"00","05","Direttore ufficio II - Programmazione e sviluppo edilizio","D","1","SYSTEM","SYSTEM","1"
32,"00","06","Direttore Istituto","D","1","SYSTEM","SYSTEM","1"
33,"D","1","Dirigente Generale Incaricato DCSPI","D","1","SYSTEM","SYSTEM","1"
34,"D","2","Dirigente di I fascia","D","1","SYSTEM","SYSTEM","1"
35,"0","0","Professore Universitario Ordinario I","A","2","SYSTEM","SYSTEM","1"
36,"0","0","Professore Universitario Ordinario II","A","7","SYSTEM","SYSTEM","1"
37,"0","0","Professore Universitario Ordinario III","A","8","SYSTEM","SYSTEM","1"
38,"0","0","Esperto di Alta Qualificazione","A","1","SYSTEM","SYSTEM","1"
39,"0","0","Dirigente di Strutture di Ricerca o Tecnico-scientifiche","A","1","SYSTEM","SYSTEM","1"
40,"0","0","Professore Universitario Associato","A","3","SYSTEM","SYSTEM","1"
41,"0","0","Professore Universitario Straordinario","A","3","SYSTEM","SYSTEM","1"
42,"0","0","Ricercatore Altri  Enti Ricerca e non","A","3","SYSTEM","SYSTEM","1"
27,"00","01","Direttore Generale","D","2","SYSTEM","SYSTEM","1"
43,"0","0","Assegnisti di Ricerca","A","3","SYSTEM","SYSTEM","1"
44,"0","0","Esperto","A","3","SYSTEM","SYSTEM","1"
45,"0","0","Incaricato di Ricerca","A","3","SYSTEM","SYSTEM","1"
46,"0","0","Ricercatori Universitari","A","4","SYSTEM","SYSTEM","1"
47,"0","0","Borsisti C.N.R.","A","4","SYSTEM","SYSTEM","1"
48,"0","0","VII, VIII, IX Qualifica Funzionale (Universit? e Impiegati Civili dello Stato)","A","4","SYSTEM","SYSTEM","1"
49,"0","0","III, IV, V, VI Qualifica Funzionale (Universit? e Personale Civile dello Stato)","A","5","SYSTEM","SYSTEM","1"
50,"01","0","I  livello - Dirigente Generale","D","1","SYSTEM","SYSTEM","1"
51,"02","0","Dirigente","D","3","SYSTEM","SYSTEM","1"
52,"03","0","Dirigente","D","3","SYSTEM","SYSTEM","1"
86,"D","11","Dirigente Generale Incaricato DCSGR","D","1","SYSTEM","SYSTEM","1"
54,"10","9","X  livello - Ausiliario di Amministrazione","D","6","SYSTEM","SYSTEM","1"
