CD_CDS,CD_UNITA_ORGANIZZATIVA,CD_TIPO_SEZIONALE,TI_FATTURA,PRIMO,CORRENTE,ULTIMO,UTCR,UTUV,PG_VER_REC
"000","000.000","v/com","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/com","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/com","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/com","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/com","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/com","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/com","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/com","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ist","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ist","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ist","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ist","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/irsm","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/isnr","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ispp","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/iue","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/caut","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cspp","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cue","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/rsms","D",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/irsm","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/isnr","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ispp","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/iue","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/caut","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cspp","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cue","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/rsms","C",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/irsm","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/isnr","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ispp","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/iue","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/caut","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cspp","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cue","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/rsms","F",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/irsm","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/isnr","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/ispp","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","a/iue","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/caut","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cspp","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/cue","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
"000","000.000","v/rsms","T",1,0,9999999999,"SYSTEM","SYSTEM","1"
