CD_TERZO,CD_ANAG,DENOMINAZIONE_SEDE,VIA_SEDE,TI_TERZO,NUMERO_CIVICO_SEDE,PG_COMUNE_SEDE,CAP_COMUNE_SEDE,CD_UNITA_ORGANIZZATIVA,UTCR,UTUV,PG_VER_REC
"1","1","ENTE","INSERIRE VIA ENTE","E","NULL",5562,"NULL","000.000","SYSTEM","SYSTEM","1"
"10","10","FEDERAZIONE SCUOLA, UNIVERSITA', RICERCA (CISL FSUR)","VIA MERULANA, 198","E","NULL",5562,"00185","NULL","SYSTEM","SYSTEM","1"
"11","11","FEDERAZIONE GILDA-UNAMS","Via del Castro Pretorio","E","30",5562,"00198","NULL","SYSTEM","SYSTEM","1"
"12","12","Unione Sindacati Professionisti Pubblico-Privato Impiego","Via Cesare Baronio","E","187",5562,"00179","NULL","SYSTEM","SYSTEM","1"
"13","13","UNIONE SINDACALE DI BASE Pubblico Impiego","Via dell'Aeroporto","E","129",5562,"00175","NULL","SYSTEM","SYSTEM","1"
"14","14","FIDITALIA S.P.A","VIA G. SILVA","E","34",3831,"20149","NULL","SYSTEM","SYSTEM","1"
"15","15","FIDES S.P.A.","Via Crescenzio","E","16",5562,"00193","NULL","SYSTEM","SYSTEM","1"
"16","16","ALTRI ENTI - STIPENDI","Via","E","NULL",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"17","17","INAIL","VIA STEFANO GRADI","E","55",5562,"00143","NULL","SYSTEM","SYSTEM","1"
"18","18","AGENZIA DELLE ENTRATE - Direzione Provinciale II di ROMA - Ufficio Territoriale ROMA 6 - EUR TORRINO","VIA CANTON","E","20",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"2","2","CREDITORI E DEBITORI DIVERSI",".","E","NULL",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"3","3","CREDITORI E DEBITORI DIVERSI PER STIPENDI","Via Capitan Bavastro","E","116",5562,"00151","NULL","SYSTEM","SYSTEM","1"
"4","4","MINISTERO DELLE FINANZE - SERVIZIO RISCOSSIONE TRIBUTI","VIALE BOSTON","E","20",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"5","5","INPS SEDE DI ROMA ","VIA AMBA ARADAM","E","5",5562,"00184","NULL","SYSTEM","SYSTEM","1"
"6","6","INPGI","VIA NIZZA","E","35",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"7","7","INPDAP SEDE DI ROMA - EX CPDEL","VIA CESARE BECCARIA 29","E","NULL",5562,"NULL","NULL","SYSTEM","SYSTEM","1"
"8","8","Federazione UIL Scuola RUA","Via Umbria","E","15",5562,"00187","NULL","SYSTEM","SYSTEM","1"
"9","9","FLC CGIL FEDERAZIONE LAVORATORI DELLA CONOSCENZA ","VIA LEOPOLDO SERRA","E","31",5562,"00153","NULL","SYSTEM","SYSTEM","1"
"19","1","ENTE","INSERIRE VIA ENTE","E","NULL",5562,"NULL","999.000","SYSTEM","SYSTEM","1"
