CD_TIPO_BOLLO,DS_TIPO_BOLLO,TI_ENTRATA_SPESA,CLASSE_TIPO_BOLLO,IM_TIPO_BOLLO,FL_DEFAULT,FL_CANCELLATO,UTCR,UTUV,PG_VER_REC,ASSOGGETTAMENTO_BOLLO
"ESE14","ESENTE - Spese di condominio degli edifici (art 13 tariffa DPR 642/72 nota 1.3)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"SOENT","Soggetto - Bollo a carico CNR","S","3",0,"N","N","SYSTEM","SYSTEM","1","ASSOGGETTATO BOLLO A CARICO ENTE"
"ESENT","ESENTE -  Pagamenti effettuati con accred. in c/c bancario o postale (art. 7 tabella D.P.R. 642/72)","S","1",0,"Y","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"SOPER","Soggetto - a carico del percepiente (compreso nell'importo dell'ordinativo)","S","4",0,"N","N","SYSTEM","SYSTEM","1","ASSOGGETTATO BOLLO A CARICO BENEFICIARIO"
"NR","Non rilevante","E","2",0,"Y","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE1","ESENTE - Non eccedente  ? 77,45","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE2","ESENTE - Missioni del personale (ART. 26 TAB DPR 642/72","S","1",0,"N","Y","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE3","ESENTE - Fatture ed altri documenti assoggettati ad IVA (Art. 6 Tabella D.P.R. 642/72)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE4","ESENTE - Fatture estere o relative all'esportazione, documenti doganali (art. 15 Tabella DPR 642/72)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE5","ESENTE - Stipendi, indennit? e compenze di lavoro subordinato (Art. 26 Tabella D.P.R. 642/72)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE6","ESENTE - Assicurazioni sociali obbligatorie (Art. 9 Tabella D.P.R. 642/72)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE7","ESENTE - Borse di studio (Art. 11 Tabella D.P.R. 642/72)","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE8","ESENTE - INDENNITA' DI LIQUIDAZIONE ART.9 TAB. DPR 642/72","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE9","ESENTE - ASSEGNI ALIMENTARI ART. 19 L. 74/87","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE10","ESENTE - QUOTE ASSOCIATIVE SINDACATI","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE11","ESENTE  - PIGNORAMENTTI PER ASSEGNI ALIMENTARI ART 19 L. 74/1983","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE12","ESENTE - CESSIONI V STIPENDIO ART 15 DPR 601/1973","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
"ESE13","ESENTE - ASSICURAZIONI ART 34 DPR 601/1973","S","1",0,"N","N","SYSTEM","SYSTEM","1","ESENTE BOLLO"
