CD_TIPO_CONTRATTO,DS_TIPO_CONTRATTO,NATURA_CONTABILE,FL_CANCELLATO,FL_CIG,FL_PUBBLICA_CONTRATTO,UTCR,UTUV,PG_VER_REC
"UTENZ","Contratti di fornitura periodica o continuativa (utenze)","P","N","N","N","SYSTEM","SYSTEM","1"
"TRASF","Trasformazione/Cessione/Fusione/Scissione/Affitto di azienda (o ramo di azienda)","P","N","Y","N","SYSTEM","SYSTEM","1"
"INTP","Contratti per lo svolgimento di Programmi di Ricerca Intergovernativi (es. PNRA)","P","N","N","N","SYSTEM","SYSTEM","1"
"INTA","Contratti per lo svolgimento di Programmi di Ricerca Intergovernativi (es. PNRA)","A","N","N","N","SYSTEM","SYSTEM","1"
"AL","Appalto di lavori (anche in caso di subappalto)","P","N","Y","N","SYSTEM","SYSTEM","1"
"RICS","Contratto per servizi di ricerca e sviluppo esclusi parzialmente dall?applicazione del codice dei contratti ","P","N","Y","N","SYSTEM","SYSTEM","1"
"OP163","Contratto d?opera professionale conferito ai sensi del D. Lgs. 163/2006","P","N","Y","N","SYSTEM","SYSTEM","1"
"CSP","Convenzione tra soggetti pubblici","N","N","Y","Y","SYSTEM","SYSTEM","1"
"RICA","Contratto per servizi di ricerca e sviluppo esclusi parzialmente dall?applicazione del codice dei contratti ","A","N","N","N","SYSTEM","SYSTEM","1"
"COMO","Contratto di comodato","P","N","N","N","SYSTEM","SYSTEM","1"
"SPO","Contratto di sponsorizzazione","P","N","Y","N","SYSTEM","SYSTEM","1"
"SPO_A","Contratto di sponsorizzazione","A","N","N","N","SYSTEM","SYSTEM","1"
"CONS","Concessione di servizi","P","N","Y","N","SYSTEM","SYSTEM","1"
"CONL","Concessione di Lavori","P","N","Y","N","SYSTEM","SYSTEM","1"
"ALTR","Altri contratti esclusi in tutto o in parte dall?ambito di applicazione del codice","P","N","Y","N","SYSTEM","SYSTEM","1"
"ALTRA","Altri contratti esclusi in tutto o in parte dall?ambito di applicazione del codice","A","N","N","N","SYSTEM","SYSTEM","1"
"PON","Programma Operativo Nazionale
","A","N","N","N","SYSTEM","SYSTEM","1"
"CSPP","Convenzione tra soggetti pubblici","P","N","N","N","SYSTEM","SYSTEM","1"
"CSPA","Convenzione tra soggetti pubblici","A","N","N","N","SYSTEM","SYSTEM","1"
"CSPE","Convenzione tra soggetti pubblici","E","N","N","N","SYSTEM","SYSTEM","1"
"QUOTE","Quote associative del CNR ad enti/associazioni per la ricerca","P","N","N","N","SYSTEM","SYSTEM","1"
"DOGAN","Oneri e servizi doganali, dazi, IVA e altri oneri imposti per legge","P","N","N","N","SYSTEM","SYSTEM","1"
"COND","Oneri accessori alla propriet? di immobili (spese condominiali)","P","N","N","N","SYSTEM","SYSTEM","1"
"TRA_A","Trasferimento e contributi all'attivit? di ricerca","A","N","N","N","SYSTEM","SYSTEM","1"
"INT","Partecipazione ad organismi scientifici internazionali","P","Y","N","N","SYSTEM","SYSTEM","1"
"LP","Appalto di lavori pubblici","P","Y","N","N","SYSTEM","SYSTEM","1"
"SER","Appalto di servizi (anche in caso di subappalto)","E","N","N","N","SYSTEM","SYSTEM","1"
"FOR","Appalto di fornitura (anche in caso di subappalto)","E","N","N","N","SYSTEM","SYSTEM","1"
"OPERA","Contratti d'opera e professionali","P","Y","N","N","SYSTEM","SYSTEM","1"
"ENG","Contratti di engineering","E","Y","N","N","SYSTEM","SYSTEM","1"
"K_H_P","Contratti di know-how","P","Y","N","N","SYSTEM","SYSTEM","1"
"RIC","Contratti di ricerca","E","Y","N","N","SYSTEM","SYSTEM","1"
"LOC","Contratti di locazione di immobili","E","N","N","N","SYSTEM","SYSTEM","1"
"COMPR","Contratti di compravendita di immobili","P","N","N","N","SYSTEM","SYSTEM","1"
"LEAS","Contratti di leasing","P","N","N","N","SYSTEM","SYSTEM","1"
"PART","Spese per la partecipazioni a consorzi, societ?, associazioni temporanee","P","N","N","N","SYSTEM","SYSTEM","1"
"COLL","Accordi di collaborazioni","N","Y","N","N","SYSTEM","SYSTEM","1"
"CONV","Convenzioni","N","Y","N","N","SYSTEM","SYSTEM","1"
"INTES","Protocolli di intesa","N","N","N","N","SYSTEM","SYSTEM","1"
"QUAD","Accordi quadro","N","N","N","N","SYSTEM","SYSTEM","1"
"99","Recupero da Obbligazioni","P","Y","N","N","SYSTEM","SYSTEM","1"
"98","Recupero da Accertamenti","A","Y","N","N","SYSTEM","SYSTEM","1"
"SER_A","Appalto di servizi","A","N","N","N","SYSTEM","SYSTEM","1"
"SER_P","Appalto di servizi (anche in caso di subappalto)","P","N","Y","N","SYSTEM","SYSTEM","1"
"FOR_A","Appalto di fornitura","A","N","N","N","SYSTEM","SYSTEM","1"
"FOR_P","Appalto di fornitura (anche in caso di subappalto)","P","N","Y","N","SYSTEM","SYSTEM","1"
"ENG_A","Contratti di engineering","A","Y","N","N","SYSTEM","SYSTEM","1"
"ENG_P","Contratti di engineering","P","Y","N","N","SYSTEM","SYSTEM","1"
"K_H_A","Contratti di know-how","A","Y","N","N","SYSTEM","SYSTEM","1"
"LOC_A","Contratti di locazione di immobili","A","N","N","N","SYSTEM","SYSTEM","1"
"LOC_P","Contratti di locazione di immobili","P","N","N","N","SYSTEM","SYSTEM","1"
"RIC_A","Contratti di ricerca","A","Y","N","N","SYSTEM","SYSTEM","1"
"RIC_P","Contratti di ricerca","P","Y","N","N","SYSTEM","SYSTEM","1"
"COM_A","Contratto di vendita immobili","A","N","N","N","SYSTEM","SYSTEM","1"
"COST","Cost Action Reimbursement (COST)","P","N","N","N","SYSTEM","SYSTEM","1"
"INCEN","Corrispettivi e incentivi per la progettazione di lavori ai sensi dell'art. 92 del D. Lgs. 163/2006","P","N","N","N","SYSTEM","SYSTEM","1"
"POLI","Polizza Sanitaria - Dipendenti CNR","N","N","N","N","SYSTEM","SYSTEM","1"
"POR","Programma Operativo Regionale","A","N","N","N","SYSTEM","SYSTEM","1"
"FIRB","FIRB","A","N","N","N","SYSTEM","SYSTEM","1"
"PRIN
","PRIN
","A","N","N","N","SYSTEM","SYSTEM","1"
"FISR","FISR","A","N","N","N","SYSTEM","SYSTEM","1"
"FAR","FAR","A","N","N","N","SYSTEM","SYSTEM","1"
"QUE","Programma Quadro UE
","A","N","N","N","SYSTEM","SYSTEM","1"
"2020","Horizon 2020","A","N","N","N","SYSTEM","SYSTEM","1"
"INT_P","Intesa di programma","A","N","N","N","SYSTEM","SYSTEM","1"
"2015","Industria 2015","A","N","N","N","SYSTEM","SYSTEM","1"
"BAN","Progetti Bandiera","A","N","N","N","SYSTEM","SYSTEM","1"
"PINT","Progetti di Interesse","A","N","N","N","SYSTEM","SYSTEM","1"
"PREM","Progetti Premiale","A","N","N","N","SYSTEM","SYSTEM","1"
"MEZZO","Progetti Mezzogiorno
","A","N","N","N","SYSTEM","SYSTEM","1"
"PNRA","Programma Nazionale Ricerca Antartide","A","N","N","N","SYSTEM","SYSTEM","1"
"FESR","Fondo Europeo di Sviluppo Regionale","A","N","N","N","SYSTEM","SYSTEM","1"
"FSE","Fondo Sociale Europeo
","A","N","N","N","SYSTEM","SYSTEM","1"
"LIFE","LIFE programme","A","N","N","N","SYSTEM","SYSTEM","1"
