CD_CONTRIBUTO_RITENUTA,CD_GRUPPO_CR,UTCR,UTUV,PG_VER_REC
"IVASP","IVASP","SYSTEM","SYSTEM","1"
"RAIRPEF","1040","SYSTEM","SYSTEM","1"
"STI0001","CGIL","SYSTEM","SYSTEM","1"
"STI0002","CISL","SYSTEM","SYSTEM","1"
"STI0003","RISCCPDEL","SYSTEM","SYSTEM","1"
"STI0007","USB","SYSTEM","SYSTEM","1"
"STI0008","CISL","SYSTEM","SYSTEM","1"
"STI0009","UIL","SYSTEM","SYSTEM","1"
"STI0010","GILDA","SYSTEM","SYSTEM","1"
"STI0011","USPPI","SYSTEM","SYSTEM","1"
"STI0105","INPSSTI","SYSTEM","SYSTEM","1"
"STI0913","INPGISTI","SYSTEM","SYSTEM","1"
"STI1001","1001","SYSTEM","SYSTEM","1"
"STI1002","1002","SYSTEM","SYSTEM","1"
"STI381E","381E","SYSTEM","SYSTEM","1"
"STI384E","384E","SYSTEM","SYSTEM","1"
"STI7050","FIDITALIA","SYSTEM","SYSTEM","1"
"STI7053","ISPRA","SYSTEM","SYSTEM","1"
"STI7054","FIDES","SYSTEM","SYSTEM","1"
