CD_TIPO_DOCUMENTO_CONT,DS_TIPO_DOCUMENTO_CONT,UTCR,UTUV,PG_VER_REC
"OBB_RESIM","Obbligazione Residua Impropria. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"OBB_RESIM$","TEMP Obbligazione Residua Impropria. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"OBB_RES","Obbligazione Residua. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"ACR_PGIR_R","Accertamento su partite di giro Residue. Utilizzato solo dal CDS per partite di giro","SYSTEM","SYSTEM","1"
"OBB_PGIR_R","Annotazione sul registro partite di giro Residue parte spese. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"ACR_MOD","Modifica Accertamento. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"ACR_MOD$","TEMP Modifica Accertamento. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"OBB","Obbligazione. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"OBB_PGIRO","Annotazione sul registro partite di giro parte spese. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"IMP","Impegno. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"MAN","Mandato","SYSTEM","SYSTEM","1"
"ACR_RES","Accertamento residuo. Utilizzato solo dal C.N.R. Anche su partite di giro","SYSTEM","SYSTEM","1"
"ACR_PGIRO","Accertamento su partite di giro. Utilizzato solo dal CDS per partite di giro","SYSTEM","SYSTEM","1"
"REV","Reversale","SYSTEM","SYSTEM","1"
"IMP_RES","Impegno residuo. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"ACR_SIST","Accertamento di sistema CDS","SYSTEM","SYSTEM","1"
"REV_PROVV","Reversale provvisoria","SYSTEM","SYSTEM","1"
"ACR","Accertamento. Utilizzato solo dal C.N.R. anche su partite di giro","SYSTEM","SYSTEM","1"
"OBB$","Obbligazione. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"ACR$","TEMP Accertamento. Utilizzato solo dal C.N.R. anche su partite di giro","SYSTEM","SYSTEM","1"
"OBB_PGIRO$","TEMP Annotazione sul registro partite di giro parte spese. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"IMP$","TEMP Impegno. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"MAN$","TEMP Mandato","SYSTEM","SYSTEM","1"
"ACR_RES$","TEMP Accertamento residuo. Utilizzato solo dal C.N.R. Anche su partite di giro","SYSTEM","SYSTEM","1"
"ACR_PGIRO$","TEMP Accertamento su partite di giro. Utilizzato solo dal CDS per partite di giro","SYSTEM","SYSTEM","1"
"REV$","TEMP Reversale","SYSTEM","SYSTEM","1"
"ACR_SIST$","TEMP Accertamento di sistema CDS","SYSTEM","SYSTEM","1"
"REV_PROVV$","TEMP Reversale provvisoria","SYSTEM","SYSTEM","1"
"IMP_RES$","TEMP Impegno residuo. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"ACR_PLUR","Accertamento pluriennale. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"ACR_PLUR$","TEMP Accertamento pluriennale. Utilizzato solo dal C.N.R.","SYSTEM","SYSTEM","1"
"OBB_MOD","Modifica Obbligazione. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
"OBB_MOD$","TEMP Modifica Obbligazione. Utilizzato solo dal CDS","SYSTEM","SYSTEM","1"
