CD_TIPO_MISSIONE,DS_TIPO_MISSIONE,FL_VALIDO,UTCR,UTUV,PG_VER_REC
"01","Attivit? istituzionale","Y","SYSTEM","SYSTEM","1"
"02","Ativit? formativa","Y","SYSTEM","SYSTEM","1"
"03","Partecipazione a commissioni di concorso ","Y","SYSTEM","SYSTEM","1"
"04","Partecipazione a riunioni ed attivit? di organismi internazionali","Y","SYSTEM","SYSTEM","1"
"05","Attivit? ispettive, di verifica e di controllo","Y","SYSTEM","SYSTEM","1"
"06","Attivit? relative ad accordi internazionali","Y","SYSTEM","SYSTEM","1"
"07","Progetti bandiera","Y","SYSTEM","SYSTEM","1"
"08","Progetti di potenziamento delle strutture del Mezzogiorno (c.d. 'Tremonti per il Sud')","Y","SYSTEM","SYSTEM","1"
"09","Progetti di interesse strategico finanziati con il FOE","Y","SYSTEM","SYSTEM","1"
"10","Progetti di carattere straordinario finanziati con il FOE","Y","SYSTEM","SYSTEM","1"
"11","Progetti ricompresi nella ""Road Map ESFRI""","Y","SYSTEM","SYSTEM","1"
"12","Programma Nazionale di Ricerche in Antartide","Y","SYSTEM","SYSTEM","1"
"13","Progetti FIRB","Y","SYSTEM","SYSTEM","1"
"14","Progetti PRIN","Y","SYSTEM","SYSTEM","1"
"15","Progetti FAR","Y","SYSTEM","SYSTEM","1"
"16","Progetti premiali","Y","SYSTEM","SYSTEM","1"
"17","Progetti 'Industria 2015'","Y","SYSTEM","SYSTEM","1"
"18","Progetto 'Polarnet'","Y","SYSTEM","SYSTEM","1"
"19","Progetti rientranti nel Nuovo accordo quadro CNR-Regione Lombardia","Y","SYSTEM","SYSTEM","1"
"20","Nuova intesa di programma MIUR CNR","Y","SYSTEM","SYSTEM","1"
"21","Progetti PON","Y","SYSTEM","SYSTEM","1"
"22","Progetti POR","Y","SYSTEM","SYSTEM","1"
"23","Progetti FESR","Y","SYSTEM","SYSTEM","1"
"24","Programmi Quadro dell'Unione Europea","Y","SYSTEM","SYSTEM","1"
"25","Progetti finanziati da soggetti privati nazionali","Y","SYSTEM","SYSTEM","1"
"26","Altri progetti finanziati dal MIUR","Y","SYSTEM","SYSTEM","1"
"27","Altri progetti finanziati da altri ministeri","Y","SYSTEM","SYSTEM","1"
"28","Altri progetti finanziati dall'Unione Europea","Y","SYSTEM","SYSTEM","1"
"29","Progetti finanziati da altri organismi internazionali o da altri soggetti privati stranieri","Y","SYSTEM","SYSTEM","1"
"30","Progetti finanziati da enti locali territoriali(Reg/prov/comuni/comu. montane/citt? metropolitane)","Y","SYSTEM","SYSTEM","1"
"31","Progetti finanziati da altri enti pubblici (EPR, universit?, agenzie, autorit?, IRCCS, ASL, ecc.)","Y","SYSTEM","SYSTEM","1"
