CD_CDS, CD_TIPO_MOVIMENTO, DS_TIPO_MOVIMENTO, TIPO, SEGNO, CD_CDS_STORNO, CD_TIPO_MOVIMENTO_STORNO, UTCR, UTUV, PG_VER_REC, RIPORTA_LOTTO_FORNITORE, AGG_DATA_ULTIMO_CARICO, MOD_AGG_QTA_MAGAZZINO, MOD_AGG_QTA_VAL_MAGAZZINO, MOD_AGG_VALORE_LOTTO, MOD_AGG_QTA_INIZIO_ANNO,FL_MOVIMENTA_LOTTI_BLOCCATI, CD_CDS_RIF, CD_TIPO_MOVIMENTO_RIF, GENERA_BOLLA_SCARICO, FL_CONSUMO, QTA_CARICO_LOTTO
"ASR","Z11","STORNO SCARICO MANUALE A U.O.","SR","NULL","NULL","NULL","MIGRAZIONE", "SIGLA",1,"N","N","+","I","N","N","N","NULL","NULL","N","N","I"
"ASR","Z05","STORNO SCARICO DA FUORI MAG.","SR","NULL","NULL","NULL","MIGRAZIONE", "SIGLA",1,"N","N","+","I","N","N","N","NULL","NULL","N","N","I"
"ASR","Z06","STORNO SCARICHI IN TRANSITO","SR","NULL","NULL","NULL","MIGRAZIONE", "SIGLA",1,"N","N","+","I","N","N","N","NULL","NULL","N","N","I"
"ASR","X11","STORNO CARICO MANUALE NO ORD.","SR","NULL","NULL","NULL","MIGRAZIONE", "SIGLA",1,"N","N","-","D","-","N","N","NULL","NULL","N","N","D"
"ASR","X01","STORNO CARICO DA ORDINE","SR","NULL","NULL","NULL","MIGRAZIONE","SIGLA",1,"N","N","-","D","-","N","N","NULL","NULL","N","N","D"
"ASR","X05","STORNO CARICO FUORI MAGAZZINO","SR","NULL","NULL","NULL","MIGRAZIONE","SIGLA",1,"N","N","-","D","-","N","N","NULL","NULL","N","N","D"
"ASR","X06","STORNO CARICO TRANSITO","SR","NULL","NULL","NULL", "MIGRAZIONE","SIGLA",1,"N","N","-","D","N","N","N","NULL","NULL","N","N","D"
"ASR","S05","SCARICO DA FUORI MAGAZZINO","SA","+","ASR","Z05","MIGRAZIONE","SIGLA",1,"N","N","-","-","N","N","N","NULL","NULL","N","Y","-"
"ASR","S06","SCARICO IN TRANSITO","SA","+","ASR","Z06","MIGRAZIONE","ENTE",2,"N","N","-","-","N","N","N","NULL","NULL","N","Y","N"
"ASR","C01","CARICO AUTOM. A FRONTE ORDINI","CA","NULL","ASR","X01","MIGRAZIONE", "SIGLA",1,"S","S","+","+","S","N","N","NULL","NULL","N","N","+"
"ASR","C05","CARICO FUORI MAGAZZINO","CA","NULL","ASR","X05","MIGRAZIONE","SIGLA",1,"S","S","+","+","S","N","N","ASR","S05","N","N","+"
"ASR","C06","CARICO IN TRANSITO","CA","NULL","ASR","X06","MIGRAZIONE","SIGLA",1,"S","S","+","+","S","N","N","ASR","S06","N","N","+"
"ASR","C11","CARICO MANUALE SENZA ORDINE","CM","NULL","ASR","X11","MIGRAZIONE","SIGLA",1,"S","S","+","+","S","N","N","NULL","NULL","N","N","+"
"ASR","C19","CARICO A VALORE +","CV","NULL","NULL","NULL","MIGRAZIONE","ORDINI",1,"N","N","N","N","+","N","N","NULL","NULL","N","N","N"
"ASR","C20","CARICO A VALORE -","CV","NULL","NULL","NULL","MIGRAZIONE","ORDINI",1,"N","N","N","N","-","N","N","NULL","NULL","N","N","N"
"ASR","S11","SCARICO MANUALE A UO","SM","+","ASR","Z11","MIGRAZIONE","SIGLA",1,"N","N","-","-","N","N","N","NULL","NULL","A","Y","N"
