CD_TIPO_NORMA,DS_TIPO_NORMA,CD_TIPO_NORMA_PERLA,NUMERO_TIPO_NORMA,DT_TIPO_NORMA,ARTICOLO_TIPO_NORMA,COMMA_TIPO_NORMA,TIPO_ASSOCIAZIONE,UTCR,UTUV,PG_VER_REC
"67","art.7 comma 6 L.165/2001","65","165","2011-01-01","1","3","INC","SYSTEM","SYSTEM","1"
"19B","art. 19, comma 1, lett. b dello Statuto del CNR","S"," ","2011-04-19"," "," ","CTR","SYSTEM","SYSTEM","1"
"19","art. 19 dello Statuto del CNR","S"," ","2011-04-19"," "," ","CTR","SYSTEM","SYSTEM","1"
"118","art. 118 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"116","art. 116 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"380","D.P.R. n. 380 del 6/6/2001 e s.m.i.","DPR"," ","2001-06-06"," "," ","CTR","SYSTEM","SYSTEM","1"
"15","art. 15 L. 241/1990","L"," ","1990-08-07"," "," ","CTR","SYSTEM","SYSTEM","1"
"633","D.P.R. 633/1972","DPR"," ","1972-10-26"," "," ","CTR","SYSTEM","SYSTEM","1"
"14","Art. 14, comma 2, Disc. conferimento incarichi","18","64","2007-11-14","14","2","INC","SYSTEM","SYSTEM","1"
"999","IMPUTAZIONE LIBERA","p1","1","2011-01-01","1","3","INC","SYSTEM","SYSTEM","1"
"163","D. Lgs. n. 163/2006  ","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"42D","art. 142 e seguenti D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"30D","art. 30 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"59D","art. 59 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"26D","art. 26 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"19D","art. 19, comma 1, lett. f  D. Lgs. n. 163/2006 ","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"5","art. 5 L. 381/1991","L"," ","1991-11-08"," "," ","CTR","SYSTEM","SYSTEM","1"
"117","art. 1117 e ss. codice civile (spese condominiali)","DL"," ","2042-03-16"," "," ","CTR","SYSTEM","SYSTEM","1"
"22","art. 22 L. 240/2010","65","240","2010-12-30","22"," ","INC","SYSTEM","SYSTEM","1"
"33D","art. 33 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"COS","COST Grant Agreement","L"," ","2013-01-01"," "," ","CTR","SYSTEM","SYSTEM","1"
"92D","art. 92 D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"71","art. 1571 e seguenti codice civile","DL"," ","2042-03-16"," "," ","CTR","SYSTEM","SYSTEM","1"
"03","art. 1803 e seguenti codice civile","DL"," ","2042-03-16"," "," ","CTR","SYSTEM","SYSTEM","1"
"TII","Titolo II della Parte I del D. Lgs. n. 163/2006","DL"," ","2006-04-12"," "," ","CTR","SYSTEM","SYSTEM","1"
"COM","Contratti di compravendita di immobili","L"," ","2014-01-01"," "," ","CTR","SYSTEM","SYSTEM","1"
