CD_TIPO_OPERAZIONE,DS_TIPO_OPERAZIONE,UTCR,UTUV,PG_VER_REC
"RIC","RICHIESTE","SYSTEM","SYSTEM","1"
"PRO","PROPOSTE","SYSTEM","SYSTEM","1"
"ORD","ORDINI","SYSTEM","SYSTEM","1"
"RIS","RISCONTRO MERCE","SYSTEM","SYSTEM","1"
"LOT","LOTTI DI CARICO","SYSTEM","SYSTEM","1"
"BLC","BOLLA DI CARICO","SYSTEM","SYSTEM","1"
"BOL","BOLLA DI SCARICO","SYSTEM","SYSTEM","1"
"MAG","MAGAZZINO","SYSTEM","SYSTEM","1"
"DDT","DOCUMENTI DI TRASPORTO","SYSTEM","SYSTEM","1"
"PRS","PROPOSTE DI SCARICO","SYSTEM","SYSTEM","1"
"PRI","PRODUZIONE INTERNA","SYSTEM","SYSTEM","1"
"VR1","VALIDAZIONE RICHIESTE LIV. 1","SYSTEM","SYSTEM","1"
"VR2","VALIDAZIONE RICHIESTE LIV. 2","SYSTEM","SYSTEM","1"
"ORC","ORDINI DA CLIENTE","SYSTEM","SYSTEM","1"
"RNC","RICHIESTE NOTE DI CREDITO","SYSTEM","SYSTEM","1"
"RND","RICHIESTE NOTE DI DEBITO","SYSTEM","SYSTEM","1"
"RSC","RISCONTRO RICHIESTE","SYSTEM","SYSTEM","1"
"RSO","RISCONTRO ORDINI DA CLIENTE","SYSTEM","SYSTEM","1"
"RCT","RISCONTRO CONTO TERZI","SYSTEM","SYSTEM","1"
"RSV","RISCONTRO A VALORE","SYSTEM","SYSTEM","1"
"SCT","SCARICO CONTO TERZI","SYSTEM","SYSTEM","1"
"VO1","VALIDAZIONE ORDINI","SYSTEM","SYSTEM","1"
"VO2","FIRMA ORDINI","SYSTEM","SYSTEM","1"
