CD_TIPO_SEZIONALE,DS_TIPO_SEZIONALE,TI_ACQUISTI_VENDITE,TI_ISTITUZ_COMMERC,CD_ATTIVITA_COMMERCIALE,FL_ORDINARIO,FL_SAN_MARINO_CON_IVA,FL_SAN_MARINO_SENZA_IVA,FL_INTRA_UE,FL_EXTRA_UE,FL_AUTOFATTURA,SEZIONALE_VEN_LIQUIDAZIONE,TI_BENE_SERVIZIO,FL_SERVIZI_NON_RESIDENTI,ORDINA,FL_SPLIT_PAYMENT,UTCR,UTUV,PG_VER_REC
"a/ispp","REGISTRO ACQUISTI ISTITUZIONALE SPLIT PAYMENT","A","I","NULL","N","N","N","N","N","N","NULL","*","N",6,"Y","SYSTEM","SYSTEM","1"
"v/cspp","REGISTRO IVA VENDITE PER ACQUISTI SPLIT PAYMENT","V","C","1","N","N","N","N","N","N","NULL","*","N",6,"Y","SYSTEM","SYSTEM","1"
"a/isnr","REGISTRO ACQUISTI SERVIZI NON RESIDENTI","A","I","NULL","N","N","Y","Y","Y","N","NULL","S","Y",1,"N","SYSTEM","SYSTEM","1"
"a/com","REGISTRO IVA  ORDINARIO ACQUISTI","A","C","1","Y","Y","Y","Y","Y","N","v/com","*","N",4,"N","SYSTEM","SYSTEM","1"
"v/cue","REGISTRO IVA VENDITE PER ACQUISTI UE","V","C","1","N","N","N","Y","N","Y","NULL","B","N",2,"N","SYSTEM","SYSTEM","1"
"v/caut","REGISTRO IVA VENDITE DELLE AUTOFATTURE","V","C","1","N","N","Y","Y","Y","Y","NULL","*","N",3,"N","SYSTEM","SYSTEM","1"
"v/rsms","REGISTRO VENDITE  PER ACQUISTI RSM SENZA IVA","V","C","1","N","N","Y","N","N","Y","NULL","B","N",1,"N","SYSTEM","SYSTEM","1"
"a/irsm","REGISTRO ACQUISTI ISTITUZIONALE R.S.M. SENZA IVA","A","I","NULL","N","N","Y","N","N","N","NULL","B","N",2,"N","SYSTEM","SYSTEM","1"
"a/iue","REGISTRO ACQUISTI BENI ISTITUZIONALE NON RESIDENTI","A","I","NULL","N","N","N","Y","Y","N","NULL","B","N",3,"N","SYSTEM","SYSTEM","1"
"a/ist","ACQUISTI ISTITUZIONALE","A","I","NULL","Y","Y","Y","Y","Y","N","NULL","*","N",5,"N","SYSTEM","SYSTEM","1"
"v/com","REGISTRO IVA ORDINARIO FATTURE EMESSE","V","C","1","Y","Y","N","Y","Y","N","NULL","*","N",4,"N","SYSTEM","SYSTEM","1"
