CD_TIPO_VARIAZIONE,DS_TIPO_VARIAZIONE,TI_TIPO_VARIAZIONE,FL_UTILIZZABILE_ENTE,FL_UTILIZZABILE_AREA,FL_UTILIZZABILE_CDS,TI_APPROVAZIONE,FL_VISTO_DIP_SALDO_MODULO,FL_VISTO_DIP_CLASSIFICAZIONE,UTCR,UTUV,PG_VER_REC
"NO_TIPO","Tipologia non definita","NO_TIPO","N","N","N","C","N","N","SYSTEM","SYSTEM","1"
"PREL_FON","Prelievo dai Fondi (non a quadratura)","PREL_FON","Y","N","N","E","N","N","SYSTEM","SYSTEM","1"
"REST_FON","Restituzione ai Fondi (non a quadratura)","REST_FON","Y","N","N","E","N","N","SYSTEM","SYSTEM","1"
"STO_E_AREA","Storno di Entrata all'interno dello stesso Istituto","STO_E_CDS","N","Y","N","C","N","N","SYSTEM","SYSTEM","1"
"STO_E_CDS","Storno di Entrata all'interno dello stesso Istituto/SAC/Area","STO_E_CDS","Y","N","Y","C","N","N","SYSTEM","SYSTEM","1"
"STO_E_TOT","Storno di Entrata tra diversi Istituti/SAC","STO_E_TOT","Y","Y","Y","C","N","N","SYSTEM","SYSTEM","1"
"STO_S_AREA","Storno di Spesa all'interno dello stesso Istituto","STO_S_CDS","N","Y","N","C","Y","N","SYSTEM","SYSTEM","1"
"STO_S_CDS","Storno di Spesa all''interno dello stesso Istituto/SAC/Area","STO_S_CDS","Y","N","Y","C","Y","N","SYSTEM","SYSTEM","1"
"STO_S_TOT","Storno di Spesa tra diversi Istituti/SAC","STO_S_TOT","Y","Y","Y","C","Y","N","SYSTEM","SYSTEM","1"
"VAR_MENO_CDS","Variazione per minori Entrate/Spese all'interno dello stesso Istituto(Area)/SAC","VAR_MENO_CDS","Y","Y","Y","C","N","Y","SYSTEM","SYSTEM","1"
"VAR_MENO_FON","Decremento Fondi","VAR_MENO_FON","N","N","N","C","N","N","SYSTEM","SYSTEM","1"
"VAR_MENO_TOT","Variazione per minori Entrate/Spese tra diversi Istituti/SAC","VAR_MENO_TOT","Y","Y","Y","C","N","Y","SYSTEM","SYSTEM","1"
"VAR_PIU_CDS","Variazione per maggiori Entrate/Spese all'interno dello stesso Istituto(Area)/SAC","VAR_PIU_CDS","Y","Y","Y","C","N","Y","SYSTEM","SYSTEM","1"
"VAR_PIU_FON","Incremento Fondi","VAR_PIU_FON","Y","N","N","E","N","N","SYSTEM","SYSTEM","1"
"VAR_PIU_TOT","Variazione per maggiori Entrate/Spese tra diversi Istituti/SAC","VAR_PIU_TOT","Y","Y","Y","C","N","Y","SYSTEM","SYSTEM","1"
