PG_TIPOLOGIA,DS_TIPOLOGIA,UTCR,UTUV,PG_VER_REC
1,"Stato","SYSTEM","SYSTEM","1"
2,"Enti di previdenza pubblici","SYSTEM","SYSTEM","1"
3,"Enti di previdenza privati","SYSTEM","SYSTEM","1"
4,"Regioni","SYSTEM","SYSTEM","1"
5,"Comuni","SYSTEM","SYSTEM","1"
6,"Provincie","SYSTEM","SYSTEM","1"
7,"Citt? Metropolitane","SYSTEM","SYSTEM","1"
8,"Comunit? Montane","SYSTEM","SYSTEM","1"
9,"Unioni di Comuni","SYSTEM","SYSTEM","1"
10,"Aziende Sanitarie","SYSTEM","SYSTEM","1"
11,"Aziende ospedaliere","SYSTEM","SYSTEM","1"
12,"Aziende ospedaliero-universitarie pubbliche","SYSTEM","SYSTEM","1"
13,"Aziende ospedaliero-universitarie private","SYSTEM","SYSTEM","1"
14,"Istituti di ricovero e cura a carattere scientifico pubblico (IRCCS)","SYSTEM","SYSTEM","1"
15,"Istituti Zooprofilattici","SYSTEM","SYSTEM","1"
16,"Enti di Ricerca pubblici","SYSTEM","SYSTEM","1"
17,"Enti di Ricerca privati","SYSTEM","SYSTEM","1"
18,"Camere di Commercio","SYSTEM","SYSTEM","1"
19,"Autorit? portuali","SYSTEM","SYSTEM","1"
20,"Aziende di promozione turistica","SYSTEM","SYSTEM","1"
21,"Universit? pubbliche","SYSTEM","SYSTEM","1"
22,"Universit? private","SYSTEM","SYSTEM","1"
23,"Enti Parco Nazionali","SYSTEM","SYSTEM","1"
24,"Altre Pubbliche Amministrazioni Locali","SYSTEM","SYSTEM","1"
25,"Altre Pubbliche Amministrazioni Centrali","SYSTEM","SYSTEM","1"
26,"Unione Europea","SYSTEM","SYSTEM","1"
27,"Altri Organismi Internazionali pubblici","SYSTEM","SYSTEM","1"
28,"Altri Organismi Internazionali privati","SYSTEM","SYSTEM","1"
29,"Imprese pubbliche","SYSTEM","SYSTEM","1"
30,"Imprese private","SYSTEM","SYSTEM","1"
31,"Istituzioni sociali private","SYSTEM","SYSTEM","1"
32,"Famiglie","SYSTEM","SYSTEM","1"
