CD_TRATTAMENTO,CD_CONTRIBUTO_RITENUTA,DT_INIZIO_VALIDITA,ID_RIGA,SEGNO,CALCOLO_IMPONIBILE,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"T095","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095","FONDOCRCPS","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","CPSCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","CPSCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T095C","FONDOCRCPS","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T016SC","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","INAIL","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042","IRAP","2002-01-01","002","+","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","RIDUZ","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","INPSA","2002-01-01","004","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T044","INPSA","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T049","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T084C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T085","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T089","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T090","IVA","2002-01-01","003","+","+001E+002E","2050-12-31","SYSTEM","SYSTEM","1"
"T028","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T019C","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T020C","RIVALSA2","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T021C","RAIRPEF","2002-01-01","003","-","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T025C","RIVALSA2","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T043C","INPSB","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T049C","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002CSC","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","CPDELCA","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","FONDOCRCPD","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","CPDELCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T006","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","FONDOCRCPD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","CPDELCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","FONDOCRCPS","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","CPSCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
