"cd_utente","cd_unita_operativa","cd_tipo_operazione","tutti_magazzini","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"GGASPARRO","PI.MALATTIE","ORD","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"RPAGANO","PI.MALATTIE","MAG","N","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"PVILLANI","PI.MALATTIE","VO1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"MSPASIANO","PI.MALATTIE","VO1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"PVILLANI","PI.MALATTIE","VO2","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"MSPASIANO","PI.MALATTIE","VO2","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","SA.BIL","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","DIP.BICN1.14","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.5","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.1","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.2","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.3","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.4","RIC","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"PVILLANI","PI.MALATTIE","RIS","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR","VR1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","CNMR.1","VR1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","PI.MALATTIE","RIS","N","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"RPAGANO","PI.MALATTIE","RIS","N","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","PI.MALATTIE","VO1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"GGASPARRO","PI.MALATTIE","VO2","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"PVILLANI","PI.MALATTIE","ORD","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"MSPASIANO","PI.MALATTIE","ORD","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"MSPASIANO","PI.MALATTIE","RIS","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"RPAGANO","PI.MALATTIE","ORD","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"RPAGANO","PI.MALATTIE","VO1","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
"RPAGANO","PI.MALATTIE","VO2","Y","NULL","2017-05-17T00:00:00.000","SYSTEM","2017-05-18T00:00:00.000","SYSTEM","1"
