"cd_nodo","ds_nodo","cd_accesso","business_process","pg_ordinamento","fl_terminale","livello","url_icona","cd_proprio_nodo","dacr","utcr","duva","utuv","pg_ver_rec","cd_nodo_padre","url_icona_open"
"0.AMM.INVENT.TABRIF.INVCON.M","gestione","AMMINVENTTABRINVCONM","CRUDInventarioConsegnatarioBP","2","Y","5","NULL","M","2001-12-04T14:03:49.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:58:28.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT.TABRIF.INVCON","NULL"
"0.DOC.OBBLIG.IMPPIG","annotaz. di spesa su partita giro","NULL","NULL","52","N","3","NULL","IMPPIG","2001-12-06T10:19:48.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:33:53.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.OBBLIG","NULL"
"0.DOC.OBBLIG.IMPPIG.V","visualizzazione","DOCOBBLIGCOREIMPPIGV","CRUDImpegnoPGiroBP","1","Y","4","NULL","V","2001-12-06T10:20:45.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:35:02.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.OBBLIG.IMPPIG","NULL"
"0.DOC.OBBLIG.IMPPIG.M","gestione","DOCOBBLIGCOREIMPPIGM","CRUDImpegnoPGiroBP","2","Y","4","NULL","M","2001-12-06T10:21:17.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:35:15.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.OBBLIG.IMPPIG","NULL"
"0.DOC.ACCERT.ACCPGI","annotaz. di entrata su partita giro","NULL","NULL","3","N","3","NULL","ACCPGI","2001-12-06T10:28:10.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:34:13.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.ACCERT","NULL"
"0.DOC.ACCERT.ACCPGI.V","visualizzazione","DOCACCERTCOREACCPGIV","CRUDAccertamentoPGiroBP","1","Y","4","NULL","V","2001-12-06T10:29:43.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:34:30.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.ACCERT.ACCPGI","NULL"
"0.DOC.ACCERT.ACCPGI.M","gestione","DOCACCERTCOREACCPGIM","CRUDAccertamentoPGiroBP","2","Y","4","NULL","M","2001-12-06T10:29:59.000","$$$$$MIGRAZIONE$$$$$","2001-12-06T10:34:45.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.ACCERT.ACCPGI","NULL"
"0.CFG.FONDI","Fondi di ricerca","NULL","NULL","80","N","2","NULL","FONDI","2002-01-04T13:46:48.000","$$$$$MIGRAZIONE$$$$$","2002-01-04T13:46:48.000","$$$$$MIGRAZIONE$$$$$","1","0.CFG","NULL"
"0.DOC.REVERS","Reversali","NULL","NULL","4","N","2","NULL","REVERS","2002-01-07T14:35:52.000","$$$$$MIGRAZIONE$$$$$","2002-01-07T14:35:52.000","$$$$$MIGRAZIONE$$$$$","1","0.DOC","NULL"
"0.DOC.REVERS.V","visualizzazione","DOCREVERSCOREREVERSV","CRUDReversaleBP","1","Y","3","NULL","V","2002-01-07T14:40:25.000","$$$$$MIGRAZIONE$$$$$","2002-01-07T14:41:34.000","$$$$$MIGRAZIONE$$$$$","3","0.DOC.REVERS","NULL"
"0.DOC.REVERS.M","gestione","DOCREVERSCOREREVERSM","CRUDReversaleBP","2","Y","3","NULL","M","2002-01-07T14:40:43.000","$$$$$MIGRAZIONE$$$$$","2002-01-07T14:41:42.000","$$$$$MIGRAZIONE$$$$$","3","0.DOC.REVERS","NULL"
"0.CFG.FONDI.TABR","tabelle di riferimento","NULL","NULL","3","N","3","NULL","TABR","2002-01-09T10:37:12.000","$$$$$MIGRAZIONE$$$$$","2002-01-09T10:37:12.000","$$$$$MIGRAZIONE$$$$$","1","0.CFG.FONDI","NULL"
"0.CFG.FONDI.TABR.TPFNDR","tipi fondi di ricerca","NULL","NULL","1","N","4","NULL","TPFNDR","2002-01-09T10:37:44.000","$$$$$MIGRAZIONE$$$$$","2002-01-09T10:37:44.000","$$$$$MIGRAZIONE$$$$$","1","0.CFG.FONDI.TABR","NULL"
"0.DOC.MANDAT.ACCR","Accreditamento CNR-CdS","NULL","NULL","60","N","3","NULL","ACCR","2002-01-15T10:40:53.000","$$$$$MIGRAZIONE$$$$$","2002-01-15T10:40:53.000","$$$$$MIGRAZIONE$$$$$","1","0.DOC.MANDAT","NULL"
"0.DOC.MANDAT.ACCR.ACC0V","visualizzazione","DOCMANDATCOREACCRE0V","CRUDMandatoAccreditamentoBP","1","Y","4","NULL","ACC0V","2001-10-10T13:48:45.000","$$$$$MIGRAZIONE$$$$$","2002-01-15T10:42:01.000","$$$$$MIGRAZIONE$$$$$","2","0.DOC.MANDAT.ACCR","NULL"
"0.DOC.MANDAT.ACCR.ACC0M","gestione","DOCMANDATCOREACCRE0M","CRUDMandatoAccreditamentoBP","2","Y","4","NULL","ACC0M","2001-10-10T13:48:12.000","$$$$$MIGRAZIONE$$$$$","2002-01-15T10:48:27.000","$$$$$MIGRAZIONE$$$$$","4","0.DOC.MANDAT.ACCR","NULL"
"0.AMM.FDECON","Fondo economale","NULL","NULL","7","N","2","NULL","FDECON","2002-01-31T14:40:55.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM","NULL"
"0.AMM.FATTUR.TABR.ATTCOM","attivita commerciale","NULL","NULL","5","N","4","NULL","ATTCOM","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.ATTCOM.M","gestione","AMMFATTURTABRATTCOMM","CRUDAttivitaCommercialeBP","2","Y","5","NULL","M","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.ATTCOM","NULL"
"0.AMM.FATTUR.TABR.ATTCOM.V","visualizzazione","AMMFATTURTABRATTCOMV","CRUDAttivitaCommercialeBP","1","Y","5","NULL","V","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.ATTCOM","NULL"
"0.AMM.FATTUR.TABR.BENSER","bene servizio","NULL","NULL","3","N","4","NULL","BENSER","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.BENSER.M","gestione","AMMFATTURTABRBENSERM","CRUDBeneServizioBP","2","Y","5","NULL","M","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.BENSER","NULL"
"0.AMM.FATTUR.TABR.BENSER.V","visualizzazione","AMMFATTURTABRBENSERV","CRUDBeneServizioBP","1","Y","5","NULL","V","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.BENSER","NULL"
"0.AMM.FATTUR.TABR.CAMBIO","cambio","NULL","NULL","1","N","4","NULL","CAMBIO","2001-09-07T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.CAMBIO.M","gestione","AMMFATTURTABRCAMBIOM","CRUDCambioBP","2","Y","5","NULL","M","2001-09-07T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:00.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR.CAMBIO","NULL"
"0.AMM.FATTUR.TABR.CAMBIO.V","visualizzazione","AMMFATTURTABRCAMBIOV","CRUDCambioBP","1","Y","5","NULL","V","2001-09-07T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:00.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR.CAMBIO","NULL"
"0.AMM.FATTUR.TABR.GRUIVA","gruppo IVA","NULL","NULL","4","N","4","NULL","GRUIVA","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.GRUIVA.M","gestione","AMMFATTURTABRGRUIVAM","CRUDGruppoIvaBP","2","Y","5","NULL","M","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.GRUIVA","NULL"
"0.AMM.FATTUR.TABR.GRUIVA.V","visualizzazione","AMMFATTURTABRGRUIVAV","CRUDGruppoIvaBP","1","Y","5","NULL","V","2001-08-09T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:01.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.GRUIVA","NULL"
"0.AMM.FATTUR.TABR.SEZION","sezionale","NULL","NULL","7","N","4","NULL","SEZION","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.SEZION.M","gestione","AMMFATTURTABRSEZIONM","CRUDSezionaleBP","2","Y","5","NULL","M","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:02.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.SEZION","NULL"
"0.AMM.FATTUR.TABR.SEZION.V","visualizzazione","AMMFATTURTABRSEZIONV","CRUDSezionaleBP","1","Y","5","NULL","V","2001-08-06T13:52:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:02.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.SEZION","NULL"
"0.AMM.FATTUR.TABR.TARIFF","Tariffario","NULL","NULL","9","N","4","NULL","TARIFF","2001-10-18T17:08:27.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","3","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.TARIFF.M","gestione","AMMFATTURTABRTARIFFM","CRUDTariffarioBP","2","Y","5","NULL","M","2001-10-18T17:15:31.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:53:49.000","$$$$$MIGRAZIONE$$$$$","3","0.AMM.FATTUR.TABR.TARIFF","NULL"
"0.AMM.FATTUR.TABR.TARIFF.V","visualizzazione","AMMFATTURTABRTARIFFV","CRUDTariffarioBP","1","Y","5","NULL","V","2001-10-18T17:15:45.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:53:38.000","$$$$$MIGRAZIONE$$$$$","3","0.AMM.FATTUR.TABR.TARIFF","NULL"
"0.AMM.FATTUR.TABR.TIPSEZ","tipo sezionale","NULL","NULL","6","N","4","NULL","TIPSEZ","2001-08-06T13:51:59.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.TIPSEZ.V","visualizzazione","AMMFATTURTABRTIPSEZV","CRUDTipoSezionaleBP","1","Y","5","NULL","V","2001-08-06T13:52:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:02.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.TIPSEZ","NULL"
"0.AMM.FATTUR.TABR.VALSTR","valuta straniera","NULL","NULL","8","N","4","NULL","VALSTR","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.VALSTR.M","gestione","AMMFATTURTABRVALSTRM","CRUDValutaStranieraBP","2","Y","5","NULL","M","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:03.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.VALSTR","NULL"
"0.AMM.FATTUR.TABR.VALSTR.V","visualizzazione","AMMFATTURTABRVALSTRV","CRUDValutaStranieraBP","1","Y","5","NULL","V","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:03.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.VALSTR","NULL"
"0.AMM.FATTUR.TABR.VOCIVA","voce iva","NULL","NULL","2","N","4","NULL","VOCIVA","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","6","0.AMM.FATTUR.TABR","NULL"
"0.AMM.FATTUR.TABR.VOCIVA.M","gestione","AMMFATTURTABRVOCIVAM","CRUDVoceIvaBP","2","Y","5","NULL","M","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:00.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.VOCIVA","NULL"
"0.AMM.FATTUR.TABR.VOCIVA.V","visualizzazione","AMMFATTURTABRVOCIVAV","CRUDVoceIvaBP","1","Y","5","NULL","V","2001-08-29T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-14T09:11:00.000","$$$$$MIGRAZIONE$$$$$","5","0.AMM.FATTUR.TABR.VOCIVA","NULL"
"0.AMM.INVENT","Inventario","NULL","NULL","5","N","2","NULL","INVENT","2001-11-12T15:15:03.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","4","0.AMM","NULL"
"0.AMM.INVENT.CARINV","Carico Inventario","NULL","NULL","1","N","3","NULL","CARINV","2001-11-14T14:49:14.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT","NULL"
"0.AMM.INVENT.CARINV.M","gestione","AMMINVENTCORECARINVM","CRUDCaricoInventarioBP","2","Y","4","NULL","M","2001-11-14T14:54:07.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:55:50.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT.CARINV","NULL"
"0.AMM.INVENT.CARINV.V","visualizzazione","AMMINVENTCORECARINVV","CRUDCaricoInventarioBP","1","Y","4","NULL","V","2001-11-14T14:53:40.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:55:39.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT.CARINV","NULL"
"0.AMM.INVENT.SCAINV","Scarico Inventario","NULL","NULL","2","N","3","NULL","SCAINV","2001-11-14T14:49:34.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT","NULL"
"0.AMM.INVENT.SCAINV.M","gestione","AMMINVENTCORESCAINVM","CRUDScaricoInventarioBP","2","Y","4","NULL","M","2001-11-14T16:22:57.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:56:07.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT.SCAINV","NULL"
"0.AMM.INVENT.SCAINV.V","visualizzazione","AMMINVENTCORESCAINVV","CRUDScaricoInventarioBP","1","Y","4","NULL","V","2001-11-14T16:22:34.000","$$$$$MIGRAZIONE$$$$$","2002-01-08T11:55:59.000","$$$$$MIGRAZIONE$$$$$","2","0.AMM.INVENT.SCAINV","NULL"
"0.AMM.INVENT.TABRIF","Tabelle di riferimento","NULL","NULL","4","N","3","NULL","TABRIF","2001-11-12T15:19:11.000","$$$$$MIGRAZIONE$$$$$","2002-09-17T10:09:01.000","$$$$$MIGRAZIONE$$$$$","4","0.AMM.INVENT","NULL"
