"cd_tipo_documento_amm","cd_modalita_pag","utcr","dacr","utuv","duva","pg_ver_rec"
"FATTURA_A","BO","CED","2017-07-20T00:00:00.000","CED","2017-07-20T00:00:00.000","1"
"COMPENSO","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"GEN_AP_FON","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"FATTURA_P","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"MISSIONE","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"ANTICIPO","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"GEN_RE_FON","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"CONGUA","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"GEN_CORA_S","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"GEN_CORV_S","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
"GENERICO_S","BO","CED","2012-01-25T00:00:00.000","CED","2012-01-25T00:00:00.000","1"
