"esercizio","ti_appartenenza","ti_gestione","cd_elemento_voce","cd_elemento_voce_coll","ti_appartenenza_coll","ti_gestione_coll","cd_cds","cd_natura","ti_elemento_voce","ti_elemento_voce_coll","utuv","dacr","utcr","duva","pg_ver_rec"
"2018","C","E","1001","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1002","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1003","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1004","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1005","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1006","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1007","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1008","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1009","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1010","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1011","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1012","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1013","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1014","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1015","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1016","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1017","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1018","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1019","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1020","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1021","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1022","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1023","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1024","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1025","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1026","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1027","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1028","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1029","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1030","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1031","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1032","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1033","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1034","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1035","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1036","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1037","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1038","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1039","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1040","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1041","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1042","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1043","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1044","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1045","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1046","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1047","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1048","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1049","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1050","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1051","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1052","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1053","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1054","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1055","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1056","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1057","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1058","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1059","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1060","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1061","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1062","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1063","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1064","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1065","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1066","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1067","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1068","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1069","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2018","C","E","1070","*","*","*","*","1","C","NULL","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"2017","C","E","1001","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1002","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1003","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1004","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1005","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1006","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1007","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1008","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1009","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1010","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1011","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1012","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1013","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1014","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1015","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1016","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1017","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1018","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1019","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1020","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1021","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1022","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1023","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1024","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1025","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1026","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1027","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1028","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1029","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1030","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1031","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1032","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1033","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1034","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1035","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1036","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1037","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1038","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1039","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1040","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1041","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1042","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1043","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1044","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1045","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
"2017","C","E","1046","*","*","*","*","1","C","NULL","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","1"
