"esercizio","ti_appartenenza","ti_gestione","cd_elemento_voce","esercizio_siope","ti_gestione_siope","cd_siope","utcr","dacr","utuv","duva","pg_ver_rec"
"2017","D","S","2257","2017","S","1499","ISS","2017-11-16T13:23:29.000","ISS","2017-11-16T13:23:29.000","1"
"2017","C","E","1039","2017","E","2199","ISS","2017-11-17T09:49:44.000","ISS","2017-11-17T09:49:44.000","1"
"2017","D","S","2067","2017","S","1499","ISS","2017-11-23T11:16:23.000","ISS","2017-11-23T11:16:23.000","1"
"2017","D","S","2066","2017","S","1499","ISS","2017-11-23T11:16:41.000","ISS","2017-11-23T11:16:41.000","1"
"2017","C","E","1063","2017","E","4999","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","1"
"2017","C","E","1065","2017","E","4999","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","1"
"2017","C","E","1065","2017","E","4117","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","1"
"2017","C","E","1058","2017","E","1252","ISS","2017-11-23T11:59:00.000","ISS","2017-11-23T11:59:00.000","1"
"2017","D","S","2708","2017","S","1206","ISS","2017-11-23T12:40:20.000","ISS","2017-11-23T12:40:20.000","1"
"2018","C","E","1039","2018","E","2199","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","C","E","1058","2018","E","1252","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","C","E","1063","2018","E","4999","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","C","E","1065","2018","E","4999","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","C","E","1065","2018","E","4117","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","D","S","2066","2018","S","1499","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","D","S","2067","2018","S","1499","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","D","S","2257","2018","S","1499","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
"2018","D","S","2708","2018","S","1206","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","1"
