"cd_tipo_rapporto","cd_ti_prestazione","dacr","utcr","duva","utuv","pg_ver_rec"
"BORS","BORSF","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","CED","1"
"BORS","STAGE","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","CED","1"
"BORS","TIR","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","CED","1"
"COLL","PSERV","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"COLL","INC","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"COLL","GETT","2013-04-22T00:00:00.000","CED","2013-04-22T00:00:00.000","CED","1"
"COLL","FUNZ","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"BORS","BORS","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"ASS","ASSE","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"PROF","PSERV","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"PROF","FUNZ","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"PROF","GETT","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"PROF","PCONT","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"OCCA","INC","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"OCCA","PSERV","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"OCCA","FUNZ","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"OCCA","GETT","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
"OCCA","PCONT","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","CED","1"
