"cd_tipo_rapporto","cd_trattamento","dacr","utcr","duva","utuv","pg_ver_rec"
"PROF","T121","2004-08-05T12:33:13.000","CROSATI","2004-08-05T12:33:13.000","CROSATI","1"
"PROF","T121C","2004-08-05T12:33:13.000","CROSATI","2004-08-05T12:33:13.000","CROSATI","1"
"PROF","T170","2012-02-29T12:56:36.000","CED","2012-02-29T12:56:36.000","CED","1"
"PROF","T142","2015-07-23T00:00:00.000","CED","2015-07-23T00:00:00.000","CED","1"
"PROF","T159","2015-07-23T00:00:00.000","CED","2015-07-23T00:00:00.000","CED","1"
"PROF","T259C","2016-06-28T00:00:00.000","CED","2016-06-28T00:00:00.000","CED","1"
"PROF","T191","2016-04-26T00:00:00.000","GGASPARRO","2016-04-26T00:00:00.000","GGASPARRO","1"
"PROF","T190","2015-07-29T00:00:00.000","CED","2015-07-29T00:00:00.000","CED","1"
"PROF","T256C","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T255","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T255C","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T256","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T257","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T257C","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T259","2015-10-27T00:00:00.000","CED","2015-10-27T00:00:00.000","CED","1"
"PROF","T140","2005-10-14T10:24:40.000","CROSATI","2005-10-14T10:24:40.000","CROSATI","1"
"PROF","T152","2007-11-29T11:37:45.000","CROSATI","2007-11-29T11:37:45.000","CROSATI","1"
"PROF","T152C","2007-11-29T11:37:57.000","CROSATI","2007-11-29T11:37:57.000","CROSATI","1"
"PROF","R048","2008-02-25T16:46:46.000","CED","2008-02-25T16:46:46.000","CED","1"
"PROF","T153","2008-03-20T00:00:00.000","CED","2008-03-20T00:00:00.000","CED","1"
"PROF","R021C","2008-09-26T16:46:46.000","CED","2008-02-08T16:46:46.000","CED","1"
"PROF","T022","2011-02-24T00:00:00.000","CED","2011-02-24T00:00:00.000","CED","1"
"PROF","T022C","2011-02-24T00:00:00.000","CED","2011-02-24T00:00:00.000","CED","1"
"PROF","T202","2013-06-20T09:23:28.000","CED","2013-06-20T09:23:28.000","CED","1"
"PROF","T157","2012-05-16T00:00:00.000","CED","2012-05-16T00:00:00.000","CED","1"
"PROF","T170C","2012-02-29T12:56:36.000","CED","2012-02-29T12:56:36.000","CED","1"
"PROF","T157C","2012-05-16T00:00:00.000","CED","2012-05-16T00:00:00.000","CED","1"
"PROF","T048SC","2007-09-07T12:16:41.000","CROSATI","2007-09-07T12:16:41.000","CROSATI","1"
"PROF","T121CSC","2009-08-31T12:33:13.000","CED","2009-08-31T12:33:13.000","CED","1"
"PROF","T156","2012-04-17T00:00:00.000","CED","2012-04-17T00:00:00.000","CED","1"
"PROF","T155","2012-04-17T00:00:00.000","CED","2012-04-17T00:00:00.000","CED","1"
"PROF","T155C","2012-04-17T00:00:00.000","CED","2012-04-17T00:00:00.000","CED","1"
"PROF","T156C","2012-04-17T00:00:00.000","CED","2012-04-17T00:00:00.000","CED","1"
"PROF","R019","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R019C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R020","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R020C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R021","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R025C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R091","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R085C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R048C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R089C","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
"PROF","R121","2008-02-08T16:46:46.000","CR","2008-02-08T16:46:46.000","CR","1"
