"esercizio","cd_contributo_ritenuta","dt_ini_validita","esercizio_siope_s","ti_gestione_siope_s","cd_siope_s","esercizio_siope_e","ti_gestione_siope_e","cd_siope_e","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","1049","2011-01-01T00:00:00.000","2018","S","8107","2018","E","4111","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24EPIMU","2012-01-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24EPIVA","2011-01-01T00:00:00.000","2018","S","8106","2018","E","4117","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24INAIL","2011-01-01T00:00:00.000","2018","S","8102","2018","E","4112","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRAP1","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRAP2","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRAPSAL","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRES1","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRES2","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRESSAL","2011-06-01T00:00:00.000","2018","S","8107","2018","E","4118","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRAP","2002-01-01T00:00:00.000","2018","S","8101","2018","E","4111","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRAPCOM","2002-01-01T00:00:00.000","2018","S","8101","2018","E","4111","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRPEFSTRA","2002-01-01T00:00:00.000","2018","S","8101","2018","E","4111","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","RAIRPEF","2002-01-01T00:00:00.000","2018","S","8101","2018","E","4111","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2018","RECRITE","2003-01-01T00:00:00.000","2018","S","8999","2018","E","4999","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAP2","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRESSAL","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRES1","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRES2","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24EPIVA","2011-01-01T00:00:00.000","2017","S","8106","2017","E","4117","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","RECRITE","2003-01-01T00:00:00.000","2017","S","8999","2017","E","4999","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24INAIL","2011-01-01T00:00:00.000","2017","S","8102","2017","E","4112","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24EPIMU","2012-01-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRAP","2002-01-01T00:00:00.000","2017","S","8101","2017","E","4111","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRAPCOM","2002-01-01T00:00:00.000","2017","S","8101","2017","E","4111","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRPEFSTRA","2002-01-01T00:00:00.000","2017","S","8101","2017","E","4111","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","RAIRPEF","2002-01-01T00:00:00.000","2017","S","8101","2017","E","4111","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","1049","2011-01-01T00:00:00.000","2017","S","8107","2017","E","4111","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAP1","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAPSAL","2011-06-01T00:00:00.000","2017","S","8107","2017","E","4118","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1"
