"tipo","cd_privilegio","dacr","duva","utcr","utuv","pg_ver_rec"
"VTUTTO","SUPVIS","2014-05-07T16:15:24.000","2014-05-07T16:15:28.000","CNRTUTTO","CNRTUTTO","1"
"000000","FUNINC","2016-10-10T13:45:14.000","2016-10-10T13:45:14.000","AMM090A","AMM090A","1"
"FIRMAE","FIFAEL","2014-09-26T10:54:02.000","2014-09-26T10:54:06.000","CED_RP","CED_RP","1"
"MISDIA","DIARIA","2014-10-17T15:10:08.000","2014-10-17T15:10:08.000","CED","CED","1"
"SUPINC","MODVAR","2010-07-29T15:08:13.000","2010-07-29T15:08:13.000","FG","FG","1"
"TUTTO","MODVAR","2010-07-29T15:08:15.000","2010-07-29T15:08:15.000","FG","FG","1"
"FISCOR","ALLTRA","2011-05-27T12:07:29.000","2011-05-27T12:07:29.000","CED","CED","1"
"SUPINC","ALLTRA","2011-05-27T00:00:00.000","2011-05-27T00:00:00.000","CED","CED","1"
"TUTTO","ALLTRA","2011-05-27T00:00:00.000","2011-05-27T00:00:00.000","CED","CED","1"
"TRATT","ALLTRA","2011-04-29T00:00:00.000","2011-04-29T00:00:00.000","CED","CED","1"
"AMMINV","AGGINV","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
"TUTTO","SUPVIS","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","PUBSIT","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","INVUFF","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","INSSIO","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","INSF24","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","FUNINC","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","FATATT","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","DIRIST","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","APPBIL","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"TUTTO","AGGINV","2008-05-21T12:41:17.000","2008-05-21T12:41:17.000","CDSBIL","CDSBIL","1"
"ISTSIO","INSSIO","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
"DIRIST","APPBIL","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
"DIRIST","PUBSIT","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
"DIRIST","FUNINC","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
"SUPINC","PUBSIT","2009-12-16T13:11:19.000","2009-12-16T13:11:19.000","CNRTUTTO","CNRTUTTO","1"
"SUPINC","INVUFF","2009-12-16T13:11:19.000","2009-12-16T13:11:19.000","CNRTUTTO","CNRTUTTO","1"
"DIRIST","SUPVIS","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1"
