"pg_tipologia","esercizio_siope","ti_gestione_siope","cd_siope","utcr","dacr","utuv","duva","pg_ver_rec"
"13","2008","E","1246","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"13","2008","E","2149","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"13","2008","E","2246","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"13","2008","S","2211","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"13","2008","S","5409","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"13","2008","S","5611","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","E","1247","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","E","2151","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","E","2247","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","S","2212","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","S","5410","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"14","2008","S","5612","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","E","1248","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","E","2150","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","E","2248","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","S","2213","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","S","5411","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"15","2008","S","5613","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","E","1249","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","E","2152","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","E","2249","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","S","2214","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","S","5412","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"16","2008","S","5614","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","E","1249","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","E","2152","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","E","2249","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","S","2214","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","S","5412","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"17","2008","S","5614","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"18","2008","E","1250","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"18","2008","E","2250","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"18","2008","S","2215","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"18","2008","S","5615","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"19","2008","E","1251","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"19","2008","E","2251","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"19","2008","S","2216","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"19","2008","S","5616","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"24","2008","E","1289","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"24","2008","E","2189","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","$$$$RIBALTAMENTO$$$$","2007-10-10T15:31:00.000","1"
"24","2011","S","2289","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"24","2011","S","5489","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"26","2011","E","1291","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"26","2011","E","2291","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"26","2011","S","2291","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"26","2011","S","5691","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"20","2011","E","1252","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"20","2011","E","2252","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
"20","2011","S","2217","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","$$$$RIBALTAMENTO$$$$","2010-10-15T11:38:06.000","1"
