"pg_esecuzione","pg_riga","ti_messaggio","messaggio","trace","note","dacr","duva","utcr","utuv","pg_ver_rec"
"101573","1","E","Lo script di ribaltamento per il PDGP ט giא stato eseguito con successo per l'esercizio 2018: non ט possibile eseguirlo nuovamente.","NULL","NULL","2018-01-08T12:10:12.000","2018-01-08T12:10:12.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101573","2","E","Errore non gestito: ORA-20020: Lo script di ribaltamento per il PDGP ט giא stato eseguito con successo per l'esercizio 2018: non ט possibile eseguirlo nuovamente.
","NULL","NULL","2018-01-08T12:10:12.000","2018-01-08T12:10:12.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","65","W","CONFIGURAZIONE_CNR con PK(2018, *, LINEA_ATTIVITA_SPECIALE, LINEA_VERSAMENTO_IVA_SAC) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","66","W","CONFIGURAZIONE_CNR con PK(2018, *, COSTANTI, BLACKLIST) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","67","W","CONFIGURAZIONE_CNR con PK(2018, *, BILANCIO_ENTE, AVANZO) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","68","W","CONFIGURAZIONE_CNR con PK(2018, *, BILANCIO_ENTE, FONDO_CASSA) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","69","W","CONFIGURAZIONE_CNR con PK(2018, *, FONDO_ECONOMALE, REINTEGRO_OBBLIGATORIO) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","70","W","CONFIGURAZIONE_CNR con PK(2018, *, ORDINI, IMPEGNO_ORDINI_UO_DEST) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","71","W","CONFIGURAZIONE_CNR con PK(2018, *, ORDINI, ORDINI_AUT_ROTTURA_UO_DEST) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","72","W","CONFIGURAZIONE_CNR con PK(2018, *, BASE_DEDUZIONE_IRPEF, QUOTE_DEDUZIONE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","73","W","CONFIGURAZIONE_CNR con PK(2018, *, BASE_DEDUZIONE_IRPEF, VALORE_BASE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","74","W","CONFIGURAZIONE_CNR con PK(2018, *, CODICE_SIOPE_DEFAULT, MANDATO_ACCREDITAMENTO) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","75","W","CONFIGURAZIONE_CNR con PK(2018, *, GESTIONE_IVA, ATTIVA_PRORATA) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","76","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, RATEI_PASSIVI) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","77","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, RATEI_ATTIVI) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","78","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, RISCONTI_PASSIVI) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","79","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, RISCONTI_ATTIVI) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","80","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, SOPRAVVENIENZE_PASSIVE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","81","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, SOPRAVVENIENZE_ATTIVE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","82","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, UTILE_PERDITA_ESERCIZIO) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","83","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, STATO_PATRIMONIALE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","84","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, CONTO_ECONOMICO) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","85","W","CONFIGURAZIONE_CNR con PK(2018, *, LIQUID_CORI, LOCALE_ATTIVA) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","86","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, INSUSSISTENZE_ATTIVE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"101582","87","W","CONFIGURAZIONE_CNR con PK(2018, *, VOCEEP_SPECIALE, INSUSSISTENZE_PASSIVE) già esistente","NULL","NULL","2018-01-08T14:09:04.000","2018-01-08T14:09:04.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
