"cd_log_tipo","ti_log","ds_log_tipo","note","dacr","duva","utcr","utuv","pg_ver_rec"
"LOG_DEL_BATCH","X","Batch di cancellazione BATCH_LOG_TSTA","NULL","2006-07-07T13:06:20.000","2006-07-07T13:06:20.000","CROSATI","CROSATI","1"
"AMM_BENI00","O","AMMORTAMENTO BENI","NULL","2006-07-10T13:24:17.000","2006-07-10T13:24:17.000","SYSTEM","SYSTEM","1"
"ESTR_INPS_MENSILE","O","ESTRAZIONE DATI INPS MENSILE","NULL","2005-04-26T00:00:00.000","2005-04-26T00:00:00.000","CED","CED","1"
"ELAB_STIP00","O","Elaborazione Flussi Stipendi","NULL","2006-09-21T16:26:08.000","2006-09-21T00:00:00.000","CED","CED","1"
"RIB_CONF_ES01","B","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli e piano dei conti","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"LOG_AGG_VIEW","X","Aggiornamento VIEW Materializzate","NULL","2005-11-02T15:45:33.000","2005-11-02T15:45:33.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"ESTRAZIONE_770","O","ESTRAZIONE DATI 770","NULL","2004-12-02T17:23:42.000","2004-12-02T17:23:42.000","TARDIOLAC","TARDIOLAC","1"
"UNDEF00","X","Tipo di log non definito","NULL","2003-01-28T00:00:00.000","2003-01-28T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"LIQUID_MC00","O","Liquidazione massiva minicarriere","NULL","2003-01-28T00:00:00.000","2003-01-28T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"PROD_BILFINCNR00","O","Produzione bilancio preventivo CNR","NULL","2003-01-28T00:00:00.000","2003-01-28T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"REG_COGE00","B","Registrazione economica analitica","Batch","2003-01-28T00:00:00.000","2003-01-28T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"LIQUID_IVA_MASS00","O","LIQUIDAZIONE IVA AL CENTRO PER TUTTE LE UO","NULL","2003-02-28T17:28:24.000","2003-02-28T17:28:24.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"INTERF_CASS00","O","Interfaccia di ritorno cassiere","NULL","2003-04-29T17:09:10.000","2003-04-29T17:09:10.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"MAR_MAN_REV00","X","Verifica disallineamento mandati/reversali","NULL","2003-05-27T09:58:57.000","2003-05-27T09:58:57.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"MAR_OBB_ACC00","X","Verifica disallineamento obbligazioni/accertamenti","NULL","2003-05-27T09:58:57.000","2003-05-27T09:58:57.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"MAR_SALDI00","X","Verifica disallineamento saldi","NULL","2003-05-27T09:58:57.000","2003-05-27T09:58:57.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"CHIUSURA_COGE00","B","Chiusura economica analitica","Batch","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"RIB_CONF_ES00","B","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli e piano dei conti","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"ANN_DOCCONT00","O","Annullamento massivo documenti contabili per chiusura","NULL","2003-10-13T16:32:59.000","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"RIP_ES_DOCCONT00","O","Riporto all'esercizio successivo documenti contabili per chiusura","NULL","2003-10-13T16:32:59.000","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"RIP_ES_DOCCONT01","O","Riporto all'esercizio precedente documenti contabili","NULL","2003-10-13T16:32:59.000","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"CONG_FAT_ES_CH","B","Congelamento fatture di esercizio chiuso","Batch","2003-10-13T16:32:59.000","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"ESTR_LA_CESSATE00","B","Estrazione linee di attivit? cessate impropriamente","NULL","2003-10-13T16:32:59.000","2003-10-13T16:32:59.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"CHK_FONDO_ECO","B","Verifica quadratura Fondo Economale","Batch","2003-12-19T15:25:53.000","2003-12-19T15:25:53.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"LIQUID_CORI_MASS00","B","Liquidazione massiva CORI da esercizio precedente","Batch","2003-12-05T00:00:00.000","2003-12-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"ESTRAZIONE_CUD","O","ESTRAZIONE DATI CUD","NULL","2004-02-02T00:00:00.000","2004-02-02T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"ESTRAZIONE_INPS","O","ESTRAZIONE DATI INPS","NULL","2004-03-12T00:00:00.000","2004-03-12T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
