"pg_esecuzione","pg_batch","pg_job","fl_errori","ds_log","note","dacr","duva","utcr","utuv","pg_ver_rec","cd_log_tipo"
"101574","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T12:35:43.000","2018-01-08T12:35:43.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101584","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP","NULL","2018-01-08T14:47:58.000","2018-01-08T14:47:58.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES01"
"101576","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T12:47:23.000","2018-01-08T12:47:23.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101577","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T12:49:44.000","2018-01-08T12:49:45.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101575","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T12:46:22.000","2018-01-08T12:46:22.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101579","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T13:26:22.000","2018-01-08T13:26:22.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101578","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T13:14:42.000","2018-01-08T13:14:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101585","NULL","NULL","N","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP","NULL","2018-01-08T14:48:49.000","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1","RIB_CONF_ES01"
"101580","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T13:34:58.000","2018-01-08T13:34:58.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101581","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T14:07:17.000","2018-01-08T14:07:17.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
"101582","NULL","NULL","N","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T14:09:03.000","2018-01-08T14:09:03.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1","RIB_CONF_ES00"
"101583","NULL","NULL","N","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T14:10:56.000","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1","RIB_CONF_ES00"
"101573","NULL","NULL","Y","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","NULL","2018-01-08T12:10:12.000","2018-01-08T12:10:12.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","2","RIB_CONF_ES00"
