"cd_procedura","nome_parametro","pg_valore_parametro","valore_varchar","valore_date","valore_number","dacr","utuv","duva","utcr","pg_ver_rec"
"REGISTRACOGECOAN","AES","63","NULL","NULL","2011.000000","2013-02-18T16:11:16.000","RPUCCIARELLI","2013-02-18T16:11:16.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","9","000","NULL","NULL","2013-05-17T16:18:24.000","RPUCCIARELLI","2013-05-17T16:18:24.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","AESANN","11","NULL","NULL","2013.000000","2014-05-13T12:42:33.000","RPUCCIARELLI","2014-05-13T12:42:33.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","AES","87","NULL","NULL","2016.000000","2016-06-13T12:17:15.000","RPUCCIARELLI","2016-06-13T12:17:15.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","AES","70","NULL","NULL","2013.000000","2014-05-30T15:50:49.000","RPUCCIARELLI","2014-05-30T15:50:49.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","AES","245","NULL","NULL","2015.000000","2017-01-23T19:20:49.000","RPUCCIARELLI","2017-01-23T19:20:49.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","AESANN","10","NULL","NULL","2012.000000","2013-05-17T16:18:24.000","RPUCCIARELLI","2013-05-17T16:18:24.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","409","000.108","NULL","NULL","2016-11-08T12:55:37.000","RPUCCIARELLI","2016-11-08T12:55:37.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","ACDCDS","638","506","NULL","NULL","2016-06-01T17:11:52.000","RPUCCIARELLI","2016-06-01T17:11:52.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","AES","155","NULL","NULL","2013.000000","2014-05-05T16:13:02.000","RPUCCIARELLI","2014-05-05T16:13:02.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDS","552","TUTTI","NULL","NULL","2017-02-10T13:01:32.000","RPUCCIARELLI","2017-02-10T13:01:32.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","ACDCDS","633","312","NULL","NULL","2016-05-30T18:56:47.000","RPUCCIARELLI","2016-05-30T18:56:47.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","215","10005","NULL","NULL","2017-02-10T13:01:32.000","RPUCCIARELLI","2017-02-10T13:01:32.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDS","553","000","NULL","NULL","2017-03-01T15:31:59.000","RPUCCIARELLI","2017-03-01T15:31:59.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDR","337","117.000.000","NULL","NULL","2016-05-26T12:25:37.000","RPUCCIARELLI","2016-05-26T12:25:37.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","ACDCDS","635","118","NULL","NULL","2016-05-30T19:26:06.000","RPUCCIARELLI","2016-05-30T19:26:06.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","209","1.01.104","NULL","NULL","2016-06-10T11:04:43.000","RPUCCIARELLI","2016-06-10T11:04:43.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","197","P0000063","NULL","NULL","2016-04-12T14:51:09.000","RPAGANO","2016-04-12T14:51:09.000","RPAGANO","1"
"REGISTRACOGECOAN","AES","67","NULL","NULL","2012.000000","2013-05-23T15:44:12.000","RPUCCIARELLI","2013-05-23T15:44:12.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","AESANN","13","NULL","NULL","2015.000000","2016-05-30T07:02:15.000","RPUCCIARELLI","2016-05-30T07:02:15.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","10","*","NULL","NULL","2016-05-30T07:02:15.000","RPUCCIARELLI","2016-05-30T07:02:15.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDS","545","036","NULL","NULL","2017-01-23T19:21:54.000","RPUCCIARELLI","2017-01-23T19:21:54.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","413","036.001","NULL","NULL","2017-01-23T19:21:54.000","RPUCCIARELLI","2017-01-23T19:21:54.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","196","P0000010","NULL","NULL","2016-04-12T14:50:05.000","RPAGANO","2016-04-12T14:50:05.000","RPAGANO","1"
"QUADRATURACDRLINEA06","ACDCDR","343","036.001.000","NULL","NULL","2017-01-23T19:21:54.000","RPUCCIARELLI","2017-01-23T19:21:54.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","416","074.000","NULL","NULL","2017-01-24T14:56:18.000","RPUCCIARELLI","2017-01-24T14:56:18.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","198","P0000272","NULL","NULL","2016-04-12T14:52:10.000","RPAGANO","2016-04-12T14:52:10.000","RPAGANO","1"
