"cd_bene_servizio","ds_bene_servizio","unita_misura","fl_gestione_inventario","fl_gestione_magazzino","cd_voce_iva","cd_categoria_gruppo","dacr","utcr","duva","utuv","pg_ver_rec","ti_bene_servizio","fl_obb_intrastat_acq","fl_obb_intrastat_ven","fl_valido","fl_autofattura","fl_bollo","fl_scadenza","tipo_servizio","tipo_manutenzione","note","tipo_gestione","sconti_applic_invent","cd_gruppo_merceologico","cd_tipo_articolo"
"920-66-1","1,1,1,3,3,3,-HEXAFLUORO-2-PROPANOL","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-04-29T12:58:42.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00833","IMPOSTA DI BOLLO","N","N","N","E15","0.9","2017-05-19T09:52:42.000","MIGRAZIONE","2017-11-21T13:27:28.000","RPAGANO","3","B","N","N","Y","N","Y","N","S","I","Richiesta da M.Bernardo","TRA","N","NULL","NULL"
"AA00834","POMPA AD ALTO VUOTO","N","N","Y","22","3.3","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-04T11:33:03.000","FIORETTOT","1","B","Y","Y","N","N","N","N","S","I","richiesta da Paola Pinci dip.tesa","TRA","Y","NULL","NULL"
"AA00835","FORNITURA DATI","N","N","Y","22","0.2.4","2017-05-19T09:52:42.000","MIGRAZIONE","2014-02-10T09:47:30.000","GULLOP2","1","B","Y","Y","Y","N","N","N","S","I","Richiesto da Alessia Borzi","TRA","N","NULL","NULL"
"AA00836","INSERIMENT0 DATI","N","N","Y","22","0.5","2017-05-19T09:52:42.000","MIGRAZIONE","2005-06-07T13:01:00.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","Richiesto da Alessia Borzi","TRA","N","NULL","NULL"
"AA00837","BUONO CARBURANTE","N","N","Y","NIM","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-07-27T14:40:19.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00838","CARTINA GEOGRAFICA","N","N","Y","22","8.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-03T14:42:38.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"1303-28-2","pentaossido di diarsenicoANIDRIDE ARSENICA  1303-28-2","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:13:15.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","N","NULL","TRA","N","NULL","NULL"
"124-58-3","ACIDO METILARSONICOACIDO MONOMETILARSINICO O METANARSONICO","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:16:17.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"75-60-5","ACIDO DIMETILARSINICO - ACIDO CACODILICO75-60-5","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2017-07-25T11:19:06.000","GGASPARRO","3","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"64436-13-1","ARSENOBETAINA - TRIMETILCARBOSSIMETILARSONIO64436-13-1","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:19:42.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"4964-14-1","OSSIDO DI TRIMETILARSINA4964-14-1","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:21:21.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"39895-81-3","ARSENOCOLINA39895-81-3","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:22:43.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"27742-38-7","IONE TETRAMETILARSONIO27742-38-7","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-30T15:25:15.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00839","MATERIALI DI RIFERIMENTO CERTIFICATI -LIOFILIZZATIDI MATRICI BIOLOGICHE/ALIMENTARI/AMBIENTALI","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-08-31T14:23:03.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00840","NEC783010UC - L-PHOSPHATIDYLETHANOLAMINE(ARACHIDONYL-1-14C) -10UCI","UCI","N","Y","22","9.10","2017-05-19T09:52:42.000","MIGRAZIONE","2005-09-12T15:30:13.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00841","RECUPERO DATI","N","N","Y","22","0.5","2017-05-19T09:52:42.000","MIGRAZIONE","2005-09-16T11:50:00.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","RICHIESTO DA LAURA MARTUCCI","TRA","N","NULL","NULL"
"17601","SUPPELLETTILI VARIE INVENTARIABILI","N","N","Y","22","1.7601","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-03T09:18:20.000","FIORETTOT","1","B","Y","Y","N","N","N","N","S","N","NULL","MAG","Y","NULL","NULL"
"31880","BOMBOLE INVENTARIABILI (ACQUISTO)","N","N","Y","22","3.1880","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-04T10:08:47.000","FIORETTOT","1","B","Y","Y","N","N","N","N","S","N","NULL","TRA","Y","NULL","NULL"
"34523","ACCESSORI INVENTARIABILI PER CROMATOGRAFI E GASCROMATOGRAFI (INV.)","N","N","Y","22","3.4523","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-15T10:50:18.000","GULLOP","1","B","Y","Y","Y","N","N","N","S","N","NULL","TRA","Y","NULL","NULL"
"AA00842","BOMBOLE PER GAS NON INVENTARIABILI (IN LOCAZIONE)","N","N","Y","22","8.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-09T14:31:53.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00843","BOMBOLE DI GAS PER IDRAULICA (NON RICARICABILI)","N","N","Y","22","8.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-09T14:32:57.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00844","ATTREZZATURA PER FOTOGRAFIA NON INVENTARIABILE","N","N","Y","22","8.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-09-27T11:06:11.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00845","REVISIONE DI DATI","N","N","Y","22","0.5","2017-05-19T09:52:42.000","MIGRAZIONE","2005-09-27T15:34:22.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00846","LAVORI DI EDITING","N","N","Y","22","0.5","2017-05-19T09:52:42.000","MIGRAZIONE","2005-09-29T12:01:06.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"1120-36-1","1-TETRADECENE1120-36-1","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:35:29.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"629-73-2","1-HEXADECENE629-73-2","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:36:19.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"84-74-2","DI-N-BUTYL PHTHALATE84-74-2","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:36:59.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"75-18-13","METHYL SULFIDE75-18-13","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:37:37.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"624-92-0","DIMETHYL SULFIDE624-92-0","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:38:14.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"13360-61-7","1-PENTADECENE13360-61-7","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:38:54.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"3658-80-8","DIMETHYL TRISULFIDE3658-80-8","N","N","Y","22","9.0","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-05T12:39:41.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00847","VOLONTARI PER DOSAGGIO RADIAZIONI UV SOLARE","N","N","Y","NIM","0.5","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-07T12:30:01.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","Inserito per Pinci Paola Dip.Tesa","TRA","N","NULL","NULL"
"35601","MOTORI ELETTRICI DI RICAMBIO","N","N","Y","22","8.4","2017-05-19T09:52:42.000","MIGRAZIONE","2005-11-07T11:11:51.000","FIORETTOT","1","B","Y","Y","N","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"AA00848","MISCELA GAS IN BOMBOLA","N","N","Y","22","7.2","2017-05-19T09:52:42.000","MIGRAZIONE","2005-10-20T12:30:18.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00939","SPAGO PICCOLO CANDIDO PER ALIMENTI GOMITOLO GR.100(MIS. 2/4)","N","N","Y","22","7.9","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-19T10:12:55.000","MARRA","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00940","GRASSO AL SILICONE TUB.GR. 50  PER LUBRIFICAZIONEVETRERIA","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2007-03-15T09:47:29.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"AA00941","MORTAIO IN PORCELLANA  C/ BECCO- DIAM. EST.CM 12,5SUPERF. INTERNA COMPL. LISCIA - COMPL. DI PESTELLO","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:02:26.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00942","FORBICI  ACCIAIO LUNGH. MM.130 - PUNTE ARROTONDATEADATTE TUTTI I COMUNI USI DA LABORATORIO","N","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2007-02-14T10:43:12.000","DAQUINOC","1","B","Y","Y","N","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00943","FORBICI ACCIAIO LUNGH. MM 200 DOTATE DI INCAVO CHEPERMETTE UTILIZZO COME PINZE PER STRING./ SCHIACC.","N","N","Y","22","8.2","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:31:54.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00944","MORTAIO IN PORCELLANA C/BECCO DIAM.EST. CM 33SUP. INTERNA COMPLET. LISCIA, COMPLETO DI PESTELLO","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2009-05-06T13:16:37.000","MARRA","1","B","Y","Y","N","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00945","BENDE GARZA ORLATA . DIM. CM 5X5 MT.","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:45:26.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00946","BENDE GARZA ORLATA - DIM. CM. 7X5 MT.","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:47:07.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00947","BENDE GARZA ORLATA  - DIM.CM 10X5 MT.","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:49:11.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00948","CEROTTI IN TELA BIANCA - DIM. CM 5X5 MT.","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T11:51:34.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00949","CEROTTI IPOALLERGICI DI CARTA - DIM. CM 5X5","N","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2009-10-09T13:39:12.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
"AA00950","COTONE IDROF. NON STERILE TIPO ORO IN FALDE GR.500","CF","N","Y","22","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2007-03-15T09:48:00.000","FIORETTOT","1","B","Y","Y","Y","N","N","N","S","I","NULL","TRA","N","NULL","NULL"
"044020","GARZA STER. IN COMPRESSE CM 20X20 - CONF.1 SCATOLA(1 SCAT. = 100 CONF. DA 25 GARZE)","N","N","Y","10","7.8","2017-05-19T09:52:42.000","MIGRAZIONE","2010-06-10T10:50:47.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","N","NULL","MAG","N","NULL","NULL"
"AA00951","VASI PER CAMP.TI IN VETRO C/TAPPO MET. CAP.100 ML","N","N","Y","22","7.1","2017-05-19T09:52:42.000","MIGRAZIONE","2005-12-14T12:11:54.000","DAQUINOC","1","B","Y","Y","Y","N","N","N","S","I","NULL","MAG","N","NULL","NULL"
