"cd_divisa","dt_inizio_validita","dt_fine_validita","cambio","utcr","dacr","utuv","duva","pg_ver_rec"
"QAR","2012-12-03T00:00:00.000","2200-12-31T01:00:00.000","4.7300","MILIAA","2012-12-03T11:40:29.000","MILIAA","2012-12-03T11:40:29.000","1"
"USD","2013-04-11T00:00:00.000","2200-12-31T01:00:00.000","0.7622","DFETTIG","2013-05-02T12:36:06.000","DFETTIG","2013-05-02T12:36:06.000","1"
"CZK","2013-04-30T00:00:00.000","2013-05-30T00:00:00.000","25.8100","BEBBERE","2013-05-07T10:37:34.000","BEBBERE","2013-05-07T10:37:34.000","1"
"USD","2016-03-29T00:00:00.000","2200-12-31T01:00:00.000","0.8933","15299","2016-05-17T14:13:29.000","15299","2016-05-17T14:13:29.000","1"
"CAD","2013-06-17T00:00:00.000","2013-06-17T00:00:00.000","0.7381","PARPAIOLA","2013-06-18T14:17:17.000","PARPAIOLA","2013-06-18T14:17:17.000","1"
"USD","2013-01-01T00:00:00.000","2200-12-31T01:00:00.000","0.7500","CLAUDIABABIC","2013-03-06T16:58:46.000","CLAUDIABABIC","2013-03-06T16:58:46.000","1"
"USD","2013-04-09T00:00:00.000","2200-12-31T01:00:00.000","0.7673","BIANCHIS","2013-04-09T11:00:21.000","BIANCHIS","2013-04-09T11:00:21.000","1"
"USD","2013-05-17T00:00:00.000","2200-12-31T01:00:00.000","0.7759","DFETTIG","2013-05-24T10:17:30.000","DFETTIG","2013-05-24T10:17:30.000","1"
"CAD","2016-04-01T00:00:00.000","2016-05-19T00:00:00.000","0.7012","PARPAIOLA","2016-05-19T10:12:17.000","PARPAIOLA","2016-05-19T10:12:17.000","1"
"CAD","2016-03-10T00:00:00.000","2016-03-10T00:00:00.000","0.6932","SILVIAT","2016-04-21T11:56:35.000","SILVIAT","2016-04-21T11:56:35.000","1"
"CAD","2016-09-01T00:00:00.000","2016-10-31T00:00:00.000","0.6839","SILVIAT","2016-10-06T12:36:03.000","SILVIAT","2016-10-06T12:36:03.000","1"
"AUD","2005-09-01T00:00:00.000","2005-09-27T00:00:00.000","0.6210","004","2005-09-27T14:45:34.000","004","2005-09-27T14:45:34.000","1"
"USD","2006-02-06T00:00:00.000","2200-12-31T01:00:00.000","0.8290","BALSAMO","2006-02-06T10:57:45.000","BALSAMO","2006-02-06T10:57:45.000","1"
"GBP","2016-11-15T00:00:00.000","2200-12-31T01:00:00.000","1.1500","DFETTIG","2016-12-01T12:03:37.000","DFETTIG","2016-12-01T12:03:37.000","1"
"ZAR","2006-07-12T00:00:00.000","2006-07-13T00:00:00.000","0.1090","NCAMPAGNA","2006-07-13T09:16:16.000","NCAMPAGNA","2006-07-13T09:16:16.000","1"
"CAD","2012-01-01T00:00:00.000","2012-12-31T00:00:00.000","0.7540","SMICELI","2012-03-26T12:57:27.000","SMICELI","2012-03-26T12:57:27.000","1"
"CAD","2005-04-22T00:00:00.000","2005-04-22T00:00:00.000","0.6820","CDISALVO","2005-09-12T10:05:43.000","CDISALVO","2005-09-12T10:05:43.000","1"
"CAD","2008-06-20T00:00:00.000","2008-06-30T00:00:00.000","0.6330","CDISALVO","2008-07-09T12:47:33.000","CDISALVO","2008-07-09T12:47:33.000","1"
"USD","2005-04-04T00:00:00.000","2200-12-31T01:00:00.000","0.7493","PTURRINI","2005-04-04T12:13:52.000","PTURRINI","2005-04-04T12:13:52.000","1"
"USD","2007-01-01T00:00:00.000","2200-12-31T01:00:00.000","0.7100","004","2007-07-24T10:57:14.000","004","2007-07-24T10:57:14.000","1"
"AUD","2010-08-24T00:00:00.000","2010-09-01T00:00:00.000","0.6990","COSTIGLIOLO","2010-09-01T12:30:29.000","COSTIGLIOLO","2010-09-01T12:30:29.000","1"
"CAD","2010-10-12T00:00:00.000","2010-12-31T00:00:00.000","0.7120","MORI","2010-11-16T12:47:45.000","MORI","2010-11-16T12:47:45.000","1"
